real_bound,tree_bound,count_mod_inverse,primitive_lattice_prediction,observed_over_prediction,minimum_boundary_gap,decimal_precision_digits
10,10,48,46.16146828031302,1.0398282764430846,0.05149491452967132,80
20,20,191,184.64587312125207,1.0344125041699435,0.0035474156933181966,80
40,40,742,738.5834924850083,1.0046257566676677,0.007094831386636393,80
80,80,2970,2954.333969940033,1.0053027282018103,0.010069318673948136,80
160,160,11841,11817.335879760132,1.002002491972865,0.003258487142397234,80
320,320,47349,47269.34351904053,1.0016851615662357,0.0008618569569274168,80
