m,n,real_signed,real_length,tree_length,height,unweighted_log_local_factor_s1,height_weight_log10_s1
0,1,0.9271973900850047,0.9271973900850047,1,3.4921467475465415,0.5036200488792706,-1.516620062455851
-1,2,-0.7795210136796238,0.7795210136796238,2,5.909419728602697,0.6136442507392389,-2.566428379382363
-1,3,0.14767637640538078,0.14767637640538078,3,7.842524448789991,1.9856617189410501,-3.405965092300834
-6,17,-0.041139131652720096,0.041139131652720096,17,43.645278208498844,3.211294551090083,-18.95490348708329
-19,54,0.024258981447218275,0.024258981447218275,54,138.5315242843702,3.7310733312971682,-60.163476566348294
-25,71,-0.016880150205494715,0.016880150205494715,71,182.12828452997462,4.090045094077117,-79.09730896987335
-44,125,0.00737883124172356,0.00737883124172356,125,320.6260485139338,4.912827168232106,-139.24612362404577
-113,321,-0.0021224877220333838,0.0021224877220333838,321,823.3508662328754,6.156227480622245,-357.5767378752002
