token_max,token_count,primitive_mixed_two_return_necklaces,distinct_two_token_products,product_collision_excess,commutative_word_order_collision,same_norm_example,finite_determinant_form,prime_only_primitive_ledger,gate
5,4,6,6,0,True,none_at_this_cutoff,1-sum(first_return_monomials),False,CONNECTED_DISCONNECTED_MISMATCH
9,8,28,25,3,True,"(2,6)|(3,4)",1-sum(first_return_monomials),False,CONNECTED_DISCONNECTED_MISMATCH
17,16,120,94,26,True,"(2,6)|(3,4)",1-sum(first_return_monomials),False,CONNECTED_DISCONNECTED_MISMATCH
33,32,496,340,156,True,"(2,6)|(3,4)",1-sum(first_return_monomials),False,CONNECTED_DISCONNECTED_MISMATCH
