prime_count,formal_Q_rank_of_log_primes,finite_roof_inventory_size,all_prime_clocks_in_span,unique_factorization_certificate,gate
2,2,1,False,True,STOP_FINITE_ROOF_INVENTORY
4,4,3,False,True,STOP_FINITE_ROOF_INVENTORY
8,8,7,False,True,STOP_FINITE_ROOF_INVENTORY
16,16,15,False,True,STOP_FINITE_ROOF_INVENTORY
31,31,30,False,True,STOP_FINITE_ROOF_INVENTORY
