cutoff,inventory,encoder,alphabet_atoms,return_count,mixed_primitive_necklaces,pure_primitive_necklaces,first_example,connected_disconnected_match,ledger_gate
127,prime_evaluator,raw_binary,31,2,465,0,"(2,3)",False,CYCLE_FLOOD
127,prime_evaluator,raw_binary,31,3,9920,0,"(2,3)",False,CYCLE_FLOOD
127,prime_evaluator,raw_binary,31,4,230640,0,"(2,3)",False,CYCLE_FLOOD
127,prime_evaluator,raw_binary,31,5,5725824,0,"(2,3)",False,CYCLE_FLOOD
127,prime_evaluator,elias_gamma,31,2,465,0,"(2,3)",False,CYCLE_FLOOD
127,prime_evaluator,elias_gamma,31,3,9920,0,"(2,3)",False,CYCLE_FLOOD
127,prime_evaluator,elias_gamma,31,4,230640,0,"(2,3)",False,CYCLE_FLOOD
127,prime_evaluator,elias_gamma,31,5,5725824,0,"(2,3)",False,CYCLE_FLOOD
127,prime_evaluator,elias_delta,31,2,465,0,"(2,3)",False,CYCLE_FLOOD
127,prime_evaluator,elias_delta,31,3,9920,0,"(2,3)",False,CYCLE_FLOOD
127,prime_evaluator,elias_delta,31,4,230640,0,"(2,3)",False,CYCLE_FLOOD
127,prime_evaluator,elias_delta,31,5,5725824,0,"(2,3)",False,CYCLE_FLOOD
127,prime_evaluator,framed_binary,31,2,465,0,"(2,3)",False,CYCLE_FLOOD
127,prime_evaluator,framed_binary,31,3,9920,0,"(2,3)",False,CYCLE_FLOOD
127,prime_evaluator,framed_binary,31,4,230640,0,"(2,3)",False,CYCLE_FLOOD
127,prime_evaluator,framed_binary,31,5,5725824,0,"(2,3)",False,CYCLE_FLOOD
127,composite_control,raw_binary,95,2,4465,0,"(4,6)",False,CYCLE_FLOOD
127,composite_control,raw_binary,95,3,285760,0,"(4,6)",False,CYCLE_FLOOD
127,composite_control,raw_binary,95,4,20360400,0,"(4,6)",False,CYCLE_FLOOD
127,composite_control,raw_binary,95,5,1547561856,0,"(4,6)",False,CYCLE_FLOOD
127,composite_control,elias_gamma,95,2,4465,0,"(4,6)",False,CYCLE_FLOOD
127,composite_control,elias_gamma,95,3,285760,0,"(4,6)",False,CYCLE_FLOOD
127,composite_control,elias_gamma,95,4,20360400,0,"(4,6)",False,CYCLE_FLOOD
127,composite_control,elias_gamma,95,5,1547561856,0,"(4,6)",False,CYCLE_FLOOD
127,composite_control,elias_delta,95,2,4465,0,"(4,6)",False,CYCLE_FLOOD
127,composite_control,elias_delta,95,3,285760,0,"(4,6)",False,CYCLE_FLOOD
127,composite_control,elias_delta,95,4,20360400,0,"(4,6)",False,CYCLE_FLOOD
127,composite_control,elias_delta,95,5,1547561856,0,"(4,6)",False,CYCLE_FLOOD
127,composite_control,framed_binary,95,2,4465,0,"(4,6)",False,CYCLE_FLOOD
127,composite_control,framed_binary,95,3,285760,0,"(4,6)",False,CYCLE_FLOOD
127,composite_control,framed_binary,95,4,20360400,0,"(4,6)",False,CYCLE_FLOOD
127,composite_control,framed_binary,95,5,1547561856,0,"(4,6)",False,CYCLE_FLOOD
127,square_control,raw_binary,10,2,45,0,"(4,9)",False,CYCLE_FLOOD
127,square_control,raw_binary,10,3,330,0,"(4,9)",False,CYCLE_FLOOD
127,square_control,raw_binary,10,4,2475,0,"(4,9)",False,CYCLE_FLOOD
127,square_control,raw_binary,10,5,19998,0,"(4,9)",False,CYCLE_FLOOD
127,square_control,elias_gamma,10,2,45,0,"(4,9)",False,CYCLE_FLOOD
127,square_control,elias_gamma,10,3,330,0,"(4,9)",False,CYCLE_FLOOD
127,square_control,elias_gamma,10,4,2475,0,"(4,9)",False,CYCLE_FLOOD
