directive_bit_depth,cutoff,inventory,encoder,witness_atom,stationary_cycle_length,total_roof,equal_roof_singular_value,finite_prefix_operator_compact,single_stationary_union_compact,shared_level_states_create_mixed_cycles,acyclic_level_has_primitive_orbits,selector_stage,gate
5,31,prime_evaluator,raw_binary,31,6,log(atom),0.56420862085382328,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,prime_evaluator,elias_gamma,31,10,log(atom),0.7093553206951464,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,prime_evaluator,elias_delta,31,10,log(atom),0.7093553206951464,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,prime_evaluator,framed_binary,31,12,log(atom),0.75113821687744209,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,composite_control,raw_binary,30,6,log(atom),0.56730044497474463,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,composite_control,elias_gamma,30,10,log(atom),0.71168510179159872,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,composite_control,elias_delta,30,10,log(atom),0.71168510179159872,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,composite_control,framed_binary,30,12,log(atom),0.75319349769813115,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,square_control,raw_binary,25,6,log(atom),0.58480354764257325,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,square_control,elias_gamma,25,10,log(atom),0.72477966367769553,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,square_control,elias_delta,25,10,log(atom),0.72477966367769553,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
5,31,square_control,framed_binary,25,12,log(atom),0.76472449133173004,True,False,True,False,external_inventory,NONAUTONOMOUS_INFORMATION_OR_CYCLE_FLOOD
