cutoff,inventory,atom_count,alphabet,visible_finite_alphabet,cycle_length,total_roof,trace_norm_prefix_sigma2,determinant_z1_sigma2,whole_operator_s1_sigma2,mixed_primitives,selector_locality,proves_too_much,verdict
127,prime_evaluator,31,countable_one_symbol_per_atom,False,1,log(atom),7267245999673068544672745013377742260699424035510487559218851105498041243559874239139584789460841/16116025096436741923055068076409683317901388580679310996677231033506969291192210835795243470152900,62721385923051660005207941795466564214611360029702097388070502400000000000/103037010066247336574150234198301233099615801602110233420605945100950524757,True,0,external_inventory,True,PAPER04_SELECTOR_TAUTOLOGICAL_ESCAPE
127,composite_control,95,countable_one_symbol_per_atom,False,1,log(atom),7084036594150543511952228123255508024178682906613860427969/38053879473327690990794729785226348325992368965112896000000,811315039891711311607482159041741992910360642536301050555952323629531691/980021655047682187581374090554165065853302500464095271688601600000000000,True,0,external_inventory,True,PAPER04_SELECTOR_TAUTOLOGICAL_ESCAPE
127,square_control,10,countable_one_symbol_per_atom,False,1,log(atom),48477688087628977/590436101122560000,134258694505/146057167872,True,0,external_inventory,True,PAPER04_SELECTOR_TAUTOLOGICAL_ESCAPE
127,fibonacci_control,9,countable_one_symbol_per_atom,False,1,log(atom),14078794808432033/33029994631233600,1207084032/1934347805,True,0,external_inventory,True,PAPER04_SELECTOR_TAUTOLOGICAL_ESCAPE
127,matched_density_seeded_random,31,countable_one_symbol_per_atom,False,1,log(atom),3615266692037379757489107126475968546816405143/54764463472482239507660790074027484935918707200,23684164399788954660874054247/25313673803721701185376354304,True,0,external_inventory,True,PAPER04_SELECTOR_TAUTOLOGICAL_ESCAPE
127,matched_density_hash,31,countable_one_symbol_per_atom,False,1,log(atom),3777166295031472746234401682314908537253/60596746970284529507628587549839752000000,326411246177756170383795031038355608847/347574024039197074682094330839040000000,True,0,external_inventory,True,PAPER04_SELECTOR_TAUTOLOGICAL_ESCAPE
127,arbitrary_decidable_modular,54,countable_one_symbol_per_atom,False,1,log(atom),33160370481031148960276106321683116235281328169796540483621684622711341/87662272728500439661623454075570133929012574744111528939148224616960000,40750256013567269762669167987113809932251134497/61912525765971091454911863055235432719217610615,True,0,external_inventory,True,PAPER04_SELECTOR_TAUTOLOGICAL_ESCAPE
511,prime_evaluator,97,countable_one_symbol_per_atom,False,1,log(atom),461791139886916328937745887416442697626244501230847523806138800659589009749851571256039847209360138043137221187900204142213717543097561042955691004862961639290343245810659648204819374592903172702165675925822214148364085922327170359164531507746630150423624704846979224756677893608041407493734456515125812602327704281120308786895106746854252924297560039030362543899906827657628234139597675692322083216835696240134545221168161/1021702492534530299899072035742377694654291383995838600773726890330910651183103702803957970443243383381404670165435594277368257820863918347253395258837776442644778147065600386574651713939027495101438551150014829615903743554323480302917259089368491936407661031327600039427685359429050549635168014916722956678327705338271134641077524129905552410376979518807600116583887542989560104418936886294184666313570090653425788004640900,1336093232485013149625848000611375047211355023396398665349525715156491450017401978170796431437789776864387302897310968410400288404556226255508017635532857847013764680718588237919319263125195803471023052479513724117759440421085411186925569521927593451176566579584890306560000000000000000000000000000000000000000000000000000000/2197202023760686827802830383855514597344974445405265643978005224585725722006173889756686339758058102603750516779181041671781344729696464374923631950369220232548450948850693212200799807448386598368247420415494492855750885468918232668817463392177666606545337500429234862221933992134393775205168812263242010546971691766248689483,True,0,external_inventory,True,PAPER04_SELECTOR_TAUTOLOGICAL_ESCAPE
511,composite_control,413,countable_one_symbol_per_atom,False,1,log(atom),54295382171290771827452870701241562919605180272946718547813462323049630282891387416277821183134034723362260302606325004903962475241157865061405535317247632933280798403228629576338544223066526733067417930317267315105781800821/284273437822622055304722928079713608828314059317883744963255380020588275253625303437016285359032791072985848382750653877300631912615926185053097196127043603040937619508241959717757662661201555335690676933196636299478835200000,2197202023760686827802830383855514597344974445405265643978005224585725722006173889756686339758058102603750516779181041671781344729696464374923631950369220232548450948850693212200799807448386598368247420415494492855750885468918232668817463392177666606545337500429234862221933992134393775205168812263242010546971691766248689483/2666967350780631716635970032470361910644540691232655148412529845488152855308173479864363189315275687412898092892679315850447450682532154752205457077176915468062631843153119490534266185378808810834737421160279347750683883028025957486402211037910157240434474695968277135360000000000000000000000000000000000000000000000000000000,True,0,external_inventory,True,PAPER04_SELECTOR_TAUTOLOGICAL_ESCAPE
511,square_control,21,countable_one_symbol_per_atom,False,1,log(atom),34526019422537833111340365785767/419544802226891154340280033280000,2615042401600849381405188878375/2845386866872199376292181704704,True,0,external_inventory,True,PAPER04_SELECTOR_TAUTOLOGICAL_ESCAPE
511,fibonacci_control,12,countable_one_symbol_per_atom,False,1,log(atom),23144664217615425920420437/54289875000526898603270400,13105311335424/21002761597129,True,0,external_inventory,True,PAPER04_SELECTOR_TAUTOLOGICAL_ESCAPE
511,matched_density_seeded_random,97,countable_one_symbol_per_atom,False,1,log(atom),1191666189658285670135131016279862707143992014015439998766149746826276331718735283131962306224511988649179573567386862785705878599861291687266790226732038687740151722777769/31980263089772540826628181944926397307883324646005788952227771652873817147347048614481564281023723085044371993730663860086763382377364640397444859896181475837623267584000000,38649038936863976156721517641634503915232085872470507743872103580273532052039346541715582726779774793136580371285912915762900555436217/40121564800629279738331898149762007475369602191231110242222718009461473834817950559731853449146891323754115188768404913782784000000000,True,0,external_inventory,True,PAPER04_SELECTOR_TAUTOLOGICAL_ESCAPE
511,matched_density_hash,97,countable_one_symbol_per_atom,False,1,log(atom),51483594601857488611454046915886819155763217627432876755002434008406308514577205633128987491734204957321758445343703885376578535984319954560427516904313959365290820248641468468694543100806363/925904848214812602056624940387137567536333040176340302359191804152390575594791092084781041083019701117210401754504853235423327047272752813345340338961673723964752682982499618711553297424000000,23718229470117081983196610281367528009887928660612988881039660813700070022030973270370329243549668627177500490855285109575411327190833299456/25086443975265121476810560962340890321054233269628405771668567655071714834064620800451440184110999070523927519775490432988200622782137890625,True,0,external_inventory,True,PAPER04_SELECTOR_TAUTOLOGICAL_ESCAPE
511,arbitrary_decidable_modular,218,countable_one_symbol_per_atom,False,1,log(atom),29300268263380869687392952179433153554780988477831721977366592186833611476260832787422871959675373921231680577285082702758301208765356587230676409769055943899488907573608468977777801727388618855832249828121540632459712990166875437724230600267972110591322384552159303816989451362667147820303/76943148395008811599453752046570664365284458499063503735830463445801967260625124007320801015155818142408181687003950485616727890081451348968105173977485574641567673299868154525698854740189565743175199627335106320888819128348270325546149458541350607458101198372663872181776704122579968000000,226513129806893349689420672852759780040672721482518387897610381620783487251131750881887938063730926645998947654982162218698972917712282293449346971512673881288647273965117168069939698276095225/345016874026935942774471598540647773790490508485360923462401517909974851007083402662703926853469791453275334027337567765542212403920083803958545849118519315902878080153100604484889727780323328,True,0,external_inventory,True,PAPER04_SELECTOR_TAUTOLOGICAL_ESCAPE
