cutoff,inventory,encoder,atom_count,trie_nodes,trie_bit_edges,return_edges,payload_prefix_collision_pairs,bit_edge_roof,bit_edge_weight_sigma1,minimum_return_roof,all_return_roofs_positive,each_loop_total_roof,whole_tree_compact,noncompactness_witness,shared_hub_prime_only_ledger
127,prime_evaluator,raw_binary,31,63,62,31,55,log(2)/8,0.91700404320467122,0.51986038541995894,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,prime_evaluator,elias_gamma,31,118,117,31,0,log(2)/8,0.91700404320467122,0.43321698784996582,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,prime_evaluator,elias_delta,31,118,117,31,0,log(2)/8,0.91700404320467122,0.34657359027997264,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,prime_evaluator,framed_binary,31,125,124,31,0,log(2)/8,0.91700404320467122,0.25993019270997947,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,composite_control,raw_binary,95,115,114,95,201,log(2)/8,0.91700404320467122,1.126364168409911,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,composite_control,elias_gamma,95,221,220,95,0,log(2)/8,0.91700404320467122,0.9530773732699247,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,composite_control,elias_delta,95,221,220,95,0,log(2)/8,0.91700404320467122,0.9530773732699247,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,composite_control,framed_binary,95,227,226,95,0,log(2)/8,0.91700404320467122,0.77979057812993846,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,square_control,raw_binary,10,29,28,10,7,log(2)/8,0.91700404320467122,1.126364168409911,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,square_control,elias_gamma,10,57,56,10,0,log(2)/8,0.91700404320467122,0.9530773732699247,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,square_control,elias_delta,10,57,56,10,0,log(2)/8,0.91700404320467122,0.9530773732699247,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,square_control,framed_binary,10,63,62,10,0,log(2)/8,0.91700404320467122,0.77979057812993846,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,fibonacci_control,raw_binary,9,19,18,9,11,log(2)/8,0.91700404320467122,0.51986038541995894,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,fibonacci_control,elias_gamma,9,43,42,9,0,log(2)/8,0.91700404320467122,0.43321698784996582,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,fibonacci_control,elias_delta,9,43,42,9,0,log(2)/8,0.91700404320467122,0.34657359027997264,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,fibonacci_control,framed_binary,9,50,49,9,0,log(2)/8,0.91700404320467122,0.25993019270997947,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,matched_density_seeded_random,raw_binary,31,63,62,31,26,log(2)/8,0.91700404320467122,1.5318292765180754,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,matched_density_seeded_random,elias_gamma,31,101,100,31,0,log(2)/8,0.91700404320467122,1.3585424813780891,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,matched_density_seeded_random,elias_delta,31,101,100,31,0,log(2)/8,0.91700404320467122,1.3585424813780891,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,matched_density_seeded_random,framed_binary,31,107,106,31,0,log(2)/8,0.91700404320467122,1.185255686238103,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,matched_density_hash,raw_binary,31,62,61,31,33,log(2)/8,0.91700404320467122,1.5318292765180754,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,matched_density_hash,elias_gamma,31,112,111,31,0,log(2)/8,0.91700404320467122,1.3585424813780891,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,matched_density_hash,elias_delta,31,112,111,31,0,log(2)/8,0.91700404320467122,1.3585424813780891,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,matched_density_hash,framed_binary,31,118,117,31,0,log(2)/8,0.91700404320467122,1.185255686238103,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,arbitrary_decidable_modular,raw_binary,54,83,82,54,116,log(2)/8,0.91700404320467122,0.51986038541995894,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,arbitrary_decidable_modular,elias_gamma,54,163,162,54,0,log(2)/8,0.91700404320467122,0.43321698784996582,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,arbitrary_decidable_modular,elias_delta,54,163,162,54,0,log(2)/8,0.91700404320467122,0.34657359027997264,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
127,arbitrary_decidable_modular,framed_binary,54,170,169,54,0,log(2)/8,0.91700404320467122,0.25993019270997947,True,log(atom),False,infinitely_many_constant_weight_bit_edges,False
