cutoff,inventory,encoder,atom_count,finite_local_alphabet_size,return_marker,minimum_cycle_length,maximum_cycle_length,record_atom,record_theorem_lower_bound,record_lower_bound_pass,finite_word_capacity,capacity_bound_pass,cyclic_collision_count,prime_orbit_separating_visible_code,payload_prefix_collision_pairs,payload_prefix_examples,payload_kraft_mass,payload_kraft_mass_float,encoder_target_calls,inventory_filter_stage
127,prime_evaluator,raw_binary,31,3,#,3,8,127,1.102342276803445,True,9840,True,0,True,55,10<101;11<111;10<1011;101<1011;11<1101,159/128,1.2421875,0,post_freeze_evaluator
127,prime_evaluator,elias_gamma,31,3,#,4,14,127,1.102342276803445,True,7174452,True,0,True,0,,2809/8192,0.3428955078125,0,post_freeze_evaluator
127,prime_evaluator,elias_delta,31,3,#,5,12,127,1.102342276803445,True,797160,True,0,True,0,,447/2048,0.21826171875,0,post_freeze_evaluator
127,prime_evaluator,framed_binary,31,3,#,6,16,127,1.102342276803445,True,64570080,True,0,True,0,,2809/32768,0.085723876953125,0,post_freeze_evaluator
127,composite_control,raw_binary,95,3,#,4,8,126,1.1005433756832199,True,9840,True,0,True,201,100<1000;100<1001;110<1100;100<10000;1000<10000,225/128,1.7578125,0,post_freeze_evaluator
127,composite_control,elias_gamma,95,3,#,6,14,126,1.1005433756832199,True,7174452,True,0,True,0,,1223/8192,0.1492919921875,0,post_freeze_evaluator
127,composite_control,elias_delta,95,3,#,6,12,126,1.1005433756832199,True,797160,True,0,True,0,,321/2048,0.15673828125,0,post_freeze_evaluator
127,composite_control,framed_binary,95,3,#,8,16,126,1.1005433756832199,True,64570080,True,0,True,0,,1223/32768,0.037322998046875,0,post_freeze_evaluator
127,square_control,raw_binary,10,3,#,4,8,121,1.091329169322069,True,9840,True,0,True,7,100<1001;100<10000;100<100100;1001<100100;100<1000000,5/16,0.3125,0,post_freeze_evaluator
127,square_control,elias_gamma,10,3,#,6,14,121,1.091329169322069,True,7174452,True,0,True,0,,91/2048,0.04443359375,0,post_freeze_evaluator
127,square_control,elias_delta,10,3,#,6,12,121,1.091329169322069,True,797160,True,0,True,0,,11/256,0.04296875,0,post_freeze_evaluator
127,square_control,framed_binary,10,3,#,8,16,121,1.091329169322069,True,64570080,True,0,True,0,,91/8192,0.0111083984375,0,post_freeze_evaluator
127,fibonacci_control,raw_binary,9,3,#,3,8,89,1.0214332244485194,True,9840,True,0,True,11,10<101;10<1000;11<1101;10<10101;101<10101,105/128,0.8203125,0,post_freeze_evaluator
127,fibonacci_control,elias_gamma,9,3,#,4,14,89,1.0214332244485194,True,7174452,True,0,True,0,,2457/8192,0.2999267578125,0,post_freeze_evaluator
127,fibonacci_control,elias_delta,9,3,#,5,12,89,1.0214332244485194,True,797160,True,0,True,0,,345/2048,0.16845703125,0,post_freeze_evaluator
127,fibonacci_control,framed_binary,9,3,#,6,16,89,1.0214332244485194,True,64570080,True,0,True,0,,2457/32768,0.074981689453125,0,post_freeze_evaluator
127,matched_density_seeded_random,raw_binary,31,3,#,4,8,109,1.0675622170394266,True,9840,True,0,True,26,1001<10010;1001<10011;10000<100000;1011<101100;110<110101,5/8,0.625,0,post_freeze_evaluator
127,matched_density_seeded_random,elias_gamma,31,3,#,6,14,109,1.0675622170394266,True,7174452,True,0,True,0,,251/4096,0.061279296875,0,post_freeze_evaluator
127,matched_density_seeded_random,elias_delta,31,3,#,6,12,109,1.0675622170394266,True,797160,True,0,True,0,,1/16,0.0625,0,post_freeze_evaluator
127,matched_density_seeded_random,framed_binary,31,3,#,8,16,109,1.0675622170394266,True,64570080,True,0,True,0,,251/16384,0.01531982421875,0,post_freeze_evaluator
127,matched_density_hash,raw_binary,31,3,#,4,8,126,1.1005433756832199,True,9840,True,0,True,33,110<1100;110<11000;1100<11000;1111<11111;1010<101001,87/128,0.6796875,0,post_freeze_evaluator
127,matched_density_hash,elias_gamma,31,3,#,6,14,126,1.1005433756832199,True,7174452,True,0,True,0,,559/8192,0.0682373046875,0,post_freeze_evaluator
127,matched_density_hash,elias_delta,31,3,#,6,12,126,1.1005433756832199,True,797160,True,0,True,0,,135/2048,0.06591796875,0,post_freeze_evaluator
127,matched_density_hash,framed_binary,31,3,#,8,16,126,1.1005433756832199,True,64570080,True,0,True,0,,559/32768,0.017059326171875,0,post_freeze_evaluator
127,arbitrary_decidable_modular,raw_binary,54,3,#,3,8,127,1.102342276803445,True,9840,True,0,True,116,10<100;10<1000;100<1000;10<1001;100<1001,81/64,1.265625,0,post_freeze_evaluator
127,arbitrary_decidable_modular,elias_gamma,54,3,#,4,14,127,1.102342276803445,True,7174452,True,0,True,0,,27/128,0.2109375,0,post_freeze_evaluator
127,arbitrary_decidable_modular,elias_delta,54,3,#,5,12,127,1.102342276803445,True,797160,True,0,True,0,,153/1024,0.1494140625,0,post_freeze_evaluator
127,arbitrary_decidable_modular,framed_binary,54,3,#,6,16,127,1.102342276803445,True,64570080,True,0,True,0,,27/512,0.052734375,0,post_freeze_evaluator
511,prime_evaluator,raw_binary,97,3,#,3,10,509,1.4182546656442285,True,88572,True,0,True,226,10<101;11<111;10<1011;101<1011;11<1101,725/512,1.416015625,0,post_freeze_evaluator
511,prime_evaluator,elias_gamma,97,3,#,4,18,509,1.4182546656442285,True,581130732,True,0,True,0,,45079/131072,0.34392547607421875,0,post_freeze_evaluator
511,prime_evaluator,elias_delta,97,3,#,5,16,509,1.4182546656442285,True,64570080,True,0,True,0,,7241/32768,0.220977783203125,0,post_freeze_evaluator
511,prime_evaluator,framed_binary,97,3,#,6,20,509,1.4182546656442285,True,5230176600,True,0,True,0,,45079/524288,0.085981369018554688,0,post_freeze_evaluator
511,composite_control,raw_binary,413,3,#,4,10,511,1.4191470581865366,True,88572,True,0,True,1493,100<1000;100<1001;110<1100;100<10000;1000<10000,1323/512,2.583984375,0,post_freeze_evaluator
511,composite_control,elias_gamma,413,3,#,6,18,511,1.4191470581865366,True,581130732,True,0,True,0,,20201/131072,0.15412139892578125,0,post_freeze_evaluator
511,composite_control,elias_delta,413,3,#,6,16,511,1.4191470581865366,True,64570080,True,0,True,0,,5559/32768,0.169647216796875,0,post_freeze_evaluator
511,composite_control,framed_binary,413,3,#,8,20,511,1.4191470581865366,True,5230176600,True,0,True,0,,20201/524288,0.038530349731445312,0,post_freeze_evaluator
511,square_control,raw_binary,21,3,#,4,10,484,1.4067940461077977,True,88572,True,0,True,22,100<1001;100<10000;100<100100;1001<100100;100<1000000,175/512,0.341796875,0,post_freeze_evaluator
511,square_control,elias_gamma,21,3,#,6,18,484,1.4067940461077977,True,581130732,True,0,True,0,,5847/131072,0.04460906982421875,0,post_freeze_evaluator
511,square_control,elias_delta,21,3,#,6,16,484,1.4067940461077977,True,64570080,True,0,True,0,,1423/32768,0.043426513671875,0,post_freeze_evaluator
511,square_control,framed_binary,21,3,#,8,20,484,1.4067940461077977,True,5230176600,True,0,True,0,,5847/524288,0.011152267456054688,0,post_freeze_evaluator
511,fibonacci_control,raw_binary,12,3,#,3,10,377,1.3499405678958638,True,88572,True,0,True,15,10<101;10<1000;11<1101;10<10101;101<10101,425/512,0.830078125,0,post_freeze_evaluator
511,fibonacci_control,elias_gamma,12,3,#,4,18,377,1.3499405678958638,True,581130732,True,0,True,0,,39321/131072,0.29999542236328125,0,post_freeze_evaluator
511,fibonacci_control,elias_delta,12,3,#,5,16,377,1.3499405678958638,True,64570080,True,0,True,0,,5525/32768,0.168609619140625,0,post_freeze_evaluator
