cutoff,inventory,encoder,atom,cycle_length,allocation,sigma,min_roof_share,max_roof_share,max_singular_value,min_singular_value,universal_max_sv_lower_bound,block_s1_norm,amgm_block_s1_lower_bound,max_sv_bound_pass,s1_bound_pass,total_roof,finite_row_is_infinite_proof,theorem_gate
127,prime_evaluator,raw_binary,127,8,equal,1,1/8,1/8,0.54578869381583861,0.54578869381583861,0.54578869381583861,4.3663095505267089,4.3663095505267089,True,True,log(atom),False,STOP_WHOLE_OPERATOR_COMPACTNESS
127,prime_evaluator,raw_binary,127,8,equal,2,1/8,1/8,0.29788529829719923,0.29788529829719923,0.29788529829719923,2.3830823863775938,2.3830823863775938,True,True,log(atom),False,STOP_WHOLE_OPERATOR_COMPACTNESS
127,prime_evaluator,raw_binary,127,8,concentrated_positive,1,1/64,57/64,0.9271031717473649,0.013375185409853673,0.54578869381583861,6.5030973876414082,4.3663095505267089,True,True,log(atom),False,STOP_WHOLE_OPERATOR_COMPACTNESS
127,prime_evaluator,raw_binary,127,8,concentrated_positive,2,1/64,57/64,0.85952029106402394,0.0001788955847479626,0.29788529829719923,6.0168209330329159,2.3830823863775938,True,True,log(atom),False,STOP_WHOLE_OPERATOR_COMPACTNESS
127,prime_evaluator,raw_binary,127,8,hashed_positive,1,7/316,19/79,0.89824902198581502,0.31190467905383279,0.54578869381583861,4.6466417398317486,4.3663095505267089,True,True,log(atom),False,STOP_WHOLE_OPERATOR_COMPACTNESS
127,prime_evaluator,raw_binary,127,8,hashed_positive,2,7/316,19/79,0.80685130549847317,0.097284528815674426,0.29788529829719923,3.0086324571880363,2.3830823863775938,True,True,log(atom),False,STOP_WHOLE_OPERATOR_COMPACTNESS
127,prime_evaluator,elias_gamma,127,14,equal,1,1/14,1/14,0.70750303245498736,0.70750303245498736,0.70750303245498725,9.9050424543698234,9.9050424543698217,True,True,log(atom),False,STOP_WHOLE_OPERATOR_COMPACTNESS
127,prime_evaluator,elias_gamma,127,14,equal,2,1/14,1/14,0.50056054093300284,0.50056054093300284,0.50056054093300284,7.0078475730620395,7.0078475730620395,True,True,log(atom),False,STOP_WHOLE_OPERATOR_COMPACTNESS
127,prime_evaluator,elias_gamma,127,14,concentrated_positive,1,1/196,183/196,0.9755876805944792,0.010857611074727345,0.70750303245498725,12.693497458802957,9.9050424543698217,True,True,log(atom),False,STOP_WHOLE_OPERATOR_COMPACTNESS
127,prime_evaluator,elias_gamma,127,14,concentrated_positive,2,1/196,183/196,0.95177132252771546,0.00011788771825004189,0.50056054093300284,12.373145080578551,7.0078475730620395,True,True,log(atom),False,STOP_WHOLE_OPERATOR_COMPACTNESS
127,prime_evaluator,elias_gamma,127,14,hashed_positive,1,3/265,228/1855,0.94663673608260646,0.55133970953901568,0.70750303245498725,10.075019094823267,9.9050424543698217,True,True,log(atom),False,STOP_WHOLE_OPERATOR_COMPACTNESS
127,prime_evaluator,elias_gamma,127,14,hashed_positive,2,3/265,228/1855,0.89612111010113027,0.30397547531456615,0.50056054093300284,7.4944845012189933,7.0078475730620395,True,True,log(atom),False,STOP_WHOLE_OPERATOR_COMPACTNESS
127,prime_evaluator,elias_delta,127,12,equal,1,1/12,1/12,0.66785629408457126,0.66785629408457126,0.66785629408457126,8.0142755290148546,8.0142755290148546,True,True,log(atom),False,STOP_WHOLE_OPERATOR_COMPACTNESS
