s,sigma,cutoff,completion_region,D_grouped_partial,F_grouped_partial,target_one_over_zeta,D_residual_observation,absolute_tail_majorant,precision_digits,evidence_label
(1.1+0j),1.1,100,True,(0.114185536005144074055341715455 + 0.0j),(0.885814463994855925944658284545 + 0.0j),(0.094478234110297347528215472043 + 0.0j),0.019707301894846728,6.3095734448019325,80,NUMERICAL_OBSERVATION
(1.1+0j),1.1,1000,True,(0.0967097659119562324254549001155 + 0.0j),(0.903290234088043767574545099884 + 0.0j),(0.094478234110297347528215472043 + 0.0j),0.002231531801658885,5.011872336272723,80,NUMERICAL_OBSERVATION
(1.1+0j),1.1,10000,True,(0.0936502378751008731668745620099 + 0.0j),(0.90634976212489912683312543799 + 0.0j),(0.094478234110297347528215472043 + 0.0j),0.0008279962351964744,3.9810717055349727,80,NUMERICAL_OBSERVATION
(1.1+0j),1.1,100000,True,(0.0943233852716610886113879184106 + 0.0j),(0.905676614728338911388612081589 + 0.0j),(0.094478234110297347528215472043 + 0.0j),0.00015484883863625893,3.1622776601683795,80,NUMERICAL_OBSERVATION
(1.25+0j),1.25,100,True,(0.227546980753026582395854839026 + 0.0j),(0.772453019246973417604145160974 + 0.0j),(0.217622560211917476759460373339 + 0.0j),0.009924420541109105,1.2649110640673518,80,NUMERICAL_OBSERVATION
(1.25+0j),1.25,1000,True,(0.218425122571008873722712202016 + 0.0j),(0.781574877428991126277287797984 + 0.0j),(0.217622560211917476759460373339 + 0.0j),0.000802562359091397,0.7113117640155692,80,NUMERICAL_OBSERVATION
(1.25+0j),1.25,10000,True,(0.217415044658474451612352786135 + 0.0j),(0.782584955341525548387647213865 + 0.0j),(0.217622560211917476759460373339 + 0.0j),0.00020751555344302515,0.4,80,NUMERICAL_OBSERVATION
(1.25+0j),1.25,100000,True,(0.217594822880047386763533955383 + 0.0j),(0.782405177119952613236466044617 + 0.0j),(0.217622560211917476759460373339 + 0.0j),2.7737331870089995e-05,0.22493653007613965,80,NUMERICAL_OBSERVATION
(1.5+0j),1.5,100,True,(0.38595568657438275810079648212 + 0.0j),(0.61404431342561724189920351788 + 0.0j),(0.382793383999426562249676004068 + 0.0j),0.003162302574956196,0.2,80,NUMERICAL_OBSERVATION
(1.5+0j),1.5,1000,True,(0.382939271518633634093466088696 + 0.0j),(0.617060728481366365906533911304 + 0.0j),(0.382793383999426562249676004068 + 0.0j),0.00014588751920707185,0.06324555320336758,80,NUMERICAL_OBSERVATION
(1.5+0j),1.5,10000,True,(0.382772720266310513111892181565 + 0.0j),(0.617227279733689486888107818435 + 0.0j),(0.382793383999426562249676004068 + 0.0j),2.066373311604914e-05,0.02,80,NUMERICAL_OBSERVATION
(1.5+0j),1.5,100000,True,(0.382791806234984620539041153241 + 0.0j),(0.617208193765015379460958846759 + 0.0j),(0.382793383999426562249676004068 + 0.0j),1.5777644419417107e-06,0.006324555320336759,80,NUMERICAL_OBSERVATION
(1.7+0j),1.7,100,True,(0.488052659141476819319018574236 + 0.0j),(0.511947340858523180680981425764 + 0.0j),(0.48678648348313990391950138518 + 0.0j),0.0012661756583369154,0.056872452936213895,80,NUMERICAL_OBSERVATION
(1.7+0j),1.7,1000,True,(0.486823758787652758996195323478 + 0.0j),(0.513176241212347241003804676522 + 0.0j),(0.48678648348313990391950138518 + 0.0j),3.7275304512855074e-05,0.011347546210346879,80,NUMERICAL_OBSERVATION
(1.7+0j),1.7,10000,True,(0.486783221016323443123826191635 + 0.0j),(0.513216778983676556876173808365 + 0.0j),(0.48678648348313990391950138518 + 0.0j),3.2624668164607957e-06,0.002264133132087305,80,NUMERICAL_OBSERVATION
(1.7+0j),1.7,100000,True,(0.48678632434596853687028849525 + 0.0j),(0.51321367565403146312971150475 + 0.0j),(0.48678648348313990391950138518 + 0.0j),1.5913717136704922e-07,0.0004517539514526256,80,NUMERICAL_OBSERVATION
(1.25+0.75j),1.25,100,True,(0.422136559045379829902852095578 + 0.499018527617760344507081602261j),(0.577863440954620170097147904422 - 0.499018527617760344507081602261j),(0.431670391439216013657291752203 + 0.496186012805795421472702444259j),0.009945707630619395,1.2649110640673518,80,NUMERICAL_OBSERVATION
(1.25+0.75j),1.25,1000,True,(0.431985012312807777286904641961 + 0.496927206466204017757289121091j),(0.568014987687192222713095358039 - 0.496927206466204017757289121091j),(0.431670391439216013657291752203 + 0.496186012805795421472702444259j),0.0008052045307433,0.7113117640155692,80,NUMERICAL_OBSERVATION
(1.25+0.75j),1.25,10000,True,(0.431503039484219403286903245531 + 0.496309682616715656334950574894j),(0.568496960515780596713096754469 - 0.496309682616715656334950574894j),(0.431670391439216013657291752203 + 0.496186012805795421472702444259j),0.00020808868055286945,0.4,80,NUMERICAL_OBSERVATION
(1.25+0.75j),1.25,100000,True,(0.431689269187997254437641664545 + 0.496206474462943453708344799156j),(0.568310730812002745562358335455 - 0.496206474462943453708344799156j),(0.431670391439216013657291752203 + 0.496186012805795421472702444259j),2.7839698494977572e-05,0.22493653007613965,80,NUMERICAL_OBSERVATION
