X,seed,normal_entropy_monoid_compatible,random_label_compatible_pairs,tested_multiplicative_pairs,lambda_mismatch_count,mixed_prime_leak_count,prime_power_wrong_count,control_breaks_selector
64,14200,True,127,280,63,36,27,True
64,14201,True,127,280,62,36,26,True
64,14202,True,127,280,61,36,25,True
64,14203,True,127,280,63,36,27,True
64,14204,True,127,280,63,36,27,True
64,14205,True,127,280,63,36,27,True
64,14206,True,127,280,63,36,27,True
64,14207,True,127,280,63,36,27,True
128,14200,True,255,645,127,83,44,True
128,14201,True,255,645,127,83,44,True
128,14202,True,255,645,127,83,44,True
128,14203,True,255,645,127,83,44,True
128,14204,True,257,645,125,82,43,True
128,14205,True,255,645,126,82,44,True
128,14206,True,255,645,127,83,44,True
128,14207,True,255,645,126,83,43,True
256,14200,True,511,1466,255,185,70,True
256,14201,True,511,1466,254,185,69,True
256,14202,True,511,1466,255,185,70,True
256,14203,True,511,1466,255,185,70,True
256,14204,True,511,1466,255,185,70,True
256,14205,True,511,1466,255,185,70,True
256,14206,True,511,1466,255,185,70,True
256,14207,True,511,1466,255,185,70,True
512,14200,True,1023,3280,511,394,117,True
512,14201,True,1023,3280,511,394,117,True
512,14202,True,1023,3280,510,394,116,True
512,14203,True,1023,3280,511,394,117,True
512,14204,True,1023,3280,511,394,117,True
512,14205,True,1023,3280,511,394,117,True
512,14206,True,1023,3280,511,394,117,True
512,14207,True,1023,3280,511,394,117,True
