n,factor_type,max_nonzero_word_length,ordered_word_counts,bar_endpoint_coefficient,expected_minus_mu,bar_coefficient_exact,determinant_coefficient,expected_mu,determinant_coefficient_exact,independent_inverse_coefficient,independent_inverse_exact
1,unit,0,0;0;0;0;0;0;0;0;0,0,0,True,1,1,True,1,True
2,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
3,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
4,prime_power,2,1;1;0;0;0;0;0;0;0,0,0,True,0,0,True,0,True
5,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
6,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
7,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
8,prime_power,3,1;2;1;0;0;0;0;0;0,0,0,True,0,0,True,0,True
9,prime_power,2,1;1;0;0;0;0;0;0;0,0,0,True,0,0,True,0,True
10,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
11,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
12,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
13,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
14,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
15,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
16,prime_power,4,1;3;3;1;0;0;0;0;0,0,0,True,0,0,True,0,True
17,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
18,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
19,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
20,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
21,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
22,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
23,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
24,mixed_prime,4,1;6;9;4;0;0;0;0;0,0,0,True,0,0,True,0,True
25,prime_power,2,1;1;0;0;0;0;0;0;0,0,0,True,0,0,True,0,True
26,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
27,prime_power,3,1;2;1;0;0;0;0;0;0,0,0,True,0,0,True,0,True
28,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
29,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
30,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
31,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
32,prime_power,5,1;4;6;4;1;0;0;0;0,0,0,True,0,0,True,0,True
33,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
34,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
35,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
36,mixed_prime,4,1;7;12;6;0;0;0;0;0,0,0,True,0,0,True,0,True
37,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
38,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
39,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
40,mixed_prime,4,1;6;9;4;0;0;0;0;0,0,0,True,0,0,True,0,True
41,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
42,mixed_prime,3,1;6;6;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
43,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
44,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
45,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
46,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
47,prime_power,1,1;0;0;0;0;0;0;0;0,1,1,True,-1,-1,True,-1,True
48,mixed_prime,5,1;8;18;16;5;0;0;0;0,0,0,True,0,0,True,0,True
49,prime_power,2,1;1;0;0;0;0;0;0;0,0,0,True,0,0,True,0,True
50,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
51,mixed_prime,2,1;2;0;0;0;0;0;0;0,-1,-1,True,1,1,True,1,True
52,mixed_prime,3,1;4;3;0;0;0;0;0;0,0,0,True,0,0,True,0,True
