rule,prime_nonzero_all_cutoffs,naive_controls_zero_all,adversarial_shuffles_zero_all,naive_selectivity_pass,robust_selectivity_pass,leaking_naive_rows,leaking_adversarial_rows
constant,True,False,False,False,False,132,7
factor_depth_sum,True,False,False,False,False,106,7
indecomposable_pair,True,False,False,False,False,106,7
factor_depth_equal,True,False,False,False,False,132,7
distinct_depth_equal,True,False,False,False,False,132,7
tensor_coprime,True,False,False,False,False,132,7
v2_equal,True,False,False,False,False,128,7
v2_parity_equal,True,False,False,False,False,132,7
entropy_increasing,True,False,False,False,False,132,7
entropy_bin_equal,True,False,False,False,False,132,7
ordered_consecutive_tensor_atoms,True,False,False,False,False,63,7
consecutive_run_2,True,False,False,False,False,1,7
consecutive_run_3,True,True,False,True,False,0,7
consecutive_run_4,True,True,False,True,False,0,7
consecutive_run_5,True,True,False,True,False,0,7
consecutive_run_6,True,True,False,True,False,0,7
consecutive_run_7,True,True,False,True,False,0,7
consecutive_run_8,True,True,False,True,False,0,7
