candidate_id,target,seed,precision,cutoff_degree,evidence_status,exact_reconstruction,positive_obstruction_count,positive_crossing_root,random_phase_max_coefficient_error,adversarial_verdict
SD-C03,on_circle,20260813,exact_rational + 80_decimal_digit_bisection,12,PROVED,True,6,0.60828677973192216960675034716479663828484676767662291281353455682587625062853565,3.5318350367404667,STOP_SCOPED / PROVES_TOO_MUCH
SD-C03,off_circle,20260814,exact_rational + 80_decimal_digit_bisection,12,PROVED,True,7,0.18731541436122621703700632046706155056701294941514639739406506098843149322762155,11.532003117571568,STOP_SCOPED / PROVES_TOO_MUCH
