check,actual,expected,exact
finite_incidence_fredholm,13032061231684147510264082032595569214375/13239391670016285360628993515288344395776,13032061231684147510264082032595569214375/13239391670016285360628993515288344395776,True
de_rham_degree_zero_determinant,1869848998008659122926735201574726454428842105235149138615346795838542013/1903635199569067052626888648111904007235079733811742377287451725004800000,1869848998008659122926735201574726454428842105235149138615346795838542013/1903635199569067052626888648111904007235079733811742377287451725004800000,True
de_rham_degree_one_determinant,202851980740405743957002077250713257951343321141631018537549837/203291956847334096581508639156345931956332098125766538035200000,202851980740405743957002077250713257951343321141631018537549837/203291956847334096581508639156345931956332098125766538035200000,True
honest_graded_relative_ratio,9217800049/9364045824,9217800049/9364045824,True
