source,derived_atoms,six_is_atom,q6_trace,q6_idempotent,source_equivariant,interpretation
standard_divisibility,"2,3,5",False,1,True,True,INTEGER_SOURCE_BASELINE
six_promoted_to_cover,"2,3,5,6",True,1,True,True,PROVES_TOO_MUCH
