ablation,label,observed,expected_atom_coefficient,idempotent_coefficient,passes_atom_selector,expected_failure
scalar_mobius_as_atom_coefficient,2,-1,1,False,False,True
scalar_mobius_as_atom_coefficient,3,-1,1,False,False,True
scalar_mobius_as_atom_coefficient,4,0,0,True,True,False
scalar_mobius_as_atom_coefficient,5,-1,1,False,False,True
scalar_mobius_as_atom_coefficient,6,1,0,True,False,True
scalar_mobius_as_atom_coefficient,7,-1,1,False,False,True
scalar_mobius_as_atom_coefficient,8,0,0,True,True,False
scalar_mobius_as_atom_coefficient,9,0,0,True,True,False
scalar_mobius_as_atom_coefficient,10,1,0,True,False,True
scalar_mobius_as_atom_coefficient,11,-1,1,False,False,True
scalar_mobius_as_atom_coefficient,12,0,0,True,True,False
zeta_without_mobius_inverse,2x4,nonzero,cross_product_zero,not_applicable,False,True
unfiltered_compiler,4,1,0,True,False,True
