eta,label,eta_gt_half,C_eta_formula,trace_norm_formula,trace_norm_numeric,uniform_bound_numeric,below_uniform_bound,trace,rank,exact_formula_certificate
3/5,2,True,zeta(2*eta)/zeta(4*eta),sqrt((1+p^(-2*eta))*C_eta),2.40862978609064128895741,2.8432657123134266666144,True,1,1,True
3/5,3,True,zeta(2*eta)/zeta(4*eta),sqrt((1+p^(-2*eta))*C_eta),2.26355070942315320304602,2.8432657123134266666144,True,1,1,True
3/5,5,True,zeta(2*eta)/zeta(4*eta),sqrt((1+p^(-2*eta))*C_eta),2.1512794856867080416579,2.8432657123134266666144,True,1,1,True
3/5,7,True,zeta(2*eta)/zeta(4*eta),sqrt((1+p^(-2*eta))*C_eta),2.105554463063362404883,2.8432657123134266666144,True,1,1,True
3/5,11,True,zeta(2*eta)/zeta(4*eta),sqrt((1+p^(-2*eta))*C_eta),2.06629014359746137198334,2.8432657123134266666144,True,1,1,True
3/5,13,True,zeta(2*eta)/zeta(4*eta),sqrt((1+p^(-2*eta))*C_eta),2.0562670477561597026819,2.8432657123134266666144,True,1,1,True
3/4,2,True,zeta(2*eta)/zeta(4*eta),sqrt((1+p^(-2*eta))*C_eta),1.71511391555555186898401,2.08482820036546615120148,True,1,1,True
3/4,3,True,zeta(2*eta)/zeta(4*eta),sqrt((1+p^(-2*eta))*C_eta),1.60981281519615835475789,2.08482820036546615120148,True,1,1,True
3/4,5,True,zeta(2*eta)/zeta(4*eta),sqrt((1+p^(-2*eta))*C_eta),1.53871247721173885025578,2.08482820036546615120148,True,1,1,True
3/4,7,True,zeta(2*eta)/zeta(4*eta),sqrt((1+p^(-2*eta))*C_eta),1.51347250239702371395345,2.08482820036546615120148,True,1,1,True
3/4,11,True,zeta(2*eta)/zeta(4*eta),sqrt((1+p^(-2*eta))*C_eta),1.49426352390467804232875,2.08482820036546615120148,True,1,1,True
3/4,13,True,zeta(2*eta)/zeta(4*eta),sqrt((1+p^(-2*eta))*C_eta),1.48983887511768726744474,2.08482820036546615120148,True,1,1,True
1/1,2,True,zeta(2*eta)/zeta(4*eta),sqrt((1+p^(-2*eta))*C_eta),1.37832223855448012377832,1.74345504939764166645809,True,1,1,True
1/1,3,True,zeta(2*eta)/zeta(4*eta),sqrt((1+p^(-2*eta))*C_eta),1.29949466872279351317645,1.74345504939764166645809,True,1,1,True
1/1,5,True,zeta(2*eta)/zeta(4*eta),sqrt((1+p^(-2*eta))*C_eta),1.25722331541395987368925,1.74345504939764166645809,True,1,1,True
1/1,7,True,zeta(2*eta)/zeta(4*eta),sqrt((1+p^(-2*eta))*C_eta),1.24532503528402976175578,1.74345504939764166645809,True,1,1,True
1/1,11,True,zeta(2*eta)/zeta(4*eta),sqrt((1+p^(-2*eta))*C_eta),1.23789265768325008661134,1.74345504939764166645809,True,1,1,True
1/1,13,True,zeta(2*eta)/zeta(4*eta),sqrt((1+p^(-2*eta))*C_eta),1.23645087209333263649184,1.74345504939764166645809,True,1,1,True
5/4,2,True,zeta(2*eta)/zeta(4*eta),sqrt((1+p^(-2*eta))*C_eta),1.23386048444199348747397,1.60854799632460942646784,True,1,1,True
5/4,3,True,zeta(2*eta)/zeta(4*eta),sqrt((1+p^(-2*eta))*C_eta),1.17333076195140430632313,1.60854799632460942646784,True,1,1,True
5/4,5,True,zeta(2*eta)/zeta(4*eta),sqrt((1+p^(-2*eta))*C_eta),1.14754345268608203731545,1.60854799632460942646784,True,1,1,True
5/4,7,True,zeta(2*eta)/zeta(4*eta),sqrt((1+p^(-2*eta))*C_eta),1.14179352971176728550655,1.60854799632460942646784,True,1,1,True
5/4,11,True,zeta(2*eta)/zeta(4*eta),sqrt((1+p^(-2*eta))*C_eta),1.13883143660918697655921,1.60854799632460942646784,True,1,1,True
5/4,13,True,zeta(2*eta)/zeta(4*eta),sqrt((1+p^(-2*eta))*C_eta),1.13834813362167015054018,1.60854799632460942646784,True,1,1,True
