q,witness_index,degree,fourier_mode,mode_over_degree,closed_point_count,closed_point_exists,frequency_match,actual_frequency_formula
0,1,1,0,0,3,True,True,(2*pi/log(2))*0
0,2,2,0,0,1,True,True,(2*pi/log(2))*0
0,3,3,0,0,2,True,True,(2*pi/log(2))*0
0,4,4,0,0,3,True,True,(2*pi/log(2))*0
0,5,5,0,0,6,True,True,(2*pi/log(2))*0
0,6,6,0,0,9,True,True,(2*pi/log(2))*0
0,7,7,0,0,18,True,True,(2*pi/log(2))*0
0,8,8,0,0,30,True,True,(2*pi/log(2))*0
0,9,9,0,0,56,True,True,(2*pi/log(2))*0
0,10,10,0,0,99,True,True,(2*pi/log(2))*0
0,11,11,0,0,186,True,True,(2*pi/log(2))*0
0,12,12,0,0,335,True,True,(2*pi/log(2))*0
1/2,1,2,1,1/2,1,True,True,(2*pi/log(2))*1/2
1/2,2,4,2,1/2,3,True,True,(2*pi/log(2))*1/2
1/2,3,6,3,1/2,9,True,True,(2*pi/log(2))*1/2
1/2,4,8,4,1/2,30,True,True,(2*pi/log(2))*1/2
1/2,5,10,5,1/2,99,True,True,(2*pi/log(2))*1/2
1/2,6,12,6,1/2,335,True,True,(2*pi/log(2))*1/2
1/2,7,14,7,1/2,1161,True,True,(2*pi/log(2))*1/2
1/2,8,16,8,1/2,4080,True,True,(2*pi/log(2))*1/2
1/2,9,18,9,1/2,14532,True,True,(2*pi/log(2))*1/2
1/2,10,20,10,1/2,52377,True,True,(2*pi/log(2))*1/2
1/2,11,22,11,1/2,190557,True,True,(2*pi/log(2))*1/2
1/2,12,24,12,1/2,698870,True,True,(2*pi/log(2))*1/2
-2/3,1,3,-2,-2/3,2,True,True,(2*pi/log(2))*-2/3
-2/3,2,6,-4,-2/3,9,True,True,(2*pi/log(2))*-2/3
-2/3,3,9,-6,-2/3,56,True,True,(2*pi/log(2))*-2/3
-2/3,4,12,-8,-2/3,335,True,True,(2*pi/log(2))*-2/3
-2/3,5,15,-10,-2/3,2182,True,True,(2*pi/log(2))*-2/3
-2/3,6,18,-12,-2/3,14532,True,True,(2*pi/log(2))*-2/3
-2/3,7,21,-14,-2/3,99858,True,True,(2*pi/log(2))*-2/3
-2/3,8,24,-16,-2/3,698870,True,True,(2*pi/log(2))*-2/3
-2/3,9,27,-18,-2/3,4971008,True,True,(2*pi/log(2))*-2/3
-2/3,10,30,-20,-2/3,35790267,True,True,(2*pi/log(2))*-2/3
-2/3,11,33,-22,-2/3,260300986,True,True,(2*pi/log(2))*-2/3
-2/3,12,36,-24,-2/3,1908866960,True,True,(2*pi/log(2))*-2/3
5/4,1,4,5,5/4,3,True,True,(2*pi/log(2))*5/4
5/4,2,8,10,5/4,30,True,True,(2*pi/log(2))*5/4
5/4,3,12,15,5/4,335,True,True,(2*pi/log(2))*5/4
5/4,4,16,20,5/4,4080,True,True,(2*pi/log(2))*5/4
5/4,5,20,25,5/4,52377,True,True,(2*pi/log(2))*5/4
5/4,6,24,30,5/4,698870,True,True,(2*pi/log(2))*5/4
5/4,7,28,35,5/4,9586395,True,True,(2*pi/log(2))*5/4
5/4,8,32,40,5/4,134215680,True,True,(2*pi/log(2))*5/4
5/4,9,36,45,5/4,1908866960,True,True,(2*pi/log(2))*5/4
5/4,10,40,50,5/4,27487764474,True,True,(2*pi/log(2))*5/4
5/4,11,44,55,5/4,399822314775,True,True,(2*pi/log(2))*5/4
5/4,12,48,60,5/4,5864061663920,True,True,(2*pi/log(2))*5/4
1,1,1,1,1,3,True,True,(2*pi/log(2))*1
1,2,2,2,1,1,True,True,(2*pi/log(2))*1
1,3,3,3,1,2,True,True,(2*pi/log(2))*1
1,4,4,4,1,3,True,True,(2*pi/log(2))*1
1,5,5,5,1,6,True,True,(2*pi/log(2))*1
1,6,6,6,1,9,True,True,(2*pi/log(2))*1
1,7,7,7,1,18,True,True,(2*pi/log(2))*1
1,8,8,8,1,30,True,True,(2*pi/log(2))*1
1,9,9,9,1,56,True,True,(2*pi/log(2))*1
1,10,10,10,1,99,True,True,(2*pi/log(2))*1
1,11,11,11,1,186,True,True,(2*pi/log(2))*1
1,12,12,12,1,335,True,True,(2*pi/log(2))*1
-7/5,1,5,-7,-7/5,6,True,True,(2*pi/log(2))*-7/5
-7/5,2,10,-14,-7/5,99,True,True,(2*pi/log(2))*-7/5
-7/5,3,15,-21,-7/5,2182,True,True,(2*pi/log(2))*-7/5
-7/5,4,20,-28,-7/5,52377,True,True,(2*pi/log(2))*-7/5
-7/5,5,25,-35,-7/5,1342176,True,True,(2*pi/log(2))*-7/5
-7/5,6,30,-42,-7/5,35790267,True,True,(2*pi/log(2))*-7/5
-7/5,7,35,-49,-7/5,981706806,True,True,(2*pi/log(2))*-7/5
-7/5,8,40,-56,-7/5,27487764474,True,True,(2*pi/log(2))*-7/5
-7/5,9,45,-63,-7/5,781874934568,True,True,(2*pi/log(2))*-7/5
-7/5,10,50,-70,-7/5,22517997465744,True,True,(2*pi/log(2))*-7/5
-7/5,11,55,-77,-7/5,655069036708398,True,True,(2*pi/log(2))*-7/5
-7/5,12,60,-84,-7/5,19215358392200893,True,True,(2*pi/log(2))*-7/5
