component_index,degree,mode,weight,angular_frequency,weighted_norm_term,mapped_norm_term,norm_term_error,intertwiner_error
1,1,0,0.33333333333333331,0,1.666666666666667,1.6666666666666665,4.4408920985006262e-16,0
2,2,1,2,4.5323601418271942,1.6249999999999998,1.6250000000000004,6.6613381477509392e-16,2.2204460492503131e-16
3,3,-2,0.7142857142857143,-6.0431468557695922,1.294642857142857,1.2946428571428572,2.2204460492503131e-16,1.1102230246251565e-16
4,6,5,2.2000000000000002,7.5539335697119903,2.7500000000000009,2.7500000000000009,0,2.2887833992611187e-16
