role,index,window,target,predicted,residual,percent_error
joint-F,1,train,14.1347,14.1347,0.0,0.0
joint-F,2,train,21.022,21.89761661344937,0.8756166134493704,4.16523933712002
joint-F,3,train,25.0108,24.137722116843673,-0.8730778831563271,3.4908035055109274
joint-F,4,train,30.4248,30.049552846399983,-0.3752471536000179,1.2333594751650558
joint-F,5,train,32.935,32.55149688161639,-0.38350311838361506,1.164424224635236
joint-F,6,train,37.5861,38.851034805047604,1.2649348050476021,3.365432447228103
joint-F,7,train,40.9187,41.2284528750356,0.3097528750355991,0.7569958846092352
joint-F,8,train,43.327,41.88692233594811,-1.4400776640518913,3.3237419254780884
joint-F,9,train,48.0051,42.03410963446384,-5.97099036553616,12.438241698353217
joint-F,10,train,49.7738,46.918127833738644,-2.855672166261357,5.737299877167017
joint-F,11,train,52.9703,56.346683459173335,3.376383459173333,6.37410673372311
joint-F,12,train,56.4462,58.57187123061267,2.1256712306126744,3.7658358412305426
joint-F,13,train,59.347,60.068350452495544,0.7213504524955425,1.215479219666609
joint-F,14,train,60.8317,60.67120170206,-0.16049829793999493,0.2638399024521671
joint-F,15,train,65.1125,61.086940117601046,-4.025559882398952,6.182468623380997
joint-F,16,train,67.0798,65.6773353647419,-1.402464635258113,2.0907406331833323
joint-F,17,train,69.5464,67.45761259083459,-2.0887874091654197,3.003444332367196
joint-F,18,train,72.0671,70.49559728553648,-1.57150271446352,2.1806104511816353
joint-F,19,train,75.7046,73.41460986379262,-2.289990136207379,3.0249022334275315
joint-F,20,train,77.1448,74.7439327867736,-2.4008672132264053,3.1121568961568444
joint-F,21,train,79.3373,80.98542749531596,1.6481274953159613,2.0773677643629935
joint-F,22,train,82.9103,83.98969315866893,1.0793931586689212,1.3018806573717874
joint-F,23,train,84.7354,87.20702319088198,2.471623190881985,2.916872040353837
joint-F,24,train,87.4252,90.9740912965684,3.5488912965683994,4.059345928368936
joint-F,25,train,88.8091,92.02274965940889,3.213649659408887,3.6186040162650976
joint-F,26,train,92.4918,99.91207632963157,7.420276329631577,8.022631551804135
joint-F,27,train,94.6513,100.11774041023565,5.4664404102356485,5.775346361049079
joint-F,28,train,95.8706,101.26633151314292,5.39573151314292,5.628139923128592
joint-F,29,train,98.8311,102.23042317117847,3.399323171178466,3.4395278117702484
joint-F,30,train,101.3178,103.5889697196163,2.271169719616296,2.241629525726275
joint-F,31,train,103.7255,103.71860850599431,-0.006891494005685672,0.006643972799056811
joint-F,32,train,105.4466,107.48443230557032,2.037832305570319,1.9325727956807703
joint-F,33,train,107.1686,108.34304670597487,1.1744467059748729,1.0958869538044473
joint-F,34,train,111.0295,110.04689440333968,-0.9826055966603207,0.8849950658701703
joint-F,35,train,111.8746,115.14240920597312,3.2678092059731227,2.920957219934751
joint-F,36,train,114.3202,116.89056839901797,2.5703683990179655,2.2483938962825167
joint-F,37,train,116.2266,118.87433546429675,2.647735464296744,2.2780804603221156
joint-F,38,train,118.7907,120.08687389430605,1.296173894306051,1.0911408841820538
joint-F,39,train,121.3701,120.49534022824211,-0.8747597717578799,0.7207374565546868
joint-F,40,train,122.9468,123.20970507519445,0.2629050751944533,0.21383645218456543
joint-F,41,train,124.2568,126.18944297179516,1.9326429717951612,1.5553619373709617
joint-F,42,train,127.5166,128.0640809152378,0.5474809152378128,0.4293408977637522
joint-F,43,train,129.5787,132.463246013749,2.884546013749002,2.22609581184948
joint-F,44,train,131.0876,134.25449214788216,3.1668921478821517,2.4158594313132222
joint-F,45,train,133.4977,134.72392074888688,1.226220748886874,0.918533239813775
joint-F,46,train,134.7565,140.71314401843657,5.956644018436577,4.420301817304974
joint-F,47,train,138.116,141.4648641315222,3.348864131522191,2.424675006170314
joint-F,48,train,139.7362,142.91472485953983,3.1785248595398343,2.2746610109190275
