role,index,window,target,predicted,residual,percent_error
CS03-Q0103,1,train,14.1347,14.1347,0.0,0.0
CS03-Q0103,2,train,21.022,21.211569699731736,0.18956969973173798,0.9017681463787366
CS03-Q0103,3,train,25.0108,23.67814544325424,-1.3326545567457586,5.328316394300697
CS03-Q0103,4,train,30.4248,29.477416515598417,-0.947383484401584,3.11385279246399
CS03-Q0103,5,train,32.935,32.20084532213959,-0.7341546778604098,2.2291018000923324
CS03-Q0103,6,train,37.5861,38.111320372262554,0.5252203722625524,1.3973792765478523
CS03-Q0103,7,train,40.9187,40.44347308455234,-0.4752269154476636,1.1613929950063506
CS03-Q0103,8,train,43.327,41.08940532185475,-2.23759467814525,5.164434828502435
CS03-Q0103,9,train,48.0051,41.23379011104653,-6.771309888953468,14.105396903565387
CS03-Q0103,10,train,49.7738,46.02481758995737,-3.748982410042629,7.53203976799567
CS03-Q0103,11,train,52.9703,55.27385583668329,2.3035558366832873,4.348768718854315
CS03-Q0103,12,train,56.4462,57.45667708355083,1.0104770835508319,1.7901596273103095
CS03-Q0103,13,train,59.347,58.924663532900674,-0.4223364670993277,0.7116391175616757
CS03-Q0103,14,train,60.8317,59.51603681234133,-1.3156631876586644,2.1627920765960256
CS03-Q0103,15,train,65.1125,59.923859320803736,-5.188640679196261,7.968732085538509
CS03-Q0103,16,train,67.0798,64.42685431765689,-2.652945682343116,3.954909946575744
CS03-Q0103,17,train,69.5464,66.1732354952911,-3.3731645047089103,4.850235964347414
CS03-Q0103,18,train,72.0671,69.15337788619637,-2.9137221138036296,4.043068354080614
CS03-Q0103,19,train,75.7046,72.01681318446869,-3.687786815531311,4.871284988668206
CS03-Q0103,20,train,77.1448,73.32082609570176,-3.823973904298242,4.956878369375826
CS03-Q0103,21,train,79.3373,79.44348395097491,0.10618395097490918,0.13383862442370636
CS03-Q0103,22,train,82.9103,82.12142816257058,-0.7888718374294257,0.9514762790985265
CS03-Q0103,23,train,84.7354,85.54662233677519,0.8112223367751881,0.9573594233050037
CS03-Q0103,24,train,87.4252,89.24196600237015,1.8167660023701444,2.0780804646373636
CS03-Q0103,25,train,88.8091,90.27065858873199,1.4615585887319895,1.645730661308345
CS03-Q0103,26,train,92.4918,98.00977414480393,5.5179741448039294,5.965906323375617
CS03-Q0103,27,train,94.6513,98.21152223749209,3.560222237492084,3.761408704890566
CS03-Q0103,28,train,95.8706,99.33824453666823,3.4676445366682316,3.6170051472174283
CS03-Q0103,29,train,98.8311,100.28398044382956,1.4528804438295566,1.4700640221848755
CS03-Q0103,30,train,101.3178,101.61666043223768,0.29886043223767444,0.29497327442727184
CS03-Q0103,31,train,103.7255,101.74383103944956,-1.9816689605504365,1.9104935243025452
CS03-Q0103,32,train,105.4466,105.43795369451317,-0.008646305486834649,0.008199700594267287
CS03-Q0103,33,train,107.1686,106.28022105663457,-0.8883789433654243,0.828954510337379
CS03-Q0103,34,train,111.0295,108.22074875930015,-2.8087512406998485,2.5297342064044677
CS03-Q0103,35,train,111.8746,112.95012492435507,1.075524924355065,0.9613664981640739
CS03-Q0103,36,train,114.3202,114.66499968260165,0.3447996826016464,0.3016087118476406
CS03-Q0103,37,train,116.2266,116.34187483679867,0.1152748367986618,0.09918111413279042
CS03-Q0103,38,train,118.7907,117.53132721050746,-1.259372789492545,1.0601610980426457
CS03-Q0103,39,train,121.3701,118.20113765228574,-3.168962347714256,2.610990967062115
CS03-Q0103,40,train,122.9468,120.86382156472558,-2.0829784352744127,1.6942111834341462
CS03-Q0103,41,train,124.2568,123.51770472951765,-0.7390952704823519,0.5948127349829965
CS03-Q0103,42,train,127.5166,125.62577122952182,-1.8908287704781799,1.4828099012035922
CS03-Q0103,43,train,129.5787,129.94117757030816,0.3624775703081582,0.2797354583030685
CS03-Q0103,44,train,131.0876,131.6983185915828,0.6107185915827813,0.46588585921382436
CS03-Q0103,45,train,133.4977,131.8896881184912,-1.6080118815088156,1.2045240341285397
CS03-Q0103,46,train,134.7565,138.0339990742127,3.277499074212699,2.432163995215592
CS03-Q0103,47,train,138.116,138.77140655798834,0.6554065579883286,0.4745334052451045
CS03-Q0103,48,train,139.7362,140.19366244043908,0.45746244043908746,0.3273757554871876
CS03-Q0103,49,train,141.1237,142.26183251702355,1.1381325170235357,0.8064786545587563
CS03-Q0103,50,train,143.1118,142.82099875238436,-0.290801247615633,0.20319865141493085
CS03-Q0103,51,train,146.0009,144.30043015087708,-1.7004698491229249,1.1646981964651757
CS03-Q0103,52,train,147.4427,146.59827560481256,-0.8444243951874455,0.5727136000544248
CS03-Q0103,53,train,150.0515,148.2916356487808,-1.7598643512191927,1.1728402256686488
CS03-Q0103,54,train,150.9252,153.86943949238494,2.944239492384952,1.9507938319014666
CS03-Q0103,55,train,153.0246,154.2510267091445,1.226426709144505,0.8014572226586477
CS03-Q0103,56,train,156.1129,155.5619664400217,-0.5509335599782901,0.35290713322107914
CS03-Q0103,57,train,157.5975,157.8131757158967,0.2156757158967082,0.13685224441803215
CS03-Q0103,58,train,158.8499,159.11020107159237,0.26030107159238014,0.1638660594639217
CS03-Q0103,59,train,161.1889,161.81161182435477,0.6227118243547807,0.38632425952083593
CS03-Q0103,60,train,163.0306,162.10454485430193,-0.9260551456980579,0.5680253557909116
CS03-Q0103,61,train,165.5373,163.58030410385695,-1.9569958961430416,1.1822084183703865
CS03-Q0103,62,train,167.1844,164.71636675230934,-2.46803324769067,1.4762341747738843
CS03-Q0103,63,train,169.0945,168.58332186442829,-0.5111781355717255,0.30230323018887395
CS03-Q0103,64,train,169.9119,170.72304785109787,0.8111478510978714,0.47739319676719016
CS03-Q0103,65,train,173.4115,172.66661098759403,-0.7448890124059631,0.4295499504969181
CS03-Q0103,66,train,174.7541,172.95711789018932,-1.7969821098106706,1.0282918167932373
CS03-Q0103,67,train,176.4414,174.0791691133586,-2.3622308866413846,1.338818943083304
CS03-Q0103,68,train,178.3774,176.96202179423668,-1.415378205763318,0.7934739522850529
CS03-Q0103,69,train,179.9164,181.39170192319565,1.4753019231956443,0.8199930207561091
CS03-Q0103,70,train,182.207,181.65805807444536,-0.5489419255546295,0.30127378506568325
CS03-Q0103,71,train,184.8744,182.1792736096614,-2.6951263903386007,1.4578148139161509
CS03-Q0103,72,train,185.9589,182.79782775702762,-3.1610722429723808,1.6998768238424624
CS03-Q0103,73,train,187.2289,183.19476408446485,-4.03413591553516,2.1546544980690263
CS03-Q0103,74,train,189.4161,183.26878784613595,-6.14731215386405,3.2454010793507257
CS03-Q0103,75,train,192.0266,183.80440160675627,-8.22219839324373,4.281801788524991
CS03-Q0103,76,train,193.0797,184.10117442262114,-8.97852557737886,4.650165489887782
CS03-Q0103,77,train,195.2658,186.6773256862238,-8.588474313776203,4.398350511854202
CS03-Q0103,78,train,196.8764,187.92303957311012,-8.953360426889873,4.547706290286634
CS03-Q0103,79,train,198.0153,188.29420297133,-9.721097028669988,4.909265611632025
CS03-Q0103,80,train,201.2647,189.28755082892394,-11.977149171076064,5.950943792466371
CS03-Q0103,81,train,202.4935,190.7385148963483,-11.754985103651705,5.805117252480552
CS03-Q0103,82,train,204.1896,192.21361653106126,-11.97598346893875,5.865129011927517
CS03-Q0103,83,train,205.3946,192.3147647714448,-13.079835228555197,6.36814951734622
CS03-Q0103,84,train,207.9062,198.96271482851444,-8.943485171485577,4.301692384106667
CS03-Q0103,85,train,209.5765,199.74359183608948,-9.832908163910531,4.691799015591219
CS03-Q0103,86,train,211.3289,200.58822254472463,-10.740677455275375,5.082446109015556
CS03-Q0103,87,train,213.3479,202.13583158685748,-11.212068413142532,5.255298230328273
CS03-Q0103,88,train,214.547,205.41741747382966,-9.129582526170338,4.255283236852689
CS03-Q0103,89,train,216.1695,206.73116192139088,-9.43833807860912,4.366174727983884
CS03-Q0103,90,train,219.0675,206.86266156266117,-12.204838437338822,5.571268416053875
CS03-Q0103,91,train,220.7149,207.52396555702066,-13.19093444297934,5.976458518649779
CS03-Q0103,92,train,221.3952,214.87576299704037,-6.51943700295962,2.9447056679456556
CS03-Q0103,93,train,224.007,215.50327814994193,-8.50372185005807,3.7961857665421483
CS03-Q0103,94,train,224.9833,216.66909283021488,-8.314207169785135,3.695477473121398
CS03-Q0103,95,train,227.4214,223.8810156604449,-3.5403843395551178,1.5567507453366822
CS03-Q0103,96,train,229.3374,224.5323412373578,-4.805058762642204,2.0951919585040226
CS03-Q0103,97,train,231.2882,224.92871142714833,-6.35948857285166,2.749594909230847
CS03-Q0103,98,train,231.9872,227.9063761854922,-4.080823814507795,1.7590728344097413
CS03-Q0103,99,train,233.6934,228.21916485723438,-5.474235142765622,2.34248598495534
CS03-Q0103,100,train,236.5242,228.82508094056973,-7.699119059430274,3.255108381903532
CS03-Q0103,101,development,237.7698204809252,229.31615880117633,-8.453661679748876,3.555397258848947
CS03-Q0103,102,development,239.55547757332764,232.56957431632694,-6.9859032570007,2.9161943311700416
CS03-Q0103,103,development,241.04915779621658,234.55017650137378,-6.4989812948427925,2.6961227968019053
CS03-Q0103,104,development,242.8232719342226,235.34822403106304,-7.475047903159549,3.0783902397890572
CS03-Q0103,105,development,244.07089849707816,236.84193768232086,-7.228960814757301,2.961828247149195
CS03-Q0103,106,development,247.1369900748975,237.2485405627827,-9.888449512114818,4.001201725859823
CS03-Q0103,107,development,248.10199006014847,237.72326403843843,-10.378726021710037,4.183249807546435
CS03-Q0103,108,development,249.5736896447072,238.15864137627307,-11.415048268434134,4.573818772597617
CS03-Q0103,109,development,251.014947795016,239.98202633106266,-11.032921463953357,4.395324485999563
CS03-Q0103,110,development,253.06998674799948,240.451992881864,-12.617993866135492,4.985970097947713
CS03-Q0103,111,development,255.30625645491403,240.84233937815725,-14.463917076756786,5.665320261867946
CS03-Q0103,112,development,256.38071369443446,244.86459450218607,-11.516119192248397,4.491804015326131
CS03-Q0103,113,development,258.6104394915314,245.07299860509042,-13.537440886440976,5.234684614069604
CS03-Q0103,114,development,259.874406989678,247.42805122709868,-12.446355762579316,4.789373415702945
CS03-Q0103,115,development,260.8050845045969,248.33377578049246,-12.471308724104432,4.781850303184798
CS03-Q0103,116,development,263.57389390487015,251.08854077144323,-12.485353133426912,4.736946041375843
CS03-Q0103,117,development,265.55785183887633,254.47666344897803,-11.081188389898301,4.172796365524777
CS03-Q0103,118,development,266.6149737815011,254.7217980057182,-11.893175775782879,4.46080563559408
CS03-Q0103,119,development,267.92191508282406,255.07448200597642,-12.847433076847636,4.795215454053486
CS03-Q0103,120,development,269.9704490239976,255.26502745358857,-14.705421570409044,5.4470486023831
CS03-Q0103,121,development,271.494055641645,256.7648214402266,-14.729234201418365,5.425251085740169
CS03-Q0103,122,development,273.4596091884033,257.75610286335615,-15.703506325047158,5.742532278040388
CS03-Q0103,123,development,275.58749264934386,258.03688371176526,-17.550608937578602,6.3684344920217075
CS03-Q0103,124,development,276.4520495031329,258.37714192712684,-18.07490757600607,6.538170944470149
CS03-Q0103,125,development,278.25074352984194,261.4557701122204,-16.79497341762152,6.035913221493436
CS03-Q0103,126,development,279.22925092774517,263.16206091637156,-16.06719001137361,5.754121374458452
CS03-Q0103,127,development,282.4651147650521,265.54670844722347,-16.918406317828612,5.9895560313353915
