control,N,s,theta,residual
rank_coboundary,8,(1.25+0j),0.0,0.0
entropy_coboundary,8,(1.25+0j),0.0,0.0
entropy_roof_shift,8,(1.25+0j),0.0,0.0
rank_coboundary,8,(1.25+0j),0.713,2.7755575615628914e-17
entropy_coboundary,8,(1.25+0j),0.713,5.551115123125783e-17
entropy_roof_shift,8,(1.25+0j),0.713,0.0
rank_coboundary,8,(1.25+0j),2.2,6.206335383118183e-17
entropy_coboundary,8,(1.25+0j),2.2,5.551115123125783e-17
entropy_roof_shift,8,(1.25+0j),2.2,0.0
rank_coboundary,8,(1.5+0j),0.0,0.0
entropy_coboundary,8,(1.5+0j),0.0,0.0
entropy_roof_shift,8,(1.5+0j),0.0,0.0
rank_coboundary,8,(1.5+0j),0.713,1.5515838457795457e-17
entropy_coboundary,8,(1.5+0j),0.713,6.206335383118183e-17
entropy_roof_shift,8,(1.5+0j),0.713,0.0
rank_coboundary,8,(1.5+0j),2.2,2.0888836804026048e-17
entropy_coboundary,8,(1.5+0j),2.2,5.551115123125783e-17
entropy_roof_shift,8,(1.5+0j),2.2,0.0
rank_coboundary,8,(2+0j),0.0,0.0
entropy_coboundary,8,(2+0j),0.0,0.0
entropy_roof_shift,8,(2+0j),0.0,0.0
rank_coboundary,8,(2+0j),0.713,1.5515838457795457e-17
entropy_coboundary,8,(2+0j),0.713,2.7755575615628914e-17
entropy_roof_shift,8,(2+0j),0.713,0.0
rank_coboundary,8,(2+0j),2.2,1.3877787807814457e-17
entropy_coboundary,8,(2+0j),2.2,2.7755575615628914e-17
entropy_roof_shift,8,(2+0j),2.2,0.0
rank_coboundary,8,(1.5+0.75j),0.0,0.0
entropy_coboundary,8,(1.5+0.75j),0.0,0.0
entropy_roof_shift,8,(1.5+0.75j),0.0,0.0
rank_coboundary,8,(1.5+0.75j),0.713,5.721958498152797e-17
entropy_coboundary,8,(1.5+0.75j),0.713,2.7755575615628914e-17
entropy_roof_shift,8,(1.5+0.75j),0.713,6.13071990641655e-17
rank_coboundary,8,(1.5+0.75j),2.2,2.968121023852908e-17
entropy_coboundary,8,(1.5+0.75j),2.2,5.553824967135427e-17
entropy_roof_shift,8,(1.5+0.75j),2.2,1.3877787807814457e-17
rank_coboundary,16,(1.25+0j),0.0,0.0
entropy_coboundary,16,(1.25+0j),0.0,0.0
entropy_roof_shift,16,(1.25+0j),0.0,0.0
rank_coboundary,16,(1.25+0j),0.713,2.7755575615628914e-17
entropy_coboundary,16,(1.25+0j),0.713,5.551115123125783e-17
entropy_roof_shift,16,(1.25+0j),0.713,0.0
rank_coboundary,16,(1.25+0j),2.2,6.206335383118183e-17
entropy_coboundary,16,(1.25+0j),2.2,5.551115123125783e-17
entropy_roof_shift,16,(1.25+0j),2.2,0.0
rank_coboundary,16,(1.5+0j),0.0,0.0
entropy_coboundary,16,(1.5+0j),0.0,0.0
entropy_roof_shift,16,(1.5+0j),0.0,0.0
rank_coboundary,16,(1.5+0j),0.713,1.5515838457795457e-17
entropy_coboundary,16,(1.5+0j),0.713,6.206335383118183e-17
entropy_roof_shift,16,(1.5+0j),0.713,0.0
rank_coboundary,16,(1.5+0j),2.2,2.0888836804026048e-17
entropy_coboundary,16,(1.5+0j),2.2,5.551115123125783e-17
entropy_roof_shift,16,(1.5+0j),2.2,0.0
rank_coboundary,16,(2+0j),0.0,0.0
entropy_coboundary,16,(2+0j),0.0,0.0
entropy_roof_shift,16,(2+0j),0.0,0.0
rank_coboundary,16,(2+0j),0.713,1.5515838457795457e-17
entropy_coboundary,16,(2+0j),0.713,2.7755575615628914e-17
entropy_roof_shift,16,(2+0j),0.713,0.0
rank_coboundary,16,(2+0j),2.2,1.3877787807814457e-17
entropy_coboundary,16,(2+0j),2.2,2.7755575615628914e-17
entropy_roof_shift,16,(2+0j),2.2,0.0
rank_coboundary,16,(1.5+0.75j),0.0,0.0
entropy_coboundary,16,(1.5+0.75j),0.0,0.0
entropy_roof_shift,16,(1.5+0.75j),0.0,0.0
rank_coboundary,16,(1.5+0.75j),0.713,5.721958498152797e-17
entropy_coboundary,16,(1.5+0.75j),0.713,2.7755575615628914e-17
entropy_roof_shift,16,(1.5+0.75j),0.713,6.13071990641655e-17
rank_coboundary,16,(1.5+0.75j),2.2,2.968121023852908e-17
entropy_coboundary,16,(1.5+0.75j),2.2,5.553824967135427e-17
entropy_roof_shift,16,(1.5+0.75j),2.2,1.3877787807814457e-17
rank_coboundary,32,(1.25+0j),0.0,0.0
entropy_coboundary,32,(1.25+0j),0.0,0.0
entropy_roof_shift,32,(1.25+0j),0.0,0.0
rank_coboundary,32,(1.25+0j),0.713,2.7755575615628914e-17
entropy_coboundary,32,(1.25+0j),0.713,5.551115123125783e-17
entropy_roof_shift,32,(1.25+0j),0.713,0.0
rank_coboundary,32,(1.25+0j),2.2,6.206335383118183e-17
entropy_coboundary,32,(1.25+0j),2.2,5.551115123125783e-17
entropy_roof_shift,32,(1.25+0j),2.2,0.0
rank_coboundary,32,(1.5+0j),0.0,0.0
entropy_coboundary,32,(1.5+0j),0.0,0.0
entropy_roof_shift,32,(1.5+0j),0.0,0.0
rank_coboundary,32,(1.5+0j),0.713,1.5515838457795457e-17
entropy_coboundary,32,(1.5+0j),0.713,6.206335383118183e-17
entropy_roof_shift,32,(1.5+0j),0.713,0.0
rank_coboundary,32,(1.5+0j),2.2,2.0888836804026048e-17
entropy_coboundary,32,(1.5+0j),2.2,5.551115123125783e-17
entropy_roof_shift,32,(1.5+0j),2.2,0.0
rank_coboundary,32,(2+0j),0.0,0.0
entropy_coboundary,32,(2+0j),0.0,0.0
entropy_roof_shift,32,(2+0j),0.0,0.0
rank_coboundary,32,(2+0j),0.713,1.5515838457795457e-17
entropy_coboundary,32,(2+0j),0.713,2.7755575615628914e-17
entropy_roof_shift,32,(2+0j),0.713,0.0
rank_coboundary,32,(2+0j),2.2,1.3877787807814457e-17
entropy_coboundary,32,(2+0j),2.2,2.7755575615628914e-17
entropy_roof_shift,32,(2+0j),2.2,0.0
rank_coboundary,32,(1.5+0.75j),0.0,0.0
entropy_coboundary,32,(1.5+0.75j),0.0,0.0
entropy_roof_shift,32,(1.5+0.75j),0.0,0.0
rank_coboundary,32,(1.5+0.75j),0.713,5.721958498152797e-17
entropy_coboundary,32,(1.5+0.75j),0.713,2.7755575615628914e-17
entropy_roof_shift,32,(1.5+0.75j),0.713,6.13071990641655e-17
rank_coboundary,32,(1.5+0.75j),2.2,2.968121023852908e-17
entropy_coboundary,32,(1.5+0.75j),2.2,5.553824967135427e-17
entropy_roof_shift,32,(1.5+0.75j),2.2,1.3877787807814457e-17
