charge_case,N,r,cross_count,charge,pure,closed_word_count,coefficient
positive,3,6,0,0,True,3,130748514672961/531441000000000000
positive,3,6,2,2,False,60,481692105353261/354294000000000000
positive,3,6,4,4,False,120,1201809453650161/944784000000000000
positive,3,6,6,6,False,16,1912210936223561/17006112000000000000
positive,3,7,0,0,True,3,29293004389554721/478296900000000000000
positive,3,7,2,2,False,84,763553184992381147/1913187600000000000000
positive,3,7,4,4,False,280,2084183067261667897/3826375200000000000000
positive,3,7,6,6,False,112,3973291301430621947/30611001600000000000000
positive,3,8,0,0,True,3,6578411176822798081/430467210000000000000000
positive,3,8,2,2,False,112,24612399844211654381/215233605000000000000000
positive,3,8,4,4,False,560,71405456995179999841/344373768000000000000000
positive,3,8,6,6,False,448,153999339531586448831/1721868840000000000000000
positive,3,8,8,8,False,32,237345533615004614881/55099802880000000000000000
positive,3,9,0,0,True,3,1478891981595357059041/387420489000000000000000000
positive,3,9,2,2,False,144,5544744245276629323341/172186884000000000000000000
positive,3,9,4,4,False,1008,16796518108095818264941/229582512000000000000000000
positive,3,9,6,6,False,1344,39598373376567732126221/826497043200000000000000000
positive,3,9,8,8,False,288,70452698517838603811941/11019960576000000000000000000
positive,3,10,0,0,True,3,332625676664123527953601/348678440100000000000000000000
positive,3,10,2,2,False,180,1248262609279085852905901/139471376040000000000000000000
positive,3,10,4,4,False,1680,27321803502356011612969207/1115771008320000000000000000000
positive,3,10,6,6,False,3360,9837227217054413490240401/446308403328000000000000000000
positive,3,10,8,8,False,1440,19474221043338734308986961/3570467226624000000000000000000
positive,3,10,10,10,False,64,29459564977827987803644601/178523361331200000000000000000000
positive,3,11,0,0,True,3,74828276558413848617657761/313810596090000000000000000000000
positive,3,11,2,2,False,220,3090214518986107810983158671/1255242384360000000000000000000000
positive,3,11,4,4,False,2640,2474285424967273415870187299/313810596090000000000000000000000
positive,3,11,6,6,False,7392,183845864473260718568806120297/20083878149760000000000000000000000
positive,3,11,8,8,False,5280,56456047378714088908879986371/16067102519808000000000000000000000
positive,3,11,10,10,False,704,96191253320059098781161217471/321342050396160000000000000000000000
positive,3,12,0,0,True,3,16835112200766613912784507521/282429536481000000000000000000000000
positive,3,12,2,2,False,264,63215883542600689924789875821/94143178827000000000000000000000000
positive,3,12,4,4,False,3960,206272407800021750534108888321/83682825624000000000000000000000000
positive,3,12,6,6,False,14784,1995413119467743792005587501211/564859072962000000000000000000000000
positive,3,12,8,8,False,15840,9157044567124680443096460951847/4820130755942400000000000000000000000
positive,3,12,10,10,False,4224,2446921442518633625050168322021/8033551259904000000000000000000000000
positive,3,12,12,12,False,128,3656550664612987674176171520721/578415690713088000000000000000000000000
inverse,3,1,0,0,True,3,361/900
inverse,3,2,0,0,True,3,61921/810000
inverse,3,2,2,0,False,4,124121/1620000
inverse,3,3,0,0,True,3,12437281/729000000
inverse,3,3,2,0,False,12,36843581/972000000
inverse,3,4,0,0,True,3,2664570241/656100000000
inverse,3,4,2,0,False,24,9055594541/656100000000
inverse,3,4,4,0,False,8,15406022641/5248800000000
inverse,3,5,0,0,True,3,586710856801/590490000000000
inverse,3,5,2,0,False,40,2109557169101/472392000000000
inverse,3,5,4,0,False,40,4573062117301/1889568000000000
inverse,3,6,0,0,True,3,130748514672961/531441000000000000
inverse,3,6,2,0,False,60,481692105353261/354294000000000000
inverse,3,6,4,0,False,120,1201809453650161/944784000000000000
inverse,3,6,6,0,False,16,1912210936223561/17006112000000000000
inverse,3,7,0,0,True,3,29293004389554721/478296900000000000000
inverse,3,7,2,0,False,84,763553184992381147/1913187600000000000000
inverse,3,7,4,0,False,280,2084183067261667897/3826375200000000000000
inverse,3,7,6,0,False,112,3973291301430621947/30611001600000000000000
inverse,3,8,0,0,True,3,6578411176822798081/430467210000000000000000
inverse,3,8,2,0,False,112,24612399844211654381/215233605000000000000000
inverse,3,8,4,0,False,560,71405456995179999841/344373768000000000000000
inverse,3,8,6,0,False,448,153999339531586448831/1721868840000000000000000
inverse,3,8,8,0,False,32,237345533615004614881/55099802880000000000000000
inverse,3,9,0,0,True,3,1478891981595357059041/387420489000000000000000000
inverse,3,9,2,0,False,144,5544744245276629323341/172186884000000000000000000
inverse,3,9,4,0,False,1008,16796518108095818264941/229582512000000000000000000
inverse,3,9,6,0,False,1344,39598373376567732126221/826497043200000000000000000
inverse,3,9,8,0,False,288,70452698517838603811941/11019960576000000000000000000
inverse,3,10,0,0,True,3,332625676664123527953601/348678440100000000000000000000
inverse,3,10,2,0,False,180,1248262609279085852905901/139471376040000000000000000000
inverse,3,10,4,0,False,1680,27321803502356011612969207/1115771008320000000000000000000
inverse,3,10,6,0,False,3360,9837227217054413490240401/446308403328000000000000000000
inverse,3,10,8,0,False,1440,19474221043338734308986961/3570467226624000000000000000000
inverse,3,10,10,0,False,64,29459564977827987803644601/178523361331200000000000000000000
inverse,3,11,0,0,True,3,74828276558413848617657761/313810596090000000000000000000000
inverse,3,11,2,0,False,220,3090214518986107810983158671/1255242384360000000000000000000000
inverse,3,11,4,0,False,2640,2474285424967273415870187299/313810596090000000000000000000000
inverse,3,11,6,0,False,7392,183845864473260718568806120297/20083878149760000000000000000000000
inverse,3,11,8,0,False,5280,56456047378714088908879986371/16067102519808000000000000000000000
inverse,3,11,10,0,False,704,96191253320059098781161217471/321342050396160000000000000000000000
inverse,3,12,0,0,True,3,16835112200766613912784507521/282429536481000000000000000000000000
inverse,3,12,2,0,False,264,63215883542600689924789875821/94143178827000000000000000000000000
inverse,3,12,4,0,False,3960,206272407800021750534108888321/83682825624000000000000000000000000
inverse,3,12,6,0,False,14784,1995413119467743792005587501211/564859072962000000000000000000000000
inverse,3,12,8,0,False,15840,9157044567124680443096460951847/4820130755942400000000000000000000000
inverse,3,12,10,0,False,4224,2446921442518633625050168322021/8033551259904000000000000000000000000
inverse,3,12,12,0,False,128,3656550664612987674176171520721/578415690713088000000000000000000000000
positive,4,1,0,0,True,4,18589/44100
positive,4,2,0,0,True,4,149482321/1944810000
positive,4,2,2,2,False,6,305111417/3889620000
positive,4,3,0,0,True,4,1463962672369/85766121000000
positive,4,3,2,2,False,18,4353516592013/114354828000000
positive,4,4,0,0,True,4,15361373289887041/3782285936100000000
positive,4,4,2,2,False,36,52242799366296557/3782285936100000000
positive,4,4,4,4,False,14,89493351292467889/30258287488800000000
positive,4,5,0,0,True,4,165731885855865818449/166798809782010000000000
positive,4,5,2,2,False,60,595971830719638642173/133439047825608000000000
positive,4,5,4,4,False,70,1294850897193395352421/533756191302432000000000
positive,4,6,0,0,True,4,1809728274133615790072161/7355827511386641000000000000
positive,4,6,2,2,False,90,6667374219111346524558797/4903885007591094000000000000
positive,4,6,4,4,False,210,16647296221286761475831569/13077026686909584000000000000
positive,4,6,6,6,False,36,26756299807766778067908713/235386480364372512000000000000
positive,4,7,0,0,True,4,19867191928359948315454870129/324391993252150868100000000000000
positive,4,7,2,2,False,126,73980155605230802425737733533/185366853286943353200000000000000
positive,4,7,4,4,False,490,201985995013039562428123214191/370733706573886706400000000000000
positive,4,7,6,6,False,252,387238277395737965793812370557/2965869652591093651200000000000000
positive,4,8,0,0,True,4,218619882328106465759449939735681/14305686902419853283210000000000000000
positive,4,8,2,2,False,168,817942607806041251078487934217837/7152843451209926641605000000000000000
positive,4,8,4,4,False,980,2373223435631858779727343152414689/11444549521935882626568000000000000000
positive,4,8,6,6,False,1008,5135321597206285903160769463285823/57222747609679413132840000000000000000
positive,4,8,8,8,False,94,8002581273718327587871524896116321/1831127923509741220250880000000000000000
positive,4,9,0,0,True,4,2408247813058029401763807419523819409/630880792396715529789561000000000000000000
positive,4,9,2,2,False,216,9029137692501615308786792175188780093/280391463287429124350916000000000000000000
positive,4,9,4,4,False,1764,27352554938016156029752404200908557661/373855284383238832467888000000000000000000
positive,4,9,6,6,False,3024,64618579695059308572247036205423068157/1345879023779659796884396800000000000000000
positive,4,9,8,8,False,846,115820330384380618244732766781580909269/17945053650395463958458624000000000000000000
positive,4,10,0,0,True,4,26540956570155808855420974715316628765601/27821842944695154863719640100000000000000000000
positive,4,10,2,2,False,270,99601703884211128663242743935027392849677/11128737177878061945487856040000000000000000000
positive,4,10,4,4,False,2940,311442082988420930642282880909999113148529/12718556774717785080557549760000000000000000000
positive,4,10,6,6,False,7560,786020382479446914385149046434307445022833/35611958969209798225561139328000000000000000000
positive,4,10,8,8,False,4230,1564004350452526735952131873400245659217201/284895671753678385804489114624000000000000000000
positive,4,10,10,10,False,246,2393522582661680060174493659887419735816857/14244783587683919290224455731200000000000000000000
positive,4,11,0,0,True,4,292565170717589268376916142558543173035098289/1226943273861056329490036128410000000000000000000000
positive,4,11,2,2,False,330,12082185797296392230864569832110540543306304383/4907773095444225317960144513640000000000000000000000
positive,4,11,4,4,False,4620,9674057094920652193141172516880939296903248979/1226943273861056329490036128410000000000000000000000
positive,4,11,6,6,False,16632,102784415010314251950714114850968399663277899007/11217767075301086441051758888320000000000000000000000
positive,4,11,8,8,False,15510,221750436270120634322172110289703459842950794739/62819495621686084069889849774592000000000000000000000
positive,4,11,10,10,False,2706,381052636071029978032308291557118384072006985903/1256389912433721681397796995491840000000000000000000000
positive,4,12,0,0,True,4,3225291525853147752933741888820259312049587209921/54108198377272584130510593262881000000000000000000000000
positive,4,12,2,2,False,396,12110976816126412179006238284664621307333317350317/18036066125757528043503531087627000000000000000000000000
positive,4,12,4,4,False,6930,39517991439368727920972047356690048828327170675009/16032058778451136038669805411224000000000000000000000000
positive,4,12,6,6,False,33264,54649605508172933759605364278658037580854571620109/15459485250649309751574455217966000000000000000000000000
positive,4,12,8,8,False,46530,251462718344483420885340115791828955159549810620961/131920940805540776546768684526643200000000000000000000000
positive,4,12,10,10,False,16236,473379576081223836183994859052366020849282457314597/1539077642731309059712301319477504000000000000000000000000
positive,4,12,12,12,False,644,715887919042946603212569020238913964597021301316369/110813590276654252299285695002380288000000000000000000000000
inverse,4,1,0,0,True,4,18589/44100
inverse,4,2,0,0,True,4,149482321/1944810000
inverse,4,2,2,0,False,6,305111417/3889620000
inverse,4,3,0,0,True,4,1463962672369/85766121000000
inverse,4,3,2,0,False,18,4353516592013/114354828000000
inverse,4,4,0,0,True,4,15361373289887041/3782285936100000000
inverse,4,4,2,0,False,36,52242799366296557/3782285936100000000
inverse,4,4,4,0,False,14,89493351292467889/30258287488800000000
inverse,4,5,0,0,True,4,165731885855865818449/166798809782010000000000
inverse,4,5,2,0,False,60,595971830719638642173/133439047825608000000000
inverse,4,5,4,0,False,70,1294850897193395352421/533756191302432000000000
inverse,4,6,0,0,True,4,1809728274133615790072161/7355827511386641000000000000
inverse,4,6,2,0,False,90,6667374219111346524558797/4903885007591094000000000000
inverse,4,6,4,0,False,210,16647296221286761475831569/13077026686909584000000000000
inverse,4,6,6,0,False,36,26756299807766778067908713/235386480364372512000000000000
inverse,4,7,0,0,True,4,19867191928359948315454870129/324391993252150868100000000000000
inverse,4,7,2,0,False,126,73980155605230802425737733533/185366853286943353200000000000000
inverse,4,7,4,0,False,490,201985995013039562428123214191/370733706573886706400000000000000
inverse,4,7,6,0,False,252,387238277395737965793812370557/2965869652591093651200000000000000
inverse,4,8,0,0,True,4,218619882328106465759449939735681/14305686902419853283210000000000000000
inverse,4,8,2,0,False,168,817942607806041251078487934217837/7152843451209926641605000000000000000
inverse,4,8,4,0,False,980,2373223435631858779727343152414689/11444549521935882626568000000000000000
inverse,4,8,6,0,False,1008,5135321597206285903160769463285823/57222747609679413132840000000000000000
inverse,4,8,8,0,False,94,8002581273718327587871524896116321/1831127923509741220250880000000000000000
inverse,4,9,0,0,True,4,2408247813058029401763807419523819409/630880792396715529789561000000000000000000
inverse,4,9,2,0,False,216,9029137692501615308786792175188780093/280391463287429124350916000000000000000000
inverse,4,9,4,0,False,1764,27352554938016156029752404200908557661/373855284383238832467888000000000000000000
inverse,4,9,6,0,False,3024,64618579695059308572247036205423068157/1345879023779659796884396800000000000000000
inverse,4,9,8,0,False,846,115820330384380618244732766781580909269/17945053650395463958458624000000000000000000
inverse,4,10,0,0,True,4,26540956570155808855420974715316628765601/27821842944695154863719640100000000000000000000
inverse,4,10,2,0,False,270,99601703884211128663242743935027392849677/11128737177878061945487856040000000000000000000
inverse,4,10,4,0,False,2940,311442082988420930642282880909999113148529/12718556774717785080557549760000000000000000000
inverse,4,10,6,0,False,7560,786020382479446914385149046434307445022833/35611958969209798225561139328000000000000000000
inverse,4,10,8,0,False,4230,1564004350452526735952131873400245659217201/284895671753678385804489114624000000000000000000
inverse,4,10,10,0,False,246,2393522582661680060174493659887419735816857/14244783587683919290224455731200000000000000000000
inverse,4,11,0,0,True,4,292565170717589268376916142558543173035098289/1226943273861056329490036128410000000000000000000000
inverse,4,11,2,0,False,330,12082185797296392230864569832110540543306304383/4907773095444225317960144513640000000000000000000000
inverse,4,11,4,0,False,4620,9674057094920652193141172516880939296903248979/1226943273861056329490036128410000000000000000000000
inverse,4,11,6,0,False,16632,102784415010314251950714114850968399663277899007/11217767075301086441051758888320000000000000000000000
inverse,4,11,8,0,False,15510,221750436270120634322172110289703459842950794739/62819495621686084069889849774592000000000000000000000
inverse,4,11,10,0,False,2706,381052636071029978032308291557118384072006985903/1256389912433721681397796995491840000000000000000000000
inverse,4,12,0,0,True,4,3225291525853147752933741888820259312049587209921/54108198377272584130510593262881000000000000000000000000
inverse,4,12,2,0,False,396,12110976816126412179006238284664621307333317350317/18036066125757528043503531087627000000000000000000000000
inverse,4,12,4,0,False,6930,39517991439368727920972047356690048828327170675009/16032058778451136038669805411224000000000000000000000000
inverse,4,12,6,0,False,33264,54649605508172933759605364278658037580854571620109/15459485250649309751574455217966000000000000000000000000
inverse,4,12,8,0,False,46530,251462718344483420885340115791828955159549810620961/131920940805540776546768684526643200000000000000000000000
inverse,4,12,10,0,False,16236,473379576081223836183994859052366020849282457314597/1539077642731309059712301319477504000000000000000000000000
