charge_case,N,r,cross_count,charge,pure,closed_word_count,coefficient
inverse,5,10,8,0,False,7380,1052200369243317298646194801228962269706417936705862768239866401/191663561728595413799835128307790508776861783655424000000000000000000
inverse,5,10,10,0,False,488,1610401695578733010161641513084622504915082409808533222930901257/9583178086429770689991756415389525438843089182771200000000000000000000
inverse,5,11,0,0,True,5,23815609271241911076193224793776669196405086375752198639779302207769/99876555833980272224345725406562591199630094117549610000000000000000000000
inverse,5,11,2,0,False,440,89411194773044089863042192963266283450342693009542579020089652907813/36318747575992826263398445602386396799865488770018040000000000000000000000
inverse,5,11,4,0,False,6600,71590440493162985335842398275425408310916416947335730337742268413569/9079686893998206565849611400596599199966372192504510000000000000000000000
inverse,5,11,6,0,False,25872,760630425948198415798708416836934740735185745378822521910884732397477/83014280173697888602053589948311764113978260045755520000000000000000000000
inverse,5,11,8,0,False,27060,1641021734241652986391115047570547922748189102078969014961807654328929/464879968972708176171500103710545879038278256256230912000000000000000000000
inverse,5,11,10,0,False,5368,2820035037113297411924290830253228081631229864959479087657639482228533/9297599379454163523430002074210917580765565125124618240000000000000000000000
inverse,5,12,0,0,True,5,31768259331201137947741587654747001024318297376949714586476396672671374561/532951289585702130616331225341958642900346145220656473921000000000000000000000000
inverse,5,12,2,0,False,528,119289884081757975918961692234552223947884436791366895851947149572765003597/177650429861900710205443741780652880966782048406885491307000000000000000000000000
inverse,5,12,4,0,False,9900,389241651574701577387795020741294528218089474751912783392999763011467081569/157911493210578409071505548249469227526028487472787103384000000000000000000000000
inverse,5,12,6,0,False,51744,538284019568331969128855844353220816201874178474540958548044636589364010669/152271797024486323033237492954845326542956041491616135406000000000000000000000000
inverse,5,12,8,0,False,81180,2476851459369883578826973894214032289968524617011845017599183865058545499201/1299386001275616623216959939881346786499891554061791022131200000000000000000000000
inverse,5,12,10,0,False,32208,4662804534727740583552192314856443629222315140339071050009947333581038043077/15159503348215527270864532631949045842498734797387561924864000000000000000000000000
inverse,5,12,12,0,False,1460,7052142145891710284475699586279315119198820942023708887316042006042495425329/1091484241071517963502246349500331300659908905411904458590208000000000000000000000000
