object_id,readout,window,valid,count,mape_percent,max_percent_error,rmse,max_absolute_error
winner-n24,power_3_2,1-100,True,100,1.48133013409856,9.56846547082375,2.117816961741017,5.418466197068341
winner-n24,power_3_2,101-300,True,200,77.45801303288235,278.65941398140126,552.5011014149194,1509.9088929551813
winner-n24,power_3_2,301-320,True,20,331.3940422614206,374.5304665095297,1861.8340001953952,2134.7742413000124
winner-n24,power_3_2,1-320,True,320,69.58630145379605,374.5304665095297,638.3094342026637,2134.7742413000124
winner-n24,raw_J,1-100,True,100,50.1681653020088,60.52967591554796,86.75417596163801,143.16733172184252
winner-n24,raw_J,101-300,True,200,52.99761775799329,61.85794452682363,203.27864257436266,234.0113321032966
winner-n24,raw_J,301-320,True,20,22.208145372123727,28.01287869689585,124.91311362667963,152.48079105221927
winner-n24,raw_J,1-320,True,320,50.18907184138129,61.85794452682363,170.7441043013237,234.0113321032966
winner-n28,power_3_2,1-100,True,100,1.7330267702765676,9.568465717732112,2.611710598953531,5.643248163878241
winner-n28,power_3_2,101-300,True,200,22.079881865656386,76.99051188227116,155.55995714995635,417.17111546058027
winner-n28,power_3_2,301-320,True,20,87.42956500561586,97.28337346208488,489.25504637010806,552.5642110166407
winner-n28,power_3_2,1-320,True,320,19.805844844597658,97.28337346208488,173.45633604830542,552.5642110166407
winner-n28,raw_J,1-100,True,100,50.318146067064504,61.28745781153226,87.19645485204403,144.9596692890642
winner-n28,raw_J,101-300,True,200,62.366885024507525,64.48838290751007,250.34032740951304,308.15784978691687
winner-n28,raw_J,301-320,True,20,55.34243063846526,56.59632485816514,308.36526302892406,312.9946016277174
winner-n28,raw_J,1-320,True,320,58.16262570117894,64.48838290751007,217.91742120177975,312.9946016277174
post-n36,power_3_2,1-100,True,100,1.8599109384638612,9.568465737292907,2.9256757915192764,5.904043567532682
post-n36,power_3_2,101-300,True,200,3.4307621063341167,12.681587457087751,24.391498452712536,68.71485662251371
post-n36,power_3_2,301-320,True,20,14.446469784415406,16.25916402717961,80.87396416227331,92.68554579124668
post-n36,power_3_2,1-320,True,320,3.628352846254743,16.25916402717961,27.98755073822205,92.68554579124668
post-n36,raw_J,1-100,True,100,50.35273097057215,61.55692450858973,87.30848906168093,145.5970232385458
