comparison,readout,left,right,window,status,G_percent,G_below_2_percent,unscaled_energy_max_relative_percent,raw_lambda_max_absolute_difference,right_minus_left_M,right_minus_left_W
n24-n28,power_3_2,winner-n24,winner-n28,1-100,VALID,3.712112475416081,False,3.651470963745812,0.02952462609231543,0.2516966361780075,2.469083622003154e-07
n24-n28,power_3_2,winner-n24,winner-n28,101-300,VALID,201.66890209913015,False,53.438691308354535,2.125633749771595,-55.37813116722596,-201.6689020991301
n24-n28,power_3_2,winner-n24,winner-n28,301-320,VALID,277.5558172335399,False,58.69919340577814,2.8504003423849698,-243.96447725580475,-277.24709304744476
n24-n28,power_3_2,winner-n24,winner-n28,1-320,VALID,277.5558172335399,False,58.69919340577814,2.8504003423849698,-49.780456609198396,-277.24709304744476
n24-n28,raw_J,winner-n24,winner-n28,1-100,VALID,0.9976726396321745,True,2.4493743606995735,0.02952462609231543,0.14998076505570168,0.7577818959843015
n24-n28,raw_J,winner-n24,winner-n28,101-300,VALID,28.695385291879056,False,39.92642851738009,2.125633749771595,9.369267266514235,2.630438380686442
n24-n28,raw_J,winner-n24,winner-n28,301-320,VALID,36.63040026021569,False,44.54095898327868,2.8504003423849698,33.134285266341536,28.58344616126929
n24-n28,raw_J,winner-n24,winner-n28,1-320,VALID,36.63040026021569,False,44.54095898327868,2.8504003423849698,7.973553859797647,2.630438380686442
n28-n36,power_3_2,winner-n28,post-n36,1-100,VALID,1.6247823025365724,True,1.6356927173890887,0.013500332086721523,0.12688416818729364,1.956079564990887e-08
n28-n36,power_3_2,winner-n28,post-n36,101-300,VALID,64.3089244251834,False,36.334673406658474,0.8367267401042864,-18.649119759322268,-64.30892442518342
n28-n36,power_3_2,winner-n28,post-n36,301-320,VALID,81.60704971827232,False,41.3653965435224,1.0690176253750794,-72.98309522120044,-81.02420943490527
n28-n36,power_3_2,winner-n28,post-n36,1-320,VALID,81.60704971827232,False,41.3653965435224,1.0690176253750794,-16.177491998342916,-81.02420943490527
n28-n36,raw_J,winner-n28,post-n36,1-100,VALID,0.4299992304606876,True,1.0934563987415182,0.013500332086721523,0.034584903507649756,0.2694666970574673
n28-n36,raw_J,winner-n28,post-n36,101-300,VALID,11.279886832235036,False,25.993707558230817,0.8367267401042864,3.752073018739864,3.636652056357036
n28-n36,raw_J,winner-n28,post-n36,301-320,VALID,13.754341240235183,False,29.94550690519929,1.0690176253750794,12.510373547594014,11.417361359029918
n28-n36,raw_J,winner-n28,post-n36,1-320,VALID,13.754341240235183,False,29.94550690519929,1.0690176253750794,3.137751765783179,3.636652056357036
n36-n44,power_3_2,post-n36,post-n44,1-100,VALID,0.014973242832551088,True,0.015162097928854862,0.00012527281168828175,0.0018982356715158133,8.174616539236013e-11
n36-n44,power_3_2,post-n36,post-n44,101-300,VALID,9.677193701464677,False,8.588087832228846,0.13842284445978326,-2.345444407942349,-9.564935867283245
n36-n44,power_3_2,post-n36,post-n44,301-320,VALID,12.534604041554353,False,10.781605171979784,0.1842653547750679,-11.121251939990724,-12.204118034469786
n36-n44,power_3_2,post-n36,post-n44,1-320,VALID,12.534604041554353,False,10.781605171979784,0.1842653547750679,-2.1603878025660403,-6.690698289804958
n36-n44,raw_J,post-n36,post-n44,1-100,VALID,0.00394449052413288,True,0.010108320735575054,0.00012527281168828175,0.0005147134270941933,0.0022643508894120146
n36-n44,raw_J,post-n36,post-n44,101-300,VALID,1.8660740079694478,True,5.810636422538692,0.13842284445978326,0.5404761654420298,1.6682639882028951
n36-n44,raw_J,post-n36,post-n44,301-320,VALID,2.3611740758602338,False,7.323504348770421,0.1842653547750679,2.1171052465895883,2.1064463649714753
n36-n44,raw_J,post-n36,post-n44,1-320,VALID,2.3611740758602338,False,7.323504348770421,0.1842653547750679,0.47027752925909283,1.9950976182994253
n44-n52,power_3_2,post-n44,post-n52,1-100,VALID,0.0005849298869526126,True,0.0005987271791446303,4.873811282557483e-06,5.0425524042108094e-05,-2.433608869978343e-11
n44-n52,power_3_2,post-n44,post-n52,101-300,VALID,2.17060087436707,False,2.1049954986888886,0.03119385127504648,-0.32222617418282806,-0.8485883285716014
n44-n52,power_3_2,post-n44,post-n52,301-320,VALID,2.314616801415547,False,2.224415720862478,0.0345567682552419,-1.8787174965203095,-2.0230971052827122
n44-n52,power_3_2,post-n44,post-n52,1-320,VALID,2.314616801415547,False,2.224415720862478,0.0345567682552419,-0.31879544442052365,-2.433608869978343e-11
n44-n52,raw_J,post-n44,post-n52,1-100,VALID,0.00015523582158336998,True,0.00039915185106378383,4.873811282557483e-06,1.361390496867898e-05,3.615841514914564e-05
n44-n52,raw_J,post-n44,post-n52,101-300,VALID,0.4292214852037906,True,1.4083003066399362,0.03119385127504648,0.0758323256933977,0.2940375107426263
n44-n52,raw_J,post-n44,post-n52,301-320,VALID,0.4471596763699538,True,1.4884966886111954,0.0345567682552419,0.3650417803450665,0.374970019148094
n44-n52,raw_J,post-n44,post-n52,1-320,VALID,0.4471596763699538,True,1.4884966886111954,0.0345567682552419,0.07021456917524205,0.374970019148094
width125,power_3_2,post-n52,post-width125-n52,1-100,VALID,0.0015029309309714516,True,0.0015383912015938422,1.2522851847718286e-05,-0.00010937884962980426,2.7716495765162108e-11
width125,power_3_2,post-n52,post-width125-n52,101-300,VALID,2.639494590942342,False,2.614757657422263,0.03790349524147052,0.4436275060463053,1.3174820451468734
width125,power_3_2,post-n52,post-width125-n52,301-320,VALID,3.025945131936826,False,2.971436757805599,0.045406371959531455,2.5511249468412345,2.828407627925598
width125,power_3_2,post-n52,post-width125-n52,1-320,VALID,3.025945131936826,False,2.971436757805599,0.045406371959531455,0.43667831956600867,2.7716495765162108e-11
width125,raw_J,post-n52,post-width125-n52,1-100,VALID,0.00039886550110312876,True,0.0010255915047974685,1.2522851847718286e-05,-2.952441088410751e-05,-0.0001596178682419236
width125,raw_J,post-n52,post-width125-n52,101-300,VALID,0.5215449153250341,True,1.73566210997314,0.03790349524147052,-0.10655496909410545,-0.3806866100543971
width125,raw_J,post-n52,post-width125-n52,301-320,VALID,0.5818367130454651,True,1.9712747125106647,0.045406371959531455,-0.49517654347832263,-0.504250728473437
width125,raw_J,post-n52,post-width125-n52,1-320,VALID,0.5818367130454651,True,1.9712747125106647,0.045406371959531455,-0.0975546160296048,-0.504250728473437
SOURCEOFF,power_3_2,post-n52,sourceoff-n52,1-100,VALID,235.97005837894906,False,88.68507953160865,0.6109647352213656,195.24222068713001,225.0137675410427
SOURCEOFF,power_3_2,post-n52,sourceoff-n52,101-300,VALID,234.73367514542605,False,65.80132791772215,1.1351488368194664,216.72247213311485,230.93289683420318
SOURCEOFF,power_3_2,post-n52,sourceoff-n52,301-320,VALID,223.57496334770167,False,65.56185444882394,1.1717062920674657,215.66442282219356,222.5610980339824
SOURCEOFF,power_3_2,post-n52,sourceoff-n52,1-320,VALID,235.97005837894906,False,88.68507953160865,1.1717062920674657,209.943765474312,225.0137675410427
