census_id,census_schema,metric_control_id,group_source_lock,marked_word_cutoff,alphabet_order,canonical_marked_word,marked_length,inverse_marked_word,marked_cyclic_inverse_orbit_size,canonical_rule,marked_root_word,marked_root_length,marked_repetition_exponent,marked_class_status,exact_number_field,exact_psl_matrix_key_sha256,exact_inverse_paired_psl_key_sha256,exact_trace,exact_trace_squared,exact_trace_squared_key_sha256,absolute_trace_decimal,geodesic_length_decimal,bolza_systole_ratio_decimal,gamma_primitivity_status,gamma_primitivity_exact_margin_to_2sys,canonical_homology_vector,inverse_paired_homology_axis_key,homology_axis_multiplicity_within_proved_set,owner_distinctness_status,primitive_axis_owner_id,owner_credit_status,owner_counting_convention,marked_census_completeness,full_gamma_conjugacy_completeness,exact_matrix_collision_group_size,exact_inverse_pair_collision_group_size,trace_squared_isospectral_group_size,arithmetic_label,target_data_used,formal_route_a_tuple,route_b_invocation_allowed
B28R5-C0001,p28_round5_matched_marked_cyclic_census/1.0,BOLZA_ARITHMETIC_CURVATURE_MINUS_1,Ebbens-Iordanov-Teillaud-Vegter_JoCG_2022_doi:10.20382/jocg.v13i1a5_equations_5-6_Theorem_2,4,"f0,f0^-1,f1,f1^-1,f2,f2^-1,f3,f3^-1",f0,1,f0^-1,2,LEX_MIN_OVER_CYCLIC_ROTATIONS_AND_INVERSION,f0,1,1,MARKED_CYCLIC_PRIMITIVE_CANDIDATE,"Q(s,t,i);s^2=2;t^2=1+s;i^2=-1",1d183f8905f0828325be43b098a901233f44fcb141a3d52b493ba4ae60bb98a9,1d183f8905f0828325be43b098a901233f44fcb141a3d52b493ba4ae60bb98a9,2+(2)*s,12+(8)*s,d5f20a2ccd27d7f18f34fed9fdf9c0ee840c82d57ece39f42615ce3de1f1b781,4.828427124746190097603377448,3.057141838961996322544912369587346786577366592471708249545997925604912,1,PROVED_BY_EXACT_LENGTH_LT_2_BOLZA_SYSTOLE,8+(6)*s,"(1,0,0,0)","(-1,0,0,0)",1,CERTIFIED_DISTINCT_FROM_OTHER_CREDITED_OWNERS_BY_HOMOLOGY_AXIS,BOLZA_AXIS_INVERSE_PAIR_0,MINTED_INVERSE_PAIRED_AXIS_OWNER,INVERSE_PAIRED_AXIS;NO_SIGNED_K_OR_ORIENTATION_OWNER_CREDIT,COMPLETE_FOR_DECLARED_MARKED_CYCLIC_EQUIVALENCE_AT_LENGTH_LE_4,NOT_ESTABLISHED,1,1,16,NONE,false,UNASSIGNED,false
B28R5-C0002,p28_round5_matched_marked_cyclic_census/1.0,BOLZA_ARITHMETIC_CURVATURE_MINUS_1,Ebbens-Iordanov-Teillaud-Vegter_JoCG_2022_doi:10.20382/jocg.v13i1a5_equations_5-6_Theorem_2,4,"f0,f0^-1,f1,f1^-1,f2,f2^-1,f3,f3^-1",f1,1,f1^-1,2,LEX_MIN_OVER_CYCLIC_ROTATIONS_AND_INVERSION,f1,1,1,MARKED_CYCLIC_PRIMITIVE_CANDIDATE,"Q(s,t,i);s^2=2;t^2=1+s;i^2=-1",46aaf9b3f1d5a03cfc2bb714b91d6eb9eb4770e089b7b5e8970b7010f9d655ed,46aaf9b3f1d5a03cfc2bb714b91d6eb9eb4770e089b7b5e8970b7010f9d655ed,2+(2)*s,12+(8)*s,d5f20a2ccd27d7f18f34fed9fdf9c0ee840c82d57ece39f42615ce3de1f1b781,4.828427124746190097603377448,3.057141838961996322544912369587346786577366592471708249545997925604912,1,PROVED_BY_EXACT_LENGTH_LT_2_BOLZA_SYSTOLE,8+(6)*s,"(0,1,0,0)","(0,-1,0,0)",1,CERTIFIED_DISTINCT_FROM_OTHER_CREDITED_OWNERS_BY_HOMOLOGY_AXIS,BOLZA_AXIS_INVERSE_PAIR_1,MINTED_INVERSE_PAIRED_AXIS_OWNER,INVERSE_PAIRED_AXIS;NO_SIGNED_K_OR_ORIENTATION_OWNER_CREDIT,COMPLETE_FOR_DECLARED_MARKED_CYCLIC_EQUIVALENCE_AT_LENGTH_LE_4,NOT_ESTABLISHED,1,1,16,NONE,false,UNASSIGNED,false
B28R5-C0003,p28_round5_matched_marked_cyclic_census/1.0,BOLZA_ARITHMETIC_CURVATURE_MINUS_1,Ebbens-Iordanov-Teillaud-Vegter_JoCG_2022_doi:10.20382/jocg.v13i1a5_equations_5-6_Theorem_2,4,"f0,f0^-1,f1,f1^-1,f2,f2^-1,f3,f3^-1",f2,1,f2^-1,2,LEX_MIN_OVER_CYCLIC_ROTATIONS_AND_INVERSION,f2,1,1,MARKED_CYCLIC_PRIMITIVE_CANDIDATE,"Q(s,t,i);s^2=2;t^2=1+s;i^2=-1",bc5c25906239a7b164cbd08bf97a6f2018ebd2afac4dc4efaf65e491569945ce,bc5c25906239a7b164cbd08bf97a6f2018ebd2afac4dc4efaf65e491569945ce,2+(2)*s,12+(8)*s,d5f20a2ccd27d7f18f34fed9fdf9c0ee840c82d57ece39f42615ce3de1f1b781,4.828427124746190097603377448,3.057141838961996322544912369587346786577366592471708249545997925604912,1,PROVED_BY_EXACT_LENGTH_LT_2_BOLZA_SYSTOLE,8+(6)*s,"(0,0,1,0)","(0,0,-1,0)",1,CERTIFIED_DISTINCT_FROM_OTHER_CREDITED_OWNERS_BY_HOMOLOGY_AXIS,BOLZA_AXIS_INVERSE_PAIR_2,MINTED_INVERSE_PAIRED_AXIS_OWNER,INVERSE_PAIRED_AXIS;NO_SIGNED_K_OR_ORIENTATION_OWNER_CREDIT,COMPLETE_FOR_DECLARED_MARKED_CYCLIC_EQUIVALENCE_AT_LENGTH_LE_4,NOT_ESTABLISHED,1,1,16,NONE,false,UNASSIGNED,false
B28R5-C0004,p28_round5_matched_marked_cyclic_census/1.0,BOLZA_ARITHMETIC_CURVATURE_MINUS_1,Ebbens-Iordanov-Teillaud-Vegter_JoCG_2022_doi:10.20382/jocg.v13i1a5_equations_5-6_Theorem_2,4,"f0,f0^-1,f1,f1^-1,f2,f2^-1,f3,f3^-1",f3,1,f3^-1,2,LEX_MIN_OVER_CYCLIC_ROTATIONS_AND_INVERSION,f3,1,1,MARKED_CYCLIC_PRIMITIVE_CANDIDATE,"Q(s,t,i);s^2=2;t^2=1+s;i^2=-1",29b38abe96a1fa26e55f095c42345f5d2bbebdf0547330a28e48f524657a48f5,e482a55444f1ccebe8485472baa6ac76e211986c086556033910dcd364841f70,2+(2)*s,12+(8)*s,d5f20a2ccd27d7f18f34fed9fdf9c0ee840c82d57ece39f42615ce3de1f1b781,4.828427124746190097603377448,3.057141838961996322544912369587346786577366592471708249545997925604912,1,PROVED_BY_EXACT_LENGTH_LT_2_BOLZA_SYSTOLE,8+(6)*s,"(0,0,0,1)","(0,0,0,-1)",1,CERTIFIED_DISTINCT_FROM_OTHER_CREDITED_OWNERS_BY_HOMOLOGY_AXIS,BOLZA_AXIS_INVERSE_PAIR_3,MINTED_INVERSE_PAIRED_AXIS_OWNER,INVERSE_PAIRED_AXIS;NO_SIGNED_K_OR_ORIENTATION_OWNER_CREDIT,COMPLETE_FOR_DECLARED_MARKED_CYCLIC_EQUIVALENCE_AT_LENGTH_LE_4,NOT_ESTABLISHED,1,1,16,NONE,false,UNASSIGNED,false
B28R5-C0005,p28_round5_matched_marked_cyclic_census/1.0,BOLZA_ARITHMETIC_CURVATURE_MINUS_1,Ebbens-Iordanov-Teillaud-Vegter_JoCG_2022_doi:10.20382/jocg.v13i1a5_equations_5-6_Theorem_2,4,"f0,f0^-1,f1,f1^-1,f2,f2^-1,f3,f3^-1",f0*f0,2,f0^-1*f0^-1,2,LEX_MIN_OVER_CYCLIC_ROTATIONS_AND_INVERSION,f0,1,2,MARKED_CYCLIC_POWER,"Q(s,t,i);s^2=2;t^2=1+s;i^2=-1",acec0c5991f017a86b9faaf844b8dbb72e4f7652de6fcc3145809ce8e7f4d3ec,acec0c5991f017a86b9faaf844b8dbb72e4f7652de6fcc3145809ce8e7f4d3ec,10+(8)*s,228+(160)*s,195f327c9f7e4fbf2f531ac15d520dc7590a759522da7868d0956cb4f9c06bdf,21.31370849898476039041350979,6.114283677923992645089824739174693573154733184943416499091995851209824,2,PROVED_GROUP_REPETITION_OF_MARKED_ROOT,NOT_APPLICABLE,"(2,0,0,0)","(-2,0,0,0)",0,NOT_APPLICABLE_MARKED_POWER,,WITHHELD_MARKED_POWER,INVERSE_PAIRED_AXIS;NO_SIGNED_K_OR_ORIENTATION_OWNER_CREDIT,COMPLETE_FOR_DECLARED_MARKED_CYCLIC_EQUIVALENCE_AT_LENGTH_LE_4,NOT_ESTABLISHED,1,1,8,NONE,false,UNASSIGNED,false
B28R5-C0006,p28_round5_matched_marked_cyclic_census/1.0,BOLZA_ARITHMETIC_CURVATURE_MINUS_1,Ebbens-Iordanov-Teillaud-Vegter_JoCG_2022_doi:10.20382/jocg.v13i1a5_equations_5-6_Theorem_2,4,"f0,f0^-1,f1,f1^-1,f2,f2^-1,f3,f3^-1",f0*f1,2,f1^-1*f0^-1,4,LEX_MIN_OVER_CYCLIC_ROTATIONS_AND_INVERSION,f0*f1,2,1,MARKED_CYCLIC_PRIMITIVE_CANDIDATE,"Q(s,t,i);s^2=2;t^2=1+s;i^2=-1",1bc1f563f9efc63be25025db7ce09dc9f13d6d9635d061f2422e138808d1b01f,fdfa16cd5deb73825fc4ff637a4400f4f605ab2ea904a5b0851ce2327399d97a,10+(6)*s,172+(120)*s,68098df1614e298a3ad40873629cb766b1bb0b73a594a4fec23bbe66f98c90a5,18.48528137423857029281013235,5.828070775441806617605774604609108218346148738026725586961514877437812,1.906378925951513899455291948,PROVED_BY_EXACT_LENGTH_LT_2_BOLZA_SYSTOLE,(2)*s,"(1,1,0,0)","(-1,-1,0,0)",1,CERTIFIED_DISTINCT_FROM_OTHER_CREDITED_OWNERS_BY_HOMOLOGY_AXIS,BOLZA_MARKED_AXIS_INVPAIR_0006,MINTED_INVERSE_PAIRED_AXIS_OWNER,INVERSE_PAIRED_AXIS;NO_SIGNED_K_OR_ORIENTATION_OWNER_CREDIT,COMPLETE_FOR_DECLARED_MARKED_CYCLIC_EQUIVALENCE_AT_LENGTH_LE_4,NOT_ESTABLISHED,1,1,12,NONE,false,UNASSIGNED,false
B28R5-C0007,p28_round5_matched_marked_cyclic_census/1.0,BOLZA_ARITHMETIC_CURVATURE_MINUS_1,Ebbens-Iordanov-Teillaud-Vegter_JoCG_2022_doi:10.20382/jocg.v13i1a5_equations_5-6_Theorem_2,4,"f0,f0^-1,f1,f1^-1,f2,f2^-1,f3,f3^-1",f0*f1^-1,2,f1*f0^-1,4,LEX_MIN_OVER_CYCLIC_ROTATIONS_AND_INVERSION,f0*f1^-1,2,1,MARKED_CYCLIC_PRIMITIVE_CANDIDATE,"Q(s,t,i);s^2=2;t^2=1+s;i^2=-1",4bcd21d48461b2fca6ad3e19ab53ba6fd0d2def1887b76cc43fcf887fb60f705,4bcd21d48461b2fca6ad3e19ab53ba6fd0d2def1887b76cc43fcf887fb60f705,2+(2)*s,12+(8)*s,d5f20a2ccd27d7f18f34fed9fdf9c0ee840c82d57ece39f42615ce3de1f1b781,4.828427124746190097603377448,3.057141838961996322544912369587346786577366592471708249545997925604912,1,PROVED_BY_EXACT_LENGTH_LT_2_BOLZA_SYSTOLE,8+(6)*s,"(1,-1,0,0)","(-1,1,0,0)",1,CERTIFIED_DISTINCT_FROM_OTHER_CREDITED_OWNERS_BY_HOMOLOGY_AXIS,BOLZA_MARKED_AXIS_INVPAIR_0007,MINTED_INVERSE_PAIRED_AXIS_OWNER,INVERSE_PAIRED_AXIS;NO_SIGNED_K_OR_ORIENTATION_OWNER_CREDIT,COMPLETE_FOR_DECLARED_MARKED_CYCLIC_EQUIVALENCE_AT_LENGTH_LE_4,NOT_ESTABLISHED,1,1,16,NONE,false,UNASSIGNED,false
B28R5-C0008,p28_round5_matched_marked_cyclic_census/1.0,BOLZA_ARITHMETIC_CURVATURE_MINUS_1,Ebbens-Iordanov-Teillaud-Vegter_JoCG_2022_doi:10.20382/jocg.v13i1a5_equations_5-6_Theorem_2,4,"f0,f0^-1,f1,f1^-1,f2,f2^-1,f3,f3^-1",f0*f2,2,f2^-1*f0^-1,4,LEX_MIN_OVER_CYCLIC_ROTATIONS_AND_INVERSION,f0*f2,2,1,MARKED_CYCLIC_PRIMITIVE_CANDIDATE,"Q(s,t,i);s^2=2;t^2=1+s;i^2=-1",1ef6348a629f2ae2ad1d3a421cae7af157f25b9d9c3927729144b8d5447346e1,cfda8b66f055dd6f6ed17c2e78c28cd707a357098fdd0520e1d7e078c12062e4,6+(4)*s,68+(48)*s,50e493f48af5235e06f5baa82d7e82fcfc1adb451b8356f390e5e6777e11d92f,11.65685424949238019520675490,4.896904895356151580010619827271738280630497219493355211512821935593504,1.601791854387370333913690598,PROVED_BY_EXACT_LENGTH_LT_2_BOLZA_SYSTOLE,4+(4)*s,"(1,0,1,0)","(-1,0,-1,0)",1,CERTIFIED_DISTINCT_FROM_OTHER_CREDITED_OWNERS_BY_HOMOLOGY_AXIS,BOLZA_MARKED_AXIS_INVPAIR_0008,MINTED_INVERSE_PAIRED_AXIS_OWNER,INVERSE_PAIRED_AXIS;NO_SIGNED_K_OR_ORIENTATION_OWNER_CREDIT,COMPLETE_FOR_DECLARED_MARKED_CYCLIC_EQUIVALENCE_AT_LENGTH_LE_4,NOT_ESTABLISHED,1,1,16,NONE,false,UNASSIGNED,false
B28R5-C0009,p28_round5_matched_marked_cyclic_census/1.0,BOLZA_ARITHMETIC_CURVATURE_MINUS_1,Ebbens-Iordanov-Teillaud-Vegter_JoCG_2022_doi:10.20382/jocg.v13i1a5_equations_5-6_Theorem_2,4,"f0,f0^-1,f1,f1^-1,f2,f2^-1,f3,f3^-1",f0*f2^-1,2,f2*f0^-1,4,LEX_MIN_OVER_CYCLIC_ROTATIONS_AND_INVERSION,f0*f2^-1,2,1,MARKED_CYCLIC_PRIMITIVE_CANDIDATE,"Q(s,t,i);s^2=2;t^2=1+s;i^2=-1",ed9b3c3c66cb4a8a8c2ea713ae0bb3da57a280d3bdd2035a8c58b632cb29c053,ed9b3c3c66cb4a8a8c2ea713ae0bb3da57a280d3bdd2035a8c58b632cb29c053,6+(4)*s,68+(48)*s,50e493f48af5235e06f5baa82d7e82fcfc1adb451b8356f390e5e6777e11d92f,11.65685424949238019520675490,4.896904895356151580010619827271738280630497219493355211512821935593504,1.601791854387370333913690598,PROVED_BY_EXACT_LENGTH_LT_2_BOLZA_SYSTOLE,4+(4)*s,"(1,0,-1,0)","(-1,0,1,0)",1,CERTIFIED_DISTINCT_FROM_OTHER_CREDITED_OWNERS_BY_HOMOLOGY_AXIS,BOLZA_MARKED_AXIS_INVPAIR_0009,MINTED_INVERSE_PAIRED_AXIS_OWNER,INVERSE_PAIRED_AXIS;NO_SIGNED_K_OR_ORIENTATION_OWNER_CREDIT,COMPLETE_FOR_DECLARED_MARKED_CYCLIC_EQUIVALENCE_AT_LENGTH_LE_4,NOT_ESTABLISHED,1,1,16,NONE,false,UNASSIGNED,false
B28R5-C0010,p28_round5_matched_marked_cyclic_census/1.0,BOLZA_ARITHMETIC_CURVATURE_MINUS_1,Ebbens-Iordanov-Teillaud-Vegter_JoCG_2022_doi:10.20382/jocg.v13i1a5_equations_5-6_Theorem_2,4,"f0,f0^-1,f1,f1^-1,f2,f2^-1,f3,f3^-1",f0*f3,2,f3^-1*f0^-1,4,LEX_MIN_OVER_CYCLIC_ROTATIONS_AND_INVERSION,f0*f3,2,1,MARKED_CYCLIC_PRIMITIVE_CANDIDATE,"Q(s,t,i);s^2=2;t^2=1+s;i^2=-1",1ef3fef93a2055784f06d93571eabafe7084bfbf1b69576aa716294e3494403a,eb9549b61dc1120315cb40be7a22f08b5c696bc9df792db1ce09e9e99a302a82,2+(2)*s,12+(8)*s,d5f20a2ccd27d7f18f34fed9fdf9c0ee840c82d57ece39f42615ce3de1f1b781,4.828427124746190097603377448,3.057141838961996322544912369587346786577366592471708249545997925604912,1,PROVED_BY_EXACT_LENGTH_LT_2_BOLZA_SYSTOLE,8+(6)*s,"(1,0,0,1)","(-1,0,0,-1)",1,CERTIFIED_DISTINCT_FROM_OTHER_CREDITED_OWNERS_BY_HOMOLOGY_AXIS,BOLZA_MARKED_AXIS_INVPAIR_0010,MINTED_INVERSE_PAIRED_AXIS_OWNER,INVERSE_PAIRED_AXIS;NO_SIGNED_K_OR_ORIENTATION_OWNER_CREDIT,COMPLETE_FOR_DECLARED_MARKED_CYCLIC_EQUIVALENCE_AT_LENGTH_LE_4,NOT_ESTABLISHED,1,1,16,NONE,false,UNASSIGNED,false
