form,index,window,target,predicted,residual,percent_error
A,1,train,14.1347,14.1347,0.0,0.0
A,2,train,21.022,16.781678394412417,-4.240321605587582,20.170876251486927
A,3,train,25.0108,25.090853338162415,0.08005333816241489,0.3200750802150067
A,4,train,30.4248,29.60502024354637,-0.8197797564536309,2.694445835153003
A,5,train,32.935,35.638756163290374,2.7037561632903717,8.20937046695118
A,6,train,37.5861,36.719527649291315,-0.8665723507086867,2.305566022302624
A,7,train,40.9187,40.97551432782104,0.056814327821037125,0.13884685442361835
A,8,train,43.327,41.92028178194486,-1.4067182180551399,3.2467473355070506
A,9,train,48.0051,43.175016869675474,-4.830083130324525,10.061604142735927
A,10,train,49.7738,47.195498551892015,-2.578301448107986,5.180037385347283
A,11,train,52.9703,53.87266998121596,0.9023699812159549,1.7035394951811769
A,12,train,56.4462,54.38795486591146,-2.058245134088537,3.6463838736505507
A,13,train,59.347,58.68777541933823,-0.6592245806617711,1.1107968063453437
A,14,train,60.8317,61.634458687365864,0.8027586873658663,1.319638753093973
A,15,train,65.1125,61.82889111184989,-3.2836088881501055,5.042977751046428
A,16,train,67.0798,66.25370919753023,-0.8260908024697784,1.2315045698850895
A,17,train,69.5464,66.93859425915586,-2.6078057408441424,3.749735055796047
A,18,train,72.0671,69.27433521375087,-2.7927647862491227,3.875228483245646
A,19,train,75.7046,71.35832411777392,-4.346275882226081,5.741098800107366
A,20,train,77.1448,78.13559065996539,0.9907906599653842,1.2843259169320345
A,21,train,79.3373,80.79529869282231,1.457998692822315,1.8377215922678425
A,22,train,82.9103,84.79914214474044,1.8888421447404369,2.278175503816096
A,23,train,84.7354,86.78295697277642,2.0475569727764196,2.416412706821965
A,24,train,87.4252,89.58734357981231,2.1621435798123088,2.47313541154302
A,25,train,88.8091,92.63631650006143,3.827216500061425,4.309486865716942
A,26,train,92.4918,99.32363043840432,6.8318304384043245,7.386417432036488
A,27,train,94.6513,100.09103924867323,5.43973924867322,5.747136329530836
A,28,train,95.8706,101.10055887447669,5.229958874476694,5.455227018999249
A,29,train,98.8311,101.25043175801616,2.419331758016156,2.4479457964306337
A,30,train,101.3178,104.76244720245465,3.4446472024546466,3.399844057465368
A,31,train,103.7255,104.90631865887457,1.1808186588745713,1.1384072950957782
A,32,train,105.4466,108.50671561870811,3.06011561870811,2.902052431001199
A,33,train,107.1686,108.81490136797782,1.6463013679778271,1.5361788508740686
A,34,train,111.0295,114.32786366476279,3.298363664762789,2.970709284255796
A,35,train,111.8746,116.01265576401617,4.138055764016173,3.698834019532738
A,36,train,114.3202,116.12093806233895,1.8007380623389508,1.5751704968491578
A,37,train,116.2266,116.94550138304805,0.7189013830480491,0.6185342968374271
A,38,train,118.7907,119.76854017923581,0.9778401792358125,0.8231622334373082
A,39,train,121.3701,121.7160612441361,0.34596124413610596,0.28504651815900783
A,40,train,122.9468,123.32379663005075,0.3769966300507548,0.3066339506605742
A,41,train,124.2568,124.10428770829643,-0.15251229170357306,0.12273959389230453
A,42,train,127.5166,125.96821379560068,-1.5483862043993213,1.2142624602595438
A,43,train,129.5787,130.3422478625994,0.7635478625994097,0.5892541463986054
A,44,train,131.0876,132.0444414301203,0.9568414301202779,0.7299252027806428
A,45,train,133.4977,132.12324293396637,-1.3744570660336421,1.0295735926788567
A,46,train,134.7565,136.16767307917092,1.4111730791709363,1.0472022345274152
A,47,train,138.116,137.7334361779492,-0.38256382205082673,0.2769873309760105
A,48,train,139.7362,141.21478590614822,1.4785859061482256,1.0581266029477154
A,49,train,141.1237,141.4746105813084,0.3509105813083977,0.24865460678000764
A,50,train,143.1118,143.4549599398659,0.3431599398658989,0.23978451802429912
A,51,train,146.0009,147.4674426196598,1.4665426196598048,1.0044750543728187
A,52,train,147.4427,148.1236190796193,0.6809190796192865,0.46181945909786415
A,53,train,150.0515,148.58944985411188,-1.4620501458881279,0.9743655650814073
A,54,train,150.9252,151.98174718099654,1.0565471809965459,0.7000468980637733
A,55,train,153.0246,153.68283330156015,0.6582333015601591,0.4301486829961713
A,56,train,156.1129,158.57803845372317,2.4651384537231706,1.5790741532078199
A,57,train,157.5975,160.40266079771126,2.8051607977112667,1.7799525993186864
A,58,train,158.8499,161.14213709482223,2.292237094822241,1.4430207981385201
A,59,train,161.1889,162.08965852645434,0.9007585264543536,0.5588216846534431
A,60,train,163.0306,165.64610427627227,2.6155042762722758,1.6043026746342564
A,61,train,165.5373,170.16658291773814,4.629282917738152,2.796519526256712
A,62,train,167.1844,170.22696866058854,3.042568660588529,1.8198878965911465
A,63,train,169.0945,170.44253913121818,1.3480391312181723,0.7972105131853326
A,64,train,169.9119,170.58693118670297,0.6750311867029666,0.39728305474952996
A,65,train,173.4115,171.14590841906065,-2.2655915809393434,1.3064828923914178
A,66,train,174.7541,172.30577544777205,-2.4483245522279447,1.401011222184741
A,67,train,176.4414,175.557434620194,-0.8839653798059999,0.5009965800577415
A,68,train,178.3774,180.72951090002175,2.3521109000217564,1.3186148581724795
A,69,train,179.9164,184.31912825932875,4.40272825932874,2.447096684531671
A,70,train,182.207,186.3036068269732,4.096606826973215,2.2483257103037837
A,71,train,184.8744,186.75788957360032,1.8834895736003148,1.0187941508398755
A,72,train,185.9589,186.8464916243881,0.8875916243881079,0.4773052671252131
A,73,train,187.2289,187.128782388348,-0.10011761165202415,0.05347337491809445
A,74,train,189.4161,187.19012911205846,-2.2259708879415427,1.1751751239422323
