control,expected_behavior,observed_pass,interpretation
transported_semiring_presentation,invariant,True,presentation_invariance
entropy_shuffle,break,True,clock_object_compatibility_required
additive_only,break,True,tensor_product_required
bounded_trial_depth,break,True,complete_verification_required
shifted_factor_target,break,True,neighboring_predicate_separates
polynomial_UFD,compiler_reproduces_Euler_product,True,PROVES_TOO_MUCH
arbitrary_total_deciders,compiler_reproduces_any_decidable_support,True,SELECTOR_TAUTOLOGICAL
