depth,selected,false_positive_count,first_false_positive
2,256,159,9;15;21;25;27;33;35;39;45;49
3,172,75,25;35;49;55;65;77;85;91;95;115
5,139,42,49;77;91;119;121;133;143;161;169;187
7,120,23,121;143;169;187;209;221;247;253;289;299
11,110,13,169;221;247;289;299;323;361;377;391;403
