name,limit,accepted,nodes,edges,recurrent_exact,matrix_audit_limit,determinant_exact,determinant
squares,24,4;9;16,155,135,True,8,True,79/80
powers_two,24,2;4;8;16,177,158,True,8,True,478819/512000
fibonacci,24,2;3;5;8;13;21,178,161,True,8,True,2066801/2250000
hash_mod_five,24,2;3;12;13;22;23,242,225,True,8,True,209/225
