GDN_GENERAL_DIHEDRAL_NORMALIZER_REPLAY_V1
DOMAIN n>=3; complete subgroup carrier of D_(2n); update H->N_D(H)
SYMBOLIC H_(d,j)->H_(d/gcd(d,2),j mod d/gcd(d,2)); rotations->G
SYMBOLIC depth(R_d)=1; depth(H_(d,j))=v2(d); fixed roots=SIGMA(oddpart(n))
SYMBOLIC signature=(v2(n),SIGMA(oddpart(n)),TAU(n)); signature classifies graph
BOX n=  3 a=0 odd=  3 states=   6 fixed=  4 image1=  4 max_tail=1 signature=(0, 4, 2) depths=0:4/1:2
BOX n=  4 a=2 odd=  1 states=  10 fixed=  1 image1=  3 max_tail=2 signature=(2, 1, 3) depths=0:1/1:5/2:4
BOX n=  5 a=0 odd=  5 states=   8 fixed=  6 image1=  6 max_tail=1 signature=(0, 6, 2) depths=0:6/1:2
BOX n=  6 a=1 odd=  3 states=  16 fixed=  4 image1=  4 max_tail=1 signature=(1, 4, 4) depths=0:4/1:12
BOX n=  7 a=0 odd=  7 states=  10 fixed=  8 image1=  8 max_tail=1 signature=(0, 8, 2) depths=0:8/1:2
BOX n=  8 a=3 odd=  1 states=  19 fixed=  1 image1=  7 max_tail=3 signature=(3, 1, 4) depths=0:1/1:6/2:4/3:8
BOX n=  9 a=0 odd=  9 states=  16 fixed= 13 image1= 13 max_tail=1 signature=(0, 13, 3) depths=0:13/1:3
BOX n= 10 a=1 odd=  5 states=  22 fixed=  6 image1=  6 max_tail=1 signature=(1, 6, 4) depths=0:6/1:16
BOX n= 11 a=0 odd= 11 states=  14 fixed= 12 image1= 12 max_tail=1 signature=(0, 12, 2) depths=0:12/1:2
BOX n= 12 a=2 odd=  3 states=  34 fixed=  4 image1= 12 max_tail=2 signature=(2, 4, 6) depths=0:4/1:14/2:16
BOX n= 14 a=1 odd=  7 states=  28 fixed=  8 image1=  8 max_tail=1 signature=(1, 8, 4) depths=0:8/1:20
BOX n= 15 a=0 odd= 15 states=  28 fixed= 24 image1= 24 max_tail=1 signature=(0, 24, 4) depths=0:24/1:4
BOX n= 16 a=4 odd=  1 states=  36 fixed=  1 image1= 15 max_tail=4 signature=(4, 1, 5) depths=0:1/1:7/2:4/3:8/4:16
BOX n= 18 a=1 odd=  9 states=  45 fixed= 13 image1= 13 max_tail=1 signature=(1, 13, 6) depths=0:13/1:32
BOX n= 20 a=2 odd=  5 states=  48 fixed=  6 image1= 18 max_tail=2 signature=(2, 6, 6) depths=0:6/1:18/2:24
BOX n= 21 a=0 odd= 21 states=  36 fixed= 32 image1= 32 max_tail=1 signature=(0, 32, 4) depths=0:32/1:4
BOX n= 22 a=1 odd= 11 states=  40 fixed= 12 image1= 12 max_tail=1 signature=(1, 12, 4) depths=0:12/1:28
BOX n= 24 a=3 odd=  3 states=  68 fixed=  4 image1= 28 max_tail=3 signature=(3, 4, 8) depths=0:4/1:16/2:16/3:32
BOX n= 25 a=0 odd= 25 states=  34 fixed= 31 image1= 31 max_tail=1 signature=(0, 31, 3) depths=0:31/1:3
BOX n= 27 a=0 odd= 27 states=  44 fixed= 40 image1= 40 max_tail=1 signature=(0, 40, 4) depths=0:40/1:4
BOX n= 28 a=2 odd=  7 states=  62 fixed=  8 image1= 24 max_tail=2 signature=(2, 8, 6) depths=0:8/1:22/2:32
BOX n= 30 a=1 odd= 15 states=  80 fixed= 24 image1= 24 max_tail=1 signature=(1, 24, 8) depths=0:24/1:56
BOX n= 32 a=5 odd=  1 states=  69 fixed=  1 image1= 31 max_tail=5 signature=(5, 1, 6) depths=0:1/1:8/2:4/3:8/4:16/5:32
BOX n= 33 a=0 odd= 33 states=  52 fixed= 48 image1= 48 max_tail=1 signature=(0, 48, 4) depths=0:48/1:4
BOX n= 35 a=0 odd= 35 states=  52 fixed= 48 image1= 48 max_tail=1 signature=(0, 48, 4) depths=0:48/1:4
BOX n= 36 a=2 odd=  9 states= 100 fixed= 13 image1= 39 max_tail=2 signature=(2, 13, 9) depths=0:13/1:35/2:52
BOX n= 40 a=3 odd=  5 states=  98 fixed=  6 image1= 42 max_tail=3 signature=(3, 6, 8) depths=0:6/1:20/2:24/3:48
BOX n= 42 a=1 odd= 21 states= 104 fixed= 32 image1= 32 max_tail=1 signature=(1, 32, 8) depths=0:32/1:72
BOX n= 44 a=2 odd= 11 states=  90 fixed= 12 image1= 36 max_tail=2 signature=(2, 12, 6) depths=0:12/1:30/2:48
BOX n= 45 a=0 odd= 45 states=  84 fixed= 78 image1= 78 max_tail=1 signature=(0, 78, 6) depths=0:78/1:6
BOX n= 48 a=4 odd=  3 states= 134 fixed=  4 image1= 60 max_tail=4 signature=(4, 4, 10) depths=0:4/1:18/2:16/3:32/4:64
BOX n= 50 a=1 odd= 25 states=  99 fixed= 31 image1= 31 max_tail=1 signature=(1, 31, 6) depths=0:31/1:68
BOX n= 52 a=2 odd= 13 states= 104 fixed= 14 image1= 42 max_tail=2 signature=(2, 14, 6) depths=0:14/1:34/2:56
BOX n= 54 a=1 odd= 27 states= 128 fixed= 40 image1= 40 max_tail=1 signature=(1, 40, 8) depths=0:40/1:88
BOX n= 56 a=3 odd=  7 states= 128 fixed=  8 image1= 56 max_tail=3 signature=(3, 8, 8) depths=0:8/1:24/2:32/3:64
