candidate_id,evidence_status,seed,precision,cutoff,q,degree,formula_count,brute_necklace_count,brute_irreducible_count,necklace_matches,irreducible_matches
SD-C01,PROVED,20260812,exact_integer,12,2,1,2,2,2,True,True
SD-C01,PROVED,20260812,exact_integer,12,2,2,1,1,1,True,True
SD-C01,PROVED,20260812,exact_integer,12,2,3,2,2,2,True,True
SD-C01,PROVED,20260812,exact_integer,12,2,4,3,3,3,True,True
SD-C01,PROVED,20260812,exact_integer,12,2,5,6,6,6,True,True
SD-C01,PROVED,20260812,exact_integer,12,2,6,9,9,9,True,True
SD-C01,PROVED,20260812,exact_integer,12,2,7,18,18,18,True,True
SD-C01,PROVED,20260812,exact_integer,12,2,8,30,30,30,True,True
SD-C01,PROVED,20260812,exact_integer,12,2,9,56,56,56,True,True
SD-C01,PROVED,20260812,exact_integer,12,2,10,99,99,,True,
SD-C01,PROVED,20260812,exact_integer,12,2,11,186,,,,
SD-C01,PROVED,20260812,exact_integer,12,2,12,335,,,,
SD-C01,PROVED,20260812,exact_integer,12,3,1,3,3,3,True,True
SD-C01,PROVED,20260812,exact_integer,12,3,2,3,3,3,True,True
SD-C01,PROVED,20260812,exact_integer,12,3,3,8,8,8,True,True
SD-C01,PROVED,20260812,exact_integer,12,3,4,18,18,18,True,True
SD-C01,PROVED,20260812,exact_integer,12,3,5,48,48,48,True,True
SD-C01,PROVED,20260812,exact_integer,12,3,6,116,116,116,True,True
SD-C01,PROVED,20260812,exact_integer,12,3,7,312,312,312,True,True
SD-C01,PROVED,20260812,exact_integer,12,3,8,810,810,,True,
SD-C01,PROVED,20260812,exact_integer,12,3,9,2184,,,,
SD-C01,PROVED,20260812,exact_integer,12,3,10,5880,,,,
SD-C01,PROVED,20260812,exact_integer,12,3,11,16104,,,,
SD-C01,PROVED,20260812,exact_integer,12,3,12,44220,,,,
SD-C01,PROVED,20260812,exact_integer,12,5,1,5,5,5,True,True
SD-C01,PROVED,20260812,exact_integer,12,5,2,10,10,10,True,True
SD-C01,PROVED,20260812,exact_integer,12,5,3,40,40,40,True,True
SD-C01,PROVED,20260812,exact_integer,12,5,4,150,150,150,True,True
SD-C01,PROVED,20260812,exact_integer,12,5,5,624,624,624,True,True
SD-C01,PROVED,20260812,exact_integer,12,5,6,2580,2580,2580,True,True
SD-C01,PROVED,20260812,exact_integer,12,5,7,11160,11160,,True,
SD-C01,PROVED,20260812,exact_integer,12,5,8,48750,,,,
SD-C01,PROVED,20260812,exact_integer,12,5,9,217000,,,,
SD-C01,PROVED,20260812,exact_integer,12,5,10,976248,,,,
SD-C01,PROVED,20260812,exact_integer,12,5,11,4438920,,,,
SD-C01,PROVED,20260812,exact_integer,12,5,12,20343700,,,,
