cutoff,kind,atom_weights,UJ,BI,MU,RM,TA,full,coefficient
12,pair,2*3,true,true,true,true,true,true,1/11659416
12,pair,2*5,true,true,true,true,true,true,1/1132521640
12,pair,2*7,true,true,true,true,true,true,1/23343817784
12,pair,2*11,true,true,true,true,true,true,1/1363079946712
12,pair,3*5,true,true,true,true,true,true,1/39524613360
12,pair,3*7,true,true,true,true,true,true,1/814691163216
12,pair,3*11,true,true,true,true,true,true,1/47571018486288
12,pair,5*7,true,true,true,true,true,true,1/79133926798640
12,pair,5*11,true,true,true,true,true,true,1/4620746688561520
12,pair,7*11,true,true,true,true,true,true,1/95243980259663312
12,triple,2*3*5,true,true,true,true,true,true,1/11422613261040
12,triple,2*3*7,true,true,true,true,true,true,1/235445746169424
12,triple,2*3*11,true,true,true,true,true,true,1/13748024342537232
12,triple,2*5*7,true,true,true,true,true,true,1/22869704844806960
12,triple,2*5*11,true,true,true,true,true,true,1/1335395792994279280
12,triple,2*7*11,true,true,true,true,true,true,1/27525510295042697168
12,triple,3*5*7,true,true,true,true,true,true,1/798144785691083040
12,triple,3*5*11,true,true,true,true,true,true,1/46604851100831490720
12,triple,3*7*11,true,true,true,true,true,true,1/960630784898964164832
12,triple,5*7*11,true,true,true,true,true,true,1/93309575020589550133280
18,pair,2*3,true,true,true,true,true,true,1/11659416
18,pair,2*5,true,true,true,true,true,true,1/1132521640
18,pair,2*7,true,true,true,true,true,true,1/23343817784
18,pair,2*11,true,true,true,true,true,true,1/1363079946712
18,pair,2*13,true,true,true,true,true,true,1/6129829859816
18,pair,2*17,true,true,true,true,true,true,1/68545433979784
18,pair,3*5,true,true,true,true,true,true,1/39524613360
18,pair,3*7,true,true,true,true,true,true,1/814691163216
18,pair,3*11,true,true,true,true,true,true,1/47571018486288
18,pair,3*13,true,true,true,true,true,true,1/213928941059184
18,pair,3*17,true,true,true,true,true,true,1/2392211927751216
18,pair,5*7,true,true,true,true,true,true,1/79133926798640
18,pair,5*11,true,true,true,true,true,true,1/4620746688561520
18,pair,5*13,true,true,true,true,true,true,1/20779699015097360
18,pair,5*17,true,true,true,true,true,true,1/232364277562818640
18,pair,7*11,true,true,true,true,true,true,1/95243980259663312
18,pair,7*13,true,true,true,true,true,true,1/428316325518333616
18,pair,7*17,true,true,true,true,true,true,1/4789550294983535984
18,pair,11*13,true,true,true,true,true,true,1/25010021906681013488
18,pair,11*17,true,true,true,true,true,true,1/279668905115225179312
18,pair,13*17,true,true,true,true,true,true,1/1257683241230727121616
18,triple,2*3*5,true,true,true,true,true,true,1/11422613261040
18,triple,2*3*7,true,true,true,true,true,true,1/235445746169424
18,triple,2*3*11,true,true,true,true,true,true,1/13748024342537232
18,triple,2*3*13,true,true,true,true,true,true,1/61825463966104176
18,triple,2*3*17,true,true,true,true,true,true,1/691349247120101424
18,triple,2*5*7,true,true,true,true,true,true,1/22869704844806960
18,triple,2*5*11,true,true,true,true,true,true,1/1335395792994279280
18,triple,2*5*13,true,true,true,true,true,true,1/6005333015363137040
18,triple,2*5*17,true,true,true,true,true,true,1/67153276215654586960
18,triple,2*7*11,true,true,true,true,true,true,1/27525510295042697168
18,triple,2*7*13,true,true,true,true,true,true,1/123783418074798415024
18,triple,2*7*17,true,true,true,true,true,true,1/1384180035250241899376
18,triple,2*11*13,true,true,true,true,true,true,1/7227896331030812898032
18,triple,2*11*17,true,true,true,true,true,true,1/80824313578300076821168
18,triple,2*13*17,true,true,true,true,true,true,1/363470456715680138147024
18,triple,3*5*7,true,true,true,true,true,true,1/798144785691083040
18,triple,3*5*11,true,true,true,true,true,true,1/46604851100831490720
18,triple,3*5*13,true,true,true,true,true,true,1/209584044266271972960
18,triple,3*5*17,true,true,true,true,true,true,1/2343626103498588803040
18,triple,3*7*11,true,true,true,true,true,true,1/960630784898964164832
18,triple,3*7*13,true,true,true,true,true,true,1/4319998459177912850976
18,triple,3*7*17,true,true,true,true,true,true,1/48307404275203943934624
