name,alias,rank,exponent_cap,element_count,generator_weights,pair_count,triple_count,all_pairs_fully_coherent,all_triples_fully_coherent,cap_independent_local_intervals
free_commutative_r2_cap1,free_commutative,2,1,4,2*3,1,0,true,true,true
polynomial_UFD_monomials_r2_cap1,polynomial_UFD_monomials,2,1,4,2*3,1,0,true,true,true
generic_weight_free_commutative_r2_cap1,generic_weight_free_commutative,2,1,4,10*14,1,0,true,true,true
free_commutative_r2_cap2,free_commutative,2,2,9,2*3,1,0,true,true,true
polynomial_UFD_monomials_r2_cap2,polynomial_UFD_monomials,2,2,9,2*3,1,0,true,true,true
generic_weight_free_commutative_r2_cap2,generic_weight_free_commutative,2,2,9,10*14,1,0,true,true,true
free_commutative_r2_cap3,free_commutative,2,3,16,2*3,1,0,true,true,true
polynomial_UFD_monomials_r2_cap3,polynomial_UFD_monomials,2,3,16,2*3,1,0,true,true,true
generic_weight_free_commutative_r2_cap3,generic_weight_free_commutative,2,3,16,10*14,1,0,true,true,true
free_commutative_r3_cap1,free_commutative,3,1,8,2*3*5,3,1,true,true,true
polynomial_UFD_monomials_r3_cap1,polynomial_UFD_monomials,3,1,8,2*3*5,3,1,true,true,true
generic_weight_free_commutative_r3_cap1,generic_weight_free_commutative,3,1,8,10*14*21,3,1,true,true,true
free_commutative_r3_cap2,free_commutative,3,2,27,2*3*5,3,1,true,true,true
polynomial_UFD_monomials_r3_cap2,polynomial_UFD_monomials,3,2,27,2*3*5,3,1,true,true,true
generic_weight_free_commutative_r3_cap2,generic_weight_free_commutative,3,2,27,10*14*21,3,1,true,true,true
free_commutative_r3_cap3,free_commutative,3,3,64,2*3*5,3,1,true,true,true
polynomial_UFD_monomials_r3_cap3,polynomial_UFD_monomials,3,3,64,2*3*5,3,1,true,true,true
generic_weight_free_commutative_r3_cap3,generic_weight_free_commutative,3,3,64,10*14*21,3,1,true,true,true
free_commutative_r4_cap1,free_commutative,4,1,16,2*3*5*7,6,4,true,true,true
polynomial_UFD_monomials_r4_cap1,polynomial_UFD_monomials,4,1,16,2*3*5*7,6,4,true,true,true
generic_weight_free_commutative_r4_cap1,generic_weight_free_commutative,4,1,16,10*14*21*25,6,4,true,true,true
free_commutative_r4_cap2,free_commutative,4,2,81,2*3*5*7,6,4,true,true,true
polynomial_UFD_monomials_r4_cap2,polynomial_UFD_monomials,4,2,81,2*3*5*7,6,4,true,true,true
generic_weight_free_commutative_r4_cap2,generic_weight_free_commutative,4,2,81,10*14*21*25,6,4,true,true,true
free_commutative_r4_cap3,free_commutative,4,3,256,2*3*5*7,6,4,true,true,true
polynomial_UFD_monomials_r4_cap3,polynomial_UFD_monomials,4,3,256,2*3*5*7,6,4,true,true,true
generic_weight_free_commutative_r4_cap3,generic_weight_free_commutative,4,3,256,10*14*21*25,6,4,true,true,true
free_commutative_r5_cap1,free_commutative,5,1,32,2*3*5*7*11,10,10,true,true,true
polynomial_UFD_monomials_r5_cap1,polynomial_UFD_monomials,5,1,32,2*3*5*7*11,10,10,true,true,true
generic_weight_free_commutative_r5_cap1,generic_weight_free_commutative,5,1,32,10*14*21*25*33,10,10,true,true,true
free_commutative_r5_cap2,free_commutative,5,2,243,2*3*5*7*11,10,10,true,true,true
polynomial_UFD_monomials_r5_cap2,polynomial_UFD_monomials,5,2,243,2*3*5*7*11,10,10,true,true,true
generic_weight_free_commutative_r5_cap2,generic_weight_free_commutative,5,2,243,10*14*21*25*33,10,10,true,true,true
free_commutative_r5_cap3,free_commutative,5,3,1024,2*3*5*7*11,10,10,true,true,true
polynomial_UFD_monomials_r5_cap3,polynomial_UFD_monomials,5,3,1024,2*3*5*7*11,10,10,true,true,true
generic_weight_free_commutative_r5_cap3,generic_weight_free_commutative,5,3,1024,10*14*21*25*33,10,10,true,true,true
free_commutative_r6_cap1,free_commutative,6,1,64,2*3*5*7*11*13,15,20,true,true,true
polynomial_UFD_monomials_r6_cap1,polynomial_UFD_monomials,6,1,64,2*3*5*7*11*13,15,20,true,true,true
generic_weight_free_commutative_r6_cap1,generic_weight_free_commutative,6,1,64,10*14*21*25*33*38,15,20,true,true,true
free_commutative_r6_cap2,free_commutative,6,2,729,2*3*5*7*11*13,15,20,true,true,true
polynomial_UFD_monomials_r6_cap2,polynomial_UFD_monomials,6,2,729,2*3*5*7*11*13,15,20,true,true,true
generic_weight_free_commutative_r6_cap2,generic_weight_free_commutative,6,2,729,10*14*21*25*33*38,15,20,true,true,true
free_commutative_r6_cap3,free_commutative,6,3,4096,2*3*5*7*11*13,15,20,true,true,true
polynomial_UFD_monomials_r6_cap3,polynomial_UFD_monomials,6,3,4096,2*3*5*7*11*13,15,20,true,true,true
generic_weight_free_commutative_r6_cap3,generic_weight_free_commutative,6,3,4096,10*14*21*25*33*38,15,20,true,true,true
