mask,predicates,source,qualified_pairs,qualified_triples,is_frozen_full_selector
24,RM+TA,seeded_random_inventory_29032,0,0,false
24,RM+TA,transported_free_commutative_clone_30,45,120,false
25,UJ+RM+TA,integer_divisibility_active_30,45,120,false
25,UJ+RM+TA,mutated_cover_promote_6,5,0,false
25,UJ+RM+TA,composite_only,1,0,false
25,UJ+RM+TA,seeded_generic_dag_29031,0,0,false
25,UJ+RM+TA,seeded_random_inventory_29032,0,0,false
25,UJ+RM+TA,transported_free_commutative_clone_30,45,120,false
26,BI+RM+TA,integer_divisibility_active_30,45,120,false
26,BI+RM+TA,mutated_cover_promote_6,3,0,false
26,BI+RM+TA,composite_only,0,0,false
26,BI+RM+TA,seeded_generic_dag_29031,0,0,false
26,BI+RM+TA,seeded_random_inventory_29032,0,0,false
26,BI+RM+TA,transported_free_commutative_clone_30,45,120,false
27,UJ+BI+RM+TA,integer_divisibility_active_30,45,120,false
27,UJ+BI+RM+TA,mutated_cover_promote_6,3,0,false
27,UJ+BI+RM+TA,composite_only,0,0,false
27,UJ+BI+RM+TA,seeded_generic_dag_29031,0,0,false
27,UJ+BI+RM+TA,seeded_random_inventory_29032,0,0,false
27,UJ+BI+RM+TA,transported_free_commutative_clone_30,45,120,false
28,MU+RM+TA,integer_divisibility_active_30,45,120,false
28,MU+RM+TA,mutated_cover_promote_6,5,0,false
28,MU+RM+TA,composite_only,0,0,false
28,MU+RM+TA,seeded_generic_dag_29031,0,0,false
28,MU+RM+TA,seeded_random_inventory_29032,0,0,false
28,MU+RM+TA,transported_free_commutative_clone_30,45,120,false
29,UJ+MU+RM+TA,integer_divisibility_active_30,45,120,false
29,UJ+MU+RM+TA,mutated_cover_promote_6,5,0,false
29,UJ+MU+RM+TA,composite_only,0,0,false
29,UJ+MU+RM+TA,seeded_generic_dag_29031,0,0,false
29,UJ+MU+RM+TA,seeded_random_inventory_29032,0,0,false
29,UJ+MU+RM+TA,transported_free_commutative_clone_30,45,120,false
30,BI+MU+RM+TA,integer_divisibility_active_30,45,120,false
30,BI+MU+RM+TA,mutated_cover_promote_6,3,0,false
30,BI+MU+RM+TA,composite_only,0,0,false
30,BI+MU+RM+TA,seeded_generic_dag_29031,0,0,false
30,BI+MU+RM+TA,seeded_random_inventory_29032,0,0,false
30,BI+MU+RM+TA,transported_free_commutative_clone_30,45,120,false
31,UJ+BI+MU+RM+TA,integer_divisibility_active_30,45,120,true
31,UJ+BI+MU+RM+TA,mutated_cover_promote_6,3,0,true
31,UJ+BI+MU+RM+TA,composite_only,0,0,true
31,UJ+BI+MU+RM+TA,seeded_generic_dag_29031,0,0,true
31,UJ+BI+MU+RM+TA,seeded_random_inventory_29032,0,0,true
31,UJ+BI+MU+RM+TA,transported_free_commutative_clone_30,45,120,true
