source,class,atoms,qualified_pairs,qualified_triples,C2_nonzero,theta3_nonzero
baseline_12,integer_divisibility,5,10,10,true,true
baseline_18,integer_divisibility,7,21,35,true,true
baseline_30,integer_divisibility,10,45,120,true,true
mutated_cover_promote_6,finite_control,8,3,0,true,false
composite_only,finite_control,3,0,0,false,false
seeded_generic_dag_29031,finite_control,4,0,0,false,false
seeded_random_inventory_29032,finite_control,5,0,0,false,false
transported_free_commutative_clone_30,transported_free_clone,10,45,120,true,true
