fiber_cycle_size,primitive_repetition,transfer_power,normalized_fiber_moment,formal_coefficient,survives
2,1,3,0,0,False
2,2,6,1,3*x**2*y**2*z**2,True
2,3,9,0,0,False
2,4,12,1,3*x**4*y**4*z**4,True
2,5,15,0,0,False
2,6,18,1,3*x**6*y**6*z**6,True
2,7,21,0,0,False
2,8,24,1,3*x**8*y**8*z**8,True
2,9,27,0,0,False
2,10,30,1,3*x**10*y**10*z**10,True
2,11,33,0,0,False
2,12,36,1,3*x**12*y**12*z**12,True
2,13,39,0,0,False
2,14,42,1,3*x**14*y**14*z**14,True
2,15,45,0,0,False
2,16,48,1,3*x**16*y**16*z**16,True
2,17,51,0,0,False
2,18,54,1,3*x**18*y**18*z**18,True
2,19,57,0,0,False
2,20,60,1,3*x**20*y**20*z**20,True
2,21,63,0,0,False
2,22,66,1,3*x**22*y**22*z**22,True
2,23,69,0,0,False
2,24,72,1,3*x**24*y**24*z**24,True
2,25,75,0,0,False
2,26,78,1,3*x**26*y**26*z**26,True
2,27,81,0,0,False
2,28,84,1,3*x**28*y**28*z**28,True
2,29,87,0,0,False
2,30,90,1,3*x**30*y**30*z**30,True
2,31,93,0,0,False
2,32,96,1,3*x**32*y**32*z**32,True
3,1,3,0,0,False
3,2,6,0,0,False
3,3,9,1,3*x**3*y**3*z**3,True
3,4,12,0,0,False
3,5,15,0,0,False
3,6,18,1,3*x**6*y**6*z**6,True
3,7,21,0,0,False
3,8,24,0,0,False
3,9,27,1,3*x**9*y**9*z**9,True
3,10,30,0,0,False
3,11,33,0,0,False
3,12,36,1,3*x**12*y**12*z**12,True
3,13,39,0,0,False
3,14,42,0,0,False
3,15,45,1,3*x**15*y**15*z**15,True
3,16,48,0,0,False
3,17,51,0,0,False
3,18,54,1,3*x**18*y**18*z**18,True
3,19,57,0,0,False
3,20,60,0,0,False
3,21,63,1,3*x**21*y**21*z**21,True
3,22,66,0,0,False
3,23,69,0,0,False
3,24,72,1,3*x**24*y**24*z**24,True
3,25,75,0,0,False
3,26,78,0,0,False
3,27,81,1,3*x**27*y**27*z**27,True
