hidden_dimension,theta,state_moment_max_error,ordinary_hidden_factor_real,ordinary_hidden_factor_imag,ordinary_even_det_motion_visible,graded_supertrace_max_error,graded_berezinian_residual
2,0.0,0.0,0.9328,-0.10540000000000001,0.0888291900221994,0.0,0.0
2,0.37,0.0,0.9754618689043815,-0.12256785925492149,0.08882919002219934,2.220446049250313e-16,0.0
2,1.11,0.0,1.0645253875456344,-0.1070582755422751,0.0888291900221994,2.220446049250313e-16,2.7755575615628914e-17
2,2.43,0.0,1.119722585307606,0.03593748137061072,0.08882919002219944,2.220446049250313e-16,1.1102230246251565e-16
3,0.0,0.0,0.997086,-0.044098000000000005,0.03140586131600275,0.0,2.7755575615628914e-17
3,0.37,0.0,1.0132297154336949,-0.0421675186552808,0.03140586131600277,9.155133597044475e-16,0.0
3,1.11,0.0,1.0382027769813333,-0.022218749535347443,0.03140586131600286,8.881784197001252e-16,2.220446049250313e-16
3,2.43,0.0,1.031004629612354,0.03149345872718235,0.0314058613160029,9.485749680535094e-16,1.1102230246251565e-16
4,0.0,0.0,1.00659332,-0.01416576,0.011103648752774881,0.0,1.1443916996305594e-16
4,0.37,0.0,1.011269689955843,-0.010822879159408914,0.011103648752774975,4.440892098500626e-16,1.1102230246251565e-16
4,1.11,0.0,1.0156200482852225,-0.0003933402691310277,0.011103648752774932,2.220446049250313e-16,2.7755575615628914e-17
4,2.43,0.0,1.0042575471962087,0.015033759239526717,0.011103648752774945,6.280369834735101e-16,2.7755575615628914e-17
5,0.0,0.0,1.0044521084,-0.003270521199999999,0.003925732664500355,0.0,1.1102230246251565e-16
5,0.37,0.0,1.0053334933434108,-0.0014392452469234257,0.003925732664500338,8.881784197001252e-16,0.0
5,1.11,0.0,1.0049090828141711,0.0025334727250571933,0.003925732664500367,8.881784197001252e-16,2.7755575615628914e-17
5,2.43,0.0,0.9987641005601051,0.005384248387608771,0.003925732664500357,8.881784197001252e-16,0.0
6,0.0,0.0,1.001936142208,-0.00025700314399999954,0.0013879560940969781,0.0,1.1443916996305594e-16
6,0.37,0.0,1.0018980546284344,0.0004605278418335904,0.0013879560940969857,8.881784197001252e-16,1.1102230246251565e-16
6,1.11,0.0,1.0010911253091335,0.0016199206231768382,0.001387956094096942,8.881784197001252e-16,0.0
6,2.43,0.0,0.9987015489477391,0.001459014095376598,0.001387956094096827,4.440892098500626e-16,1.1443916996305594e-16
7,0.0,0.0,1.00064389461896,0.0002494732007200002,0.0004907165830626523,0.0,1.1102230246251565e-16
7,0.37,0.0,1.0005101072017029,0.00046543291780225417,0.0004907165830625572,1.9860273225978185e-15,1.1443916996305594e-16
7,1.11,0.0,1.0000628623398913,0.0006876666957374906,0.000490716583062549,9.930136612989092e-16,1.1102230246251565e-16
7,2.43,0.0,0.999349447777585,0.00023155769068239443,0.0004907165830625071,9.930136612989092e-16,1.1102230246251565e-16
8,0.0,0.0,1.0001571968877552,0.00018679877744640005,0.0001734945117620946,0.0,2.7755575615628914e-17
8,0.37,0.0,1.0000790096365015,0.0002310024288081988,0.0001734945117621052,8.881784197001252e-16,0.0
8,1.11,0.0,0.999902583987091,0.00022386327346013936,0.0001734945117620654,9.930136612989092e-16,0.0
8,2.43,0.0,0.9997589640036354,-3.881099369899018e-05,0.00017349451176208107,4.440892098500626e-16,2.7755575615628914e-17
