inventory,fiber_dimension,seed,first_ledger_failure_repetition,determinant_logabs_range,determinant_motion,ledger_exact_all_r_to_32
tensor_primes,2,0,2,0.2881076665622494,True,False
tensor_primes,2,1,2,0.5323806920138232,True,False
tensor_primes,2,2,2,0.5769827522328796,True,False
tensor_primes,2,3,2,0.5709078798170435,True,False
tensor_primes,2,4,2,0.5467366298728215,True,False
tensor_primes,2,5,2,0.4276862468521129,True,False
tensor_primes,2,6,2,0.2997203434231566,True,False
tensor_primes,2,7,2,0.39906920510561883,True,False
tensor_primes,2,8,2,0.35077838300861763,True,False
tensor_primes,2,9,2,0.6384865933642995,True,False
tensor_primes,2,10,2,0.6623480481866031,True,False
tensor_primes,2,11,2,0.6133742995705294,True,False
tensor_primes,2,12,2,0.3195258756277779,True,False
tensor_primes,2,13,2,0.2879593288310327,True,False
tensor_primes,2,14,2,0.6138970099007193,True,False
tensor_primes,2,15,2,0.5479262259789017,True,False
tensor_primes,2,16,2,0.3336410067284747,True,False
tensor_primes,2,17,2,0.7040702053651637,True,False
tensor_primes,2,18,2,0.6013685887415019,True,False
tensor_primes,2,19,2,0.4826689203328095,True,False
tensor_primes,2,20,2,0.5992575932056445,True,False
tensor_primes,2,21,2,0.19469264100477962,True,False
tensor_primes,2,22,2,0.2765359120729621,True,False
tensor_primes,2,23,2,0.288015818711302,True,False
tensor_primes,2,24,2,0.39816821948407677,True,False
tensor_primes,2,25,2,0.18128085470228755,True,False
tensor_primes,2,26,2,0.2750567376581123,True,False
tensor_primes,2,27,2,0.24734739445868045,True,False
tensor_primes,2,28,2,0.41918767531928114,True,False
tensor_primes,2,29,2,0.4858813488244867,True,False
tensor_primes,2,30,2,0.583349411675844,True,False
tensor_primes,2,31,2,0.4906709173927009,True,False
tensor_primes,3,0,3,0.21622048725163218,True,False
tensor_primes,3,1,3,0.21684101080279775,True,False
tensor_primes,3,2,3,0.07569919068592598,True,False
tensor_primes,3,3,3,0.14972499088646618,True,False
tensor_primes,3,4,3,0.2304417667374218,True,False
tensor_primes,3,5,3,0.09347688775139362,True,False
tensor_primes,3,6,3,0.13436211252995503,True,False
tensor_primes,3,7,3,0.2118253652458919,True,False
tensor_primes,3,8,3,0.2182677395612314,True,False
tensor_primes,3,9,3,0.20433750511061527,True,False
tensor_primes,3,10,3,0.19457070363179124,True,False
tensor_primes,3,11,3,0.19119413322964998,True,False
tensor_primes,3,12,3,0.19095087230964908,True,False
tensor_primes,3,13,3,0.12291569837351948,True,False
tensor_primes,3,14,3,0.21651079472162205,True,False
tensor_primes,3,15,3,0.1287330047387567,True,False
tensor_primes,3,16,3,0.11594704087134489,True,False
tensor_primes,3,17,3,0.1999077355089524,True,False
tensor_primes,3,18,3,0.2137081794472651,True,False
tensor_primes,3,19,3,0.2387001298555848,True,False
tensor_primes,3,20,3,0.16810450529558407,True,False
tensor_primes,3,21,3,0.14799586474546347,True,False
tensor_primes,3,22,3,0.12033260488763077,True,False
tensor_primes,3,23,3,0.10685910130961243,True,False
tensor_primes,3,24,3,0.12362581763593838,True,False
tensor_primes,3,25,3,0.14753073516138962,True,False
tensor_primes,3,26,3,0.14951854401497716,True,False
tensor_primes,3,27,3,0.2184058734242592,True,False
tensor_primes,3,28,3,0.11317100467911802,True,False
tensor_primes,3,29,3,0.21459027730534946,True,False
tensor_primes,3,30,3,0.17244424062275743,True,False
tensor_primes,3,31,3,0.15546252787964043,True,False
tensor_primes,4,0,4,0.09357644799401896,True,False
tensor_primes,4,1,4,0.07871034413069311,True,False
tensor_primes,4,2,4,0.05987808280409848,True,False
tensor_primes,4,3,4,0.047641469132023426,True,False
tensor_primes,4,4,4,0.0864988352276273,True,False
tensor_primes,4,5,4,0.058788796469347995,True,False
tensor_primes,4,6,4,0.08178043564104326,True,False
tensor_primes,4,7,4,0.05698428742150721,True,False
tensor_primes,4,8,4,0.08548783882263894,True,False
tensor_primes,4,9,4,0.07602354092765037,True,False
tensor_primes,4,10,4,0.051652349346581056,True,False
tensor_primes,4,11,4,0.07580507231712372,True,False
tensor_primes,4,12,4,0.08750635077246535,True,False
tensor_primes,4,13,4,0.05576499070648127,True,False
tensor_primes,4,14,4,0.08461750318695013,True,False
tensor_primes,4,15,4,0.051034887701387685,True,False
tensor_primes,4,16,4,0.08126028679899615,True,False
tensor_primes,4,17,4,0.060121481879099214,True,False
tensor_primes,4,18,4,0.05921216756253475,True,False
tensor_primes,4,19,4,0.08050299594164695,True,False
tensor_primes,4,20,4,0.046414439872013775,True,False
tensor_primes,4,21,4,0.07770089817164302,True,False
tensor_primes,4,22,4,0.08133157355878334,True,False
tensor_primes,4,23,4,0.07000497539684578,True,False
tensor_primes,4,24,4,0.053261689474414724,True,False
tensor_primes,4,25,4,0.07718303781114308,True,False
tensor_primes,4,26,4,0.09241028771897772,True,False
tensor_primes,4,27,4,0.09428993887234638,True,False
tensor_primes,4,28,4,0.052568734019385124,True,False
tensor_primes,4,29,4,0.08485794609479055,True,False
tensor_primes,4,30,4,0.045892596190706895,True,False
tensor_primes,4,31,4,0.047063911307856865,True,False
composites,2,0,2,0.1729585000931657,True,False
composites,2,1,2,0.32000154777010853,True,False
composites,2,2,2,0.21256730359008996,True,False
composites,2,3,2,0.20063069392105892,True,False
composites,2,4,2,0.0750032446580569,True,False
composites,2,5,2,0.11355803082282155,True,False
composites,2,6,2,0.17141352231682067,True,False
composites,2,7,2,0.18074869384804793,True,False
composites,2,8,2,0.10266947611747429,True,False
composites,2,9,2,0.3466470874114946,True,False
composites,2,10,2,0.0997274058262794,True,False
composites,2,11,2,0.3263641639921231,True,False
composites,2,12,2,0.12687430948320205,True,False
composites,2,13,2,0.10563520204743661,True,False
composites,2,14,2,0.1911156619253365,True,False
composites,2,15,2,0.2170893183893858,True,False
composites,2,16,2,0.16114041031216347,True,False
composites,2,17,2,0.2331409100375949,True,False
composites,2,18,2,0.2772975764330893,True,False
composites,2,19,2,0.2194057927832992,True,False
composites,2,20,2,0.13178947512830574,True,False
composites,2,21,2,0.03574999371810147,True,False
composites,2,22,2,0.041709615871332255,True,False
composites,2,23,2,0.058963793321959515,True,False
composites,2,24,2,0.08601979435933585,True,False
composites,2,25,2,0.03892838638999919,True,False
composites,2,26,2,0.05600019560252534,True,False
composites,2,27,2,0.1615523030533786,True,False
