seed,dimension,tau_U_real,tau_U_imag,normalized_HS_defect,rigidity_formula_residual,nontrivial,tau_equals_one
0,7,-0.3094280661978883,0.24361472212153065,2.618856132395777,4.440892098500626e-16,True,False
1,5,-0.25048817184944155,-0.3104799814056797,2.500976343698883,0.0,True,False
2,7,-0.18692625510271832,-0.037918333752834606,2.3738525102054364,0.0,True,False
3,7,0.14389888870819903,-0.21350913374450936,1.7122022225836016,4.440892098500626e-16,True,False
4,7,-0.021069563841555092,-0.04068853942587547,2.0421391276831105,4.440892098500626e-16,True,False
5,6,0.25027755434700466,-0.24824587071700033,1.4994448913059906,2.220446049250313e-16,True,False
6,5,0.32262513563282846,-0.2911855892051657,1.354749728734343,0.0,True,False
7,8,-0.4035921788194822,0.2735955643081466,2.807184357638964,0.0,True,False
8,7,0.12776832560845833,-0.12254650485369453,1.7444633487830832,2.220446049250313e-16,True,False
9,4,0.2664783235756627,0.398187337746298,1.4670433528486746,0.0,True,False
10,7,-0.16555550989501638,0.028875368507400467,2.3311110197900327,0.0,True,False
11,2,0.9017186252051277,0.29541912007034427,0.1965627495897446,2.7755575615628914e-17,True,False
12,6,-0.1336480761282654,-0.40451206694206987,2.267296152256531,0.0,True,False
13,8,-0.4794629071312936,0.21943703827944003,2.958925814262587,0.0,True,False
14,3,0.09886657803506989,0.3198543836534723,1.80226684392986,2.220446049250313e-16,True,False
15,8,0.1516252095086391,-0.08292760495743973,1.6967495809827218,0.0,True,False
16,5,0.07722773775967712,-0.24781406102454656,1.8455445244806457,2.220446049250313e-16,True,False
17,7,0.46856251165367646,-0.37934129020360324,1.0628749766926469,2.220446049250313e-16,True,False
18,8,0.24451960999393374,0.14733011843227833,1.5109607800121325,0.0,True,False
19,6,-0.2161983140831265,0.020773231237517082,2.432396628166253,0.0,True,False
20,8,-0.03562416076962527,-0.1656769220155844,2.07124832153925,4.440892098500626e-16,True,False
21,4,0.21767450244138165,0.44659426310186956,1.5646509951172367,0.0,True,False
22,7,-0.24796124458060131,0.1178617086234411,2.495922489161203,4.440892098500626e-16,True,False
23,2,-0.03019714818061814,0.02660509962958224,2.0603942963612365,0.0,True,False
24,4,0.9095898936098701,0.08104066275609677,0.18082021278025998,1.3877787807814457e-16,True,False
25,5,-0.3765651757591999,-0.5333741554635499,2.7531303515184002,4.440892098500626e-16,True,False
26,8,0.1138694422285959,0.12439482568262442,1.7722611155428083,0.0,True,False
27,2,-0.1667498226236181,-0.8053493176682884,2.3334996452472363,0.0,True,False
28,6,-0.501916887243923,0.16172804311613098,3.0038337744878465,4.440892098500626e-16,True,False
29,8,0.11675905290634421,-0.39246251191551174,1.7664818941873115,0.0,True,False
30,2,0.03291715208837587,-0.48933984973617517,1.9341656958232483,0.0,True,False
31,5,0.002418968780503006,0.19029510879931247,1.9951620624389943,2.220446049250313e-16,True,False
