family,name,dimension,repetition,tau_real,tau_imag,ordinary_trace_real,ordinary_trace_imag,distance_tau_from_one,expected_tau,expected_residual
identity,identity_d1,1,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,3,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,4,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,5,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,6,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,7,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,8,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,9,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,10,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,11,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,12,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,13,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,14,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,15,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,16,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,17,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,18,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,19,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,20,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,21,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,22,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,23,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,24,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,25,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,26,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,27,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,28,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,29,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,30,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,31,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d1,1,32,1.0,0.0,1.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,1,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,2,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,3,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,4,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,5,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,6,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,7,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,8,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,9,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,10,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,11,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,12,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,13,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,14,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,15,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,16,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,17,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,18,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,19,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,20,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,21,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,22,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,23,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,24,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,25,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,26,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,27,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,28,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,29,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,30,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,31,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d2,2,32,1.0,0.0,2.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,1,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,2,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,3,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,4,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,5,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,6,1.0,0.0,3.0,0.0,0.0,1.0,0.0
identity,identity_d3,3,7,1.0,0.0,3.0,0.0,0.0,1.0,0.0
