n_atoms,formal_degree,block,trace_repetition_coefficient,closed_factor_coefficient,exact_match
1,1,trivial_character,1,1,True
1,1,sign_character,-1,-1,True
1,1,regular_whole_extension,0,0,True
1,2,trivial_character,1/2,1/2,True
1,2,sign_character,1/2,1/2,True
1,2,regular_whole_extension,1,1,True
1,3,trivial_character,1/3,1/3,True
1,3,sign_character,-1/3,-1/3,True
1,3,regular_whole_extension,0,0,True
1,4,trivial_character,1/4,1/4,True
1,4,sign_character,1/4,1/4,True
1,4,regular_whole_extension,1/2,1/2,True
1,5,trivial_character,1/5,1/5,True
1,5,sign_character,-1/5,-1/5,True
1,5,regular_whole_extension,0,0,True
1,6,trivial_character,1/6,1/6,True
1,6,sign_character,1/6,1/6,True
1,6,regular_whole_extension,1/3,1/3,True
1,7,trivial_character,1/7,1/7,True
1,7,sign_character,-1/7,-1/7,True
1,7,regular_whole_extension,0,0,True
1,8,trivial_character,1/8,1/8,True
1,8,sign_character,1/8,1/8,True
1,8,regular_whole_extension,1/4,1/4,True
1,9,trivial_character,1/9,1/9,True
1,9,sign_character,-1/9,-1/9,True
1,9,regular_whole_extension,0,0,True
1,10,trivial_character,1/10,1/10,True
1,10,sign_character,1/10,1/10,True
1,10,regular_whole_extension,1/5,1/5,True
2,1,trivial_character,2,2,True
2,1,sign_character,-2,-2,True
2,1,regular_whole_extension,0,0,True
2,2,trivial_character,1,1,True
2,2,sign_character,1,1,True
2,2,regular_whole_extension,2,2,True
2,3,trivial_character,2/3,2/3,True
2,3,sign_character,-2/3,-2/3,True
2,3,regular_whole_extension,0,0,True
2,4,trivial_character,1/2,1/2,True
2,4,sign_character,1/2,1/2,True
2,4,regular_whole_extension,1,1,True
2,5,trivial_character,2/5,2/5,True
2,5,sign_character,-2/5,-2/5,True
2,5,regular_whole_extension,0,0,True
2,6,trivial_character,1/3,1/3,True
2,6,sign_character,1/3,1/3,True
2,6,regular_whole_extension,2/3,2/3,True
2,7,trivial_character,2/7,2/7,True
2,7,sign_character,-2/7,-2/7,True
2,7,regular_whole_extension,0,0,True
2,8,trivial_character,1/4,1/4,True
2,8,sign_character,1/4,1/4,True
2,8,regular_whole_extension,1/2,1/2,True
2,9,trivial_character,2/9,2/9,True
2,9,sign_character,-2/9,-2/9,True
2,9,regular_whole_extension,0,0,True
2,10,trivial_character,1/5,1/5,True
