control_kind,family,vertex_count,group_order,cycles_checked,nonidentity_periodic_holonomies,gauge_edge_mismatches,c2_exact_determinant_gauge_match,periodic_witness
vertex_coboundary,identity,2,2,126,0,0,True,
vertex_coboundary,affine,2,2,126,0,0,True,
vertex_coboundary,quadratic,2,2,126,0,0,True,
noncoboundary_negative_control,constant_one,2,2,2,2,not_applicable,not_applicable,"(0,)"
vertex_coboundary,identity,2,3,126,0,0,not_applicable_nonreal_character,
vertex_coboundary,affine,2,3,126,0,0,not_applicable_nonreal_character,
vertex_coboundary,quadratic,2,3,126,0,0,not_applicable_nonreal_character,
noncoboundary_negative_control,constant_one,2,3,2,2,not_applicable,not_applicable,"(0,)"
vertex_coboundary,identity,2,4,126,0,0,not_applicable_nonreal_character,
vertex_coboundary,affine,2,4,126,0,0,not_applicable_nonreal_character,
vertex_coboundary,quadratic,2,4,126,0,0,not_applicable_nonreal_character,
noncoboundary_negative_control,constant_one,2,4,2,2,not_applicable,not_applicable,"(0,)"
vertex_coboundary,identity,2,5,126,0,0,not_applicable_nonreal_character,
vertex_coboundary,affine,2,5,126,0,0,not_applicable_nonreal_character,
vertex_coboundary,quadratic,2,5,126,0,0,not_applicable_nonreal_character,
noncoboundary_negative_control,constant_one,2,5,2,2,not_applicable,not_applicable,"(0,)"
vertex_coboundary,identity,2,6,126,0,0,not_applicable_nonreal_character,
vertex_coboundary,affine,2,6,126,0,0,not_applicable_nonreal_character,
vertex_coboundary,quadratic,2,6,126,0,0,not_applicable_nonreal_character,
noncoboundary_negative_control,constant_one,2,6,2,2,not_applicable,not_applicable,"(0,)"
vertex_coboundary,identity,2,7,126,0,0,not_applicable_nonreal_character,
vertex_coboundary,affine,2,7,126,0,0,not_applicable_nonreal_character,
vertex_coboundary,quadratic,2,7,126,0,0,not_applicable_nonreal_character,
noncoboundary_negative_control,constant_one,2,7,2,2,not_applicable,not_applicable,"(0,)"
vertex_coboundary,identity,2,8,126,0,0,not_applicable_nonreal_character,
vertex_coboundary,affine,2,8,126,0,0,not_applicable_nonreal_character,
vertex_coboundary,quadratic,2,8,126,0,0,not_applicable_nonreal_character,
noncoboundary_negative_control,constant_one,2,8,2,2,not_applicable,not_applicable,"(0,)"
vertex_coboundary,identity,3,2,1092,0,0,True,
vertex_coboundary,affine,3,2,1092,0,0,True,
vertex_coboundary,quadratic,3,2,1092,0,0,True,
noncoboundary_negative_control,constant_one,3,2,3,3,not_applicable,not_applicable,"(0,)"
vertex_coboundary,identity,3,3,1092,0,0,not_applicable_nonreal_character,
vertex_coboundary,affine,3,3,1092,0,0,not_applicable_nonreal_character,
vertex_coboundary,quadratic,3,3,1092,0,0,not_applicable_nonreal_character,
noncoboundary_negative_control,constant_one,3,3,3,3,not_applicable,not_applicable,"(0,)"
vertex_coboundary,identity,3,4,1092,0,0,not_applicable_nonreal_character,
vertex_coboundary,affine,3,4,1092,0,0,not_applicable_nonreal_character,
vertex_coboundary,quadratic,3,4,1092,0,0,not_applicable_nonreal_character,
noncoboundary_negative_control,constant_one,3,4,3,3,not_applicable,not_applicable,"(0,)"
vertex_coboundary,identity,3,5,1092,0,0,not_applicable_nonreal_character,
vertex_coboundary,affine,3,5,1092,0,0,not_applicable_nonreal_character,
vertex_coboundary,quadratic,3,5,1092,0,0,not_applicable_nonreal_character,
noncoboundary_negative_control,constant_one,3,5,3,3,not_applicable,not_applicable,"(0,)"
vertex_coboundary,identity,3,6,1092,0,0,not_applicable_nonreal_character,
vertex_coboundary,affine,3,6,1092,0,0,not_applicable_nonreal_character,
vertex_coboundary,quadratic,3,6,1092,0,0,not_applicable_nonreal_character,
noncoboundary_negative_control,constant_one,3,6,3,3,not_applicable,not_applicable,"(0,)"
vertex_coboundary,identity,3,7,1092,0,0,not_applicable_nonreal_character,
vertex_coboundary,affine,3,7,1092,0,0,not_applicable_nonreal_character,
vertex_coboundary,quadratic,3,7,1092,0,0,not_applicable_nonreal_character,
noncoboundary_negative_control,constant_one,3,7,3,3,not_applicable,not_applicable,"(0,)"
vertex_coboundary,identity,3,8,1092,0,0,not_applicable_nonreal_character,
vertex_coboundary,affine,3,8,1092,0,0,not_applicable_nonreal_character,
vertex_coboundary,quadratic,3,8,1092,0,0,not_applicable_nonreal_character,
noncoboundary_negative_control,constant_one,3,8,3,3,not_applicable,not_applicable,"(0,)"
vertex_coboundary,identity,4,2,5460,0,0,True,
vertex_coboundary,affine,4,2,5460,0,0,True,
