max_degree,group_order,tables_enumerated,expected_tables,operator_coefficient_clean_tables,expected_unique_power_table,unique_power_table_confirmed,nontrivial_character_clean_counts_json,first_regular_leakage_histogram_json
2,2,2,2,1,1,True,"{""1"": 1}","{""2"": 1, ""none"": 1}"
2,3,3,3,1,1,True,"{""1"": 1, ""2"": 1}","{""2"": 2, ""none"": 1}"
2,4,4,4,1,1,True,"{""1"": 1, ""2"": 2, ""3"": 1}","{""2"": 3, ""none"": 1}"
2,5,5,5,1,1,True,"{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1}","{""2"": 4, ""none"": 1}"
2,6,6,6,1,1,True,"{""1"": 1, ""2"": 2, ""3"": 3, ""4"": 2, ""5"": 1}","{""2"": 5, ""none"": 1}"
2,7,7,7,1,1,True,"{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1}","{""2"": 6, ""none"": 1}"
2,8,8,8,1,1,True,"{""1"": 1, ""2"": 2, ""3"": 1, ""4"": 4, ""5"": 1, ""6"": 2, ""7"": 1}","{""2"": 7, ""none"": 1}"
3,2,4,4,1,1,True,"{""1"": 1}","{""2"": 2, ""3"": 1, ""none"": 1}"
3,3,9,9,1,1,True,"{""1"": 1, ""2"": 1}","{""2"": 6, ""3"": 2, ""none"": 1}"
3,4,16,16,1,1,True,"{""1"": 1, ""2"": 4, ""3"": 1}","{""2"": 12, ""3"": 3, ""none"": 1}"
3,5,25,25,1,1,True,"{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1}","{""2"": 20, ""3"": 4, ""none"": 1}"
3,6,36,36,1,1,True,"{""1"": 1, ""2"": 4, ""3"": 9, ""4"": 4, ""5"": 1}","{""2"": 30, ""3"": 5, ""none"": 1}"
3,7,49,49,1,1,True,"{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1}","{""2"": 42, ""3"": 6, ""none"": 1}"
3,8,64,64,1,1,True,"{""1"": 1, ""2"": 4, ""3"": 1, ""4"": 16, ""5"": 1, ""6"": 4, ""7"": 1}","{""2"": 56, ""3"": 7, ""none"": 1}"
4,2,8,8,1,1,True,"{""1"": 1}","{""2"": 4, ""3"": 2, ""4"": 1, ""none"": 1}"
4,3,27,27,1,1,True,"{""1"": 1, ""2"": 1}","{""2"": 18, ""3"": 6, ""4"": 2, ""none"": 1}"
4,4,64,64,1,1,True,"{""1"": 1, ""2"": 8, ""3"": 1}","{""2"": 48, ""3"": 12, ""4"": 3, ""none"": 1}"
4,5,125,125,1,1,True,"{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1}","{""2"": 100, ""3"": 20, ""4"": 4, ""none"": 1}"
4,6,216,216,1,1,True,"{""1"": 1, ""2"": 8, ""3"": 27, ""4"": 8, ""5"": 1}","{""2"": 180, ""3"": 30, ""4"": 5, ""none"": 1}"
4,7,343,343,1,1,True,"{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1}","{""2"": 294, ""3"": 42, ""4"": 6, ""none"": 1}"
4,8,512,512,1,1,True,"{""1"": 1, ""2"": 8, ""3"": 1, ""4"": 64, ""5"": 1, ""6"": 8, ""7"": 1}","{""2"": 448, ""3"": 56, ""4"": 7, ""none"": 1}"
5,2,16,16,1,1,True,"{""1"": 1}","{""2"": 8, ""3"": 4, ""4"": 2, ""5"": 1, ""none"": 1}"
5,3,81,81,1,1,True,"{""1"": 1, ""2"": 1}","{""2"": 54, ""3"": 18, ""4"": 6, ""5"": 2, ""none"": 1}"
5,4,256,256,1,1,True,"{""1"": 1, ""2"": 16, ""3"": 1}","{""2"": 192, ""3"": 48, ""4"": 12, ""5"": 3, ""none"": 1}"
5,5,625,625,1,1,True,"{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1}","{""2"": 500, ""3"": 100, ""4"": 20, ""5"": 4, ""none"": 1}"
5,6,1296,1296,1,1,True,"{""1"": 1, ""2"": 16, ""3"": 81, ""4"": 16, ""5"": 1}","{""2"": 1080, ""3"": 180, ""4"": 30, ""5"": 5, ""none"": 1}"
5,7,2401,2401,1,1,True,"{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1}","{""2"": 2058, ""3"": 294, ""4"": 42, ""5"": 6, ""none"": 1}"
5,8,4096,4096,1,1,True,"{""1"": 1, ""2"": 16, ""3"": 1, ""4"": 256, ""5"": 1, ""6"": 16, ""7"": 1}","{""2"": 3584, ""3"": 448, ""4"": 56, ""5"": 7, ""none"": 1}"
6,2,32,32,1,1,True,"{""1"": 1}","{""2"": 16, ""3"": 8, ""4"": 4, ""5"": 2, ""6"": 1, ""none"": 1}"
6,3,243,243,1,1,True,"{""1"": 1, ""2"": 1}","{""2"": 162, ""3"": 54, ""4"": 18, ""5"": 6, ""6"": 2, ""none"": 1}"
6,4,1024,1024,1,1,True,"{""1"": 1, ""2"": 32, ""3"": 1}","{""2"": 768, ""3"": 192, ""4"": 48, ""5"": 12, ""6"": 3, ""none"": 1}"
