n_atoms,base_word_length,group_order,base_primitive_necklaces,mixed_base_primitive_necklaces,base_necklaces_closing_after_one_traversal,mixed_members_closing_after_one_traversal,lifted_primitive_cycles_total,base_necklace_q_distribution_json,degree_distribution_sha256
1,6,6,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,6,7,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,6,8,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,7,2,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,7,3,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,7,4,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,7,5,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,7,6,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,7,7,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,7,8,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,8,2,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,8,3,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,8,4,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,8,5,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,8,6,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,8,7,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,8,8,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,9,2,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,9,3,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,9,4,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,9,5,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,9,6,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,9,7,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
1,9,8,0,0,0,0,0,{},4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
