control,coboundary,periodic_witness,nearest_atom_local_baseline,first_leak,exact_atom_local
vertex_coboundary_degree,True,,D_plus,,True
diagonal_return,False,"(1,)",D_minus,"coeff=-2;exponents=(1, 1)",False
incidence_intersection_parity,False,"(1,)",D_minus,"coeff=2;exponents=(1, 2)",False
strict_symbol_change,False,"(1, 2, 3)",D_plus,"coeff=-4;exponents=(2, 2)",False
