control,alphabet,transition_dependent,is_vertex_coboundary,first_nontrivial_periodic_holonomy,sign_block_determinant,delta_from_D_plus,delta_from_D_minus,equals_trivial_atom_local_factor,equals_parity_sign_atom_local_factor,nearest_atom_local_baseline,first_leak_vs_nearest_atom_local
vertex_coboundary_degree,"{p},{q},{p,q}",True,True,,x*y - x - y + 1,0,-2*x - 2*y,True,False,D_plus,
diagonal_return,"{p},{q},{p,q}",True,False,"(1,)",4*x**2*y**2 - x*y + x + y + 1,4*x**2*y**2 - 2*x*y + 2*x + 2*y,4*x**2*y**2 - 2*x*y,False,False,D_minus,"coeff=-2;exponents=(1, 1)"
incidence_intersection_parity,"{p},{q},{p,q}",True,False,"(1,)",4*x**2*y**2 + 2*x**2*y + 2*x*y**2 + x*y + x + y + 1,4*x**2*y**2 + 2*x**2*y + 2*x*y**2 + 2*x + 2*y,4*x**2*y**2 + 2*x**2*y + 2*x*y**2,False,False,D_minus,"coeff=2;exponents=(1, 2)"
strict_symbol_change,"{p},{q},{p,q}",True,False,"(1, 2, 3)",-4*x**2*y**2 + x*y - x - y + 1,-4*x**2*y**2,-4*x**2*y**2 - 2*x - 2*y,False,False,D_plus,"coeff=-4;exponents=(2, 2)"
