n_atoms,fiber_adjacency,odd_fiber_changing_edges,even_fiber_preserving_edges,topologically_transitive,mixing,period
1,"[[0,1],[1,0]]",1,0,True,False,2
2,"[[1,2],[2,1]]",2,1,True,True,1
3,"[[3,4],[4,3]]",4,3,True,True,1
4,"[[7,8],[8,7]]",8,7,True,True,1
5,"[[15,16],[16,15]]",16,15,True,True,1
6,"[[31,32],[32,31]]",32,31,True,True,1
7,"[[63,64],[64,63]]",64,63,True,True,1
8,"[[127,128],[128,127]]",128,127,True,True,1
9,"[[255,256],[256,255]]",256,255,True,True,1
10,"[[511,512],[512,511]]",512,511,True,True,1
