group_order,det_I_minus_x_regular_generator,expected,exact_match
2,1 - x**2,1 - x**2,True
3,1 - x**3,1 - x**3,True
4,1 - x**4,1 - x**4,True
5,1 - x**5,1 - x**5,True
6,1 - x**6,1 - x**6,True
7,1 - x**7,1 - x**7,True
8,1 - x**8,1 - x**8,True
