a,angular_momentum_range_scaled,centered,completed_natural_time,completed_steps,dt,energy,ftle_natural,ftle_physical,initial_energy,initial_p0,initial_p1,initial_potential_fraction,initial_q0,initial_q1,max_relative_energy_drift,n,natural_time_scale,p_scale,poincare_crossings,poincare_occupancy_24,q_scale,radial_fraction,renormalizations_per_natural_time,resolution,sali,seed_index,sobol_0,sobol_1,sobol_2,status,steps_per_natural_time,total_natural_time,u_radius_fraction
0.0,4.672595157042914e-14,True,80.0,163840,8.122647927415634e-05,100.0,0.009183540707682939,0.05520552874190649,100.0,-12.779257273376446,1.5650076515320998e-15,0.1834529177042759,7.152060364832555e-17,0.5840100484329113,2.2818795343937382e-07,1,0.1663518295534722,14.142135623730951,32,0.026041666666666668,1.0,0.88,8,primary,0.9769587893652808,0,0.5,0.5,0.5,ok,2048,80.0,0.622253967444162
0.0,2.198129442157285e-14,True,80.0,327680,4.061323963707817e-05,100.0,0.009183264977491334,0.05520387122967868,100.0,-12.779257273376446,1.5650076515320998e-15,0.1834529177042759,7.152060364832555e-17,0.5840100484329113,5.7046999870635776e-08,1,0.1663518295534722,14.142135623730951,32,0.026041666666666668,1.0,0.88,8,refined,0.976985911429067,0,0.5,0.5,0.5,ok,4096,80.0,0.622253967444162
0.0,3.2281100950538415e-14,True,80.0,163840,8.122647927415634e-05,100.0,0.05984982493414513,0.35977857950102665,100.0,7.175057430995865e-16,11.717758027851655,0.3134707340035905,0.7152633116593615,-4.379724625855864e-17,3.983003580287914e-08,1,0.1663518295534722,14.142135623730951,33,0.006944444444444444,1.0,0.88,8,primary,0.037885291315183714,1,0.75,0.25,0.25,ok,2048,80.0,0.762102355330306
0.0,4.119922611586226e-14,True,80.0,327680,4.061323963707817e-05,100.0,0.059849886395892615,0.3597789489694458,100.0,7.175057430995865e-16,11.717758027851655,0.3134707340035905,0.7152633116593615,-4.379724625855864e-17,9.957517335124066e-09,1,0.1663518295534722,14.142135623730951,33,0.006944444444444444,1.0,0.88,8,refined,0.03788612881994247,1,0.75,0.25,0.25,ok,4096,80.0,0.762102355330306
0.0,1.513569130171159e-14,True,80.0,163840,8.122647927415634e-05,100.0,0.05634718419053505,0.3387229604975447,100.0,-2.4544528556552738e-15,-13.361419022280055,0.10736240855526351,-0.41295746552799556,7.585905575142948e-17,5.44111319698004e-07,1,0.1663518295534722,14.142135623730951,34,0.034722222222222224,1.0,0.88,8,primary,1.3700149222369782,2,0.25,0.75,0.75,ok,2048,80.0,0.44
0.0,2.2044098119920203e-14,True,80.0,163840,8.122647927415634e-05,100.0,0.05404325137177368,0.3248732010753269,100.00000000000001,-9.271773024187802,-9.271773024187798,0.14034224987943436,0.35763165582968076,0.3576316558296807,1.1678386694313757e-06,1,0.1663518295534722,14.142135623730951,39,0.003472222222222222,1.0,0.88,8,primary,0.84744545513592,3,0.375,0.375,0.625,ok,2048,80.0,0.5388877434122992
0.0,1.5889335681879804e-14,True,80.0,163840,8.122647927415634e-05,100.0,0.05982400831445317,0.359623386620003,99.99999999999999,7.682685575575539,7.6826855755755386,0.40976342346843536,-0.5462913779173025,-0.5462913779173022,1.6409899509994832e-06,1,0.1663518295534722,14.142135623730951,39,0.003472222222222222,1.0,0.88,8,primary,0.12744019582644217,4,0.875,0.875,0.125,ok,2048,80.0,0.8231646250902671
0.0,3.089941958689669e-14,True,80.0,163840,8.122647927415634e-05,100.0,0.06155457174241116,0.3700264187513792,99.99999999999999,8.718908053573239,-8.718908053573243,0.23980642353335668,0.461700482368312,-0.4617004823683121,1.3926188702839683e-06,1,0.1663518295534722,14.142135623730951,39,0.003472222222222222,1.0,0.88,8,primary,0.2902532938334324,5,0.625,0.125,0.875,ok,2048,80.0,0.6957010852370434
0.0,1.4915878357495864e-14,True,80.0,163840,8.122647927415634e-05,100.0,0.05519540504665594,0.33179920650595496,100.0,-9.580539171120174,9.580539171120174,0.08213269190631972,-0.20647873276399778,0.20647873276399786,1.034688187928623e-06,1,0.1663518295534722,14.142135623730951,39,0.003472222222222222,1.0,0.88,8,primary,1.152807950226669,6,0.125,0.625,0.375,ok,2048,80.0,0.311126983722081
0.0,1.8056063274863414e-14,True,80.0,163840,8.122647927415634e-05,100.0,0.046239426468843776,0.2779616346448451,100.00000000000001,12.437051918024753,-5.1515955803841775,0.09390401282261522,0.3304085669991629,0.13685970957531268,8.475006623598345e-07,1,0.1663518295534722,14.142135623730951,35,0.026041666666666668,1.0,0.88,8,primary,0.8371700644873986,7,0.1875,0.3125,0.9375,ok,2048,80.0,0.381051177665153
