r,columns,image_norm_squared_each,pairwise_image_inner_products,partial_hilbert_schmidt_mass
1,1,1,0,1
1,2,1,0,2
1,4,1,0,4
1,8,1,0,8
1,16,1,0,16
1,32,1,0,32
2,1,2,0,2
2,2,2,0,4
2,4,2,0,8
2,8,2,0,16
2,16,2,0,32
2,32,2,0,64
4,1,4,0,4
4,2,4,0,8
4,4,4,0,16
4,8,4,0,32
4,16,4,0,64
4,32,4,0,128
5,1,5,0,5
5,2,5,0,10
5,4,5,0,20
5,8,5,0,40
5,16,5,0,80
5,32,5,0,160
6,1,6,0,6
6,2,6,0,12
6,4,6,0,24
6,8,6,0,48
6,16,6,0,96
6,32,6,0,192
