schema_version,row_id,row_family,case_kind,group_token,object_x,h,object_y,k,sheet_a,subject_composable,subject_value,oracle_value,detected,negative_reason,oracle,status
paper17-open-groupoid-controls/1,GH-0001,ARROW,DIAGNOSTIC,D3,x00,d00,,,,,source=x00;range=x00,source=x00;range=x00,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0002,ARROW,DIAGNOSTIC,D3,x00,d10,,,,,source=x10;range=x00,source=x10;range=x00,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0003,ARROW,DIAGNOSTIC,D3,x00,d20,,,,,source=x20;range=x00,source=x20;range=x00,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0004,ARROW,DIAGNOSTIC,D3,x00,d01,,,,,source=x01;range=x00,source=x01;range=x00,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0005,ARROW,DIAGNOSTIC,D3,x00,d11,,,,,source=x11;range=x00,source=x11;range=x00,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0006,ARROW,DIAGNOSTIC,D3,x00,d21,,,,,source=x21;range=x00,source=x21;range=x00,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0007,ARROW,DIAGNOSTIC,D3,x10,d00,,,,,source=x10;range=x10,source=x10;range=x10,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0008,ARROW,DIAGNOSTIC,D3,x10,d10,,,,,source=x20;range=x10,source=x20;range=x10,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0009,ARROW,DIAGNOSTIC,D3,x10,d20,,,,,source=x00;range=x10,source=x00;range=x10,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0010,ARROW,DIAGNOSTIC,D3,x10,d01,,,,,source=x11;range=x10,source=x11;range=x10,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0011,ARROW,DIAGNOSTIC,D3,x10,d11,,,,,source=x21;range=x10,source=x21;range=x10,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0012,ARROW,DIAGNOSTIC,D3,x10,d21,,,,,source=x01;range=x10,source=x01;range=x10,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0013,ARROW,DIAGNOSTIC,D3,x20,d00,,,,,source=x20;range=x20,source=x20;range=x20,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0014,ARROW,DIAGNOSTIC,D3,x20,d10,,,,,source=x00;range=x20,source=x00;range=x20,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0015,ARROW,DIAGNOSTIC,D3,x20,d20,,,,,source=x10;range=x20,source=x10;range=x20,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0016,ARROW,DIAGNOSTIC,D3,x20,d01,,,,,source=x21;range=x20,source=x21;range=x20,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0017,ARROW,DIAGNOSTIC,D3,x20,d11,,,,,source=x01;range=x20,source=x01;range=x20,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0018,ARROW,DIAGNOSTIC,D3,x20,d21,,,,,source=x11;range=x20,source=x11;range=x20,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0019,ARROW,DIAGNOSTIC,D3,x01,d00,,,,,source=x01;range=x01,source=x01;range=x01,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0020,ARROW,DIAGNOSTIC,D3,x01,d10,,,,,source=x21;range=x01,source=x21;range=x01,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0021,ARROW,DIAGNOSTIC,D3,x01,d20,,,,,source=x11;range=x01,source=x11;range=x01,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0022,ARROW,DIAGNOSTIC,D3,x01,d01,,,,,source=x00;range=x01,source=x00;range=x01,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0023,ARROW,DIAGNOSTIC,D3,x01,d11,,,,,source=x20;range=x01,source=x20;range=x01,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0024,ARROW,DIAGNOSTIC,D3,x01,d21,,,,,source=x10;range=x01,source=x10;range=x01,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0025,ARROW,DIAGNOSTIC,D3,x11,d00,,,,,source=x11;range=x11,source=x11;range=x11,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0026,ARROW,DIAGNOSTIC,D3,x11,d10,,,,,source=x01;range=x11,source=x01;range=x11,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0027,ARROW,DIAGNOSTIC,D3,x11,d20,,,,,source=x21;range=x11,source=x21;range=x11,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0028,ARROW,DIAGNOSTIC,D3,x11,d01,,,,,source=x10;range=x11,source=x10;range=x11,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0029,ARROW,DIAGNOSTIC,D3,x11,d11,,,,,source=x00;range=x11,source=x00;range=x11,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0030,ARROW,DIAGNOSTIC,D3,x11,d21,,,,,source=x20;range=x11,source=x20;range=x11,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0031,ARROW,DIAGNOSTIC,D3,x21,d00,,,,,source=x21;range=x21,source=x21;range=x21,,,D3_RELATION_AND_LEFT_ACTION,PASS
paper17-open-groupoid-controls/1,GH-0032,ARROW,DIAGNOSTIC,D3,x21,d10,,,,,source=x11;range=x21,source=x11;range=x21,,,D3_RELATION_AND_LEFT_ACTION,PASS
