schema_version,row_id,row_family,case_kind,L,L_prime,scale_c,r,t,u,claim_token,subject_value,oracle_value,inverse_value,scope_token,detected,negative_reason,oracle,status
paper17-open-groupoid-controls/1,DM-0001,SYMBOLIC_RECEIPT,RECEIPT,,,,,,,UNMARKED_DILATION_ALGEBRA_ONLY,UNMARKED_DILATION_ALGEBRA_ONLY,UNMARKED_DILATION_ALGEBRA_ONLY,,SYMBOLIC_SOURCE_RECEIPT_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0002,SYMBOLIC_RECEIPT,RECEIPT,,,,,,,STRICT_MARKER_EXTRA_STRUCTURE,STRICT_MARKER_EXTRA_STRUCTURE,STRICT_MARKER_EXTRA_STRUCTURE,,SYMBOLIC_SOURCE_RECEIPT_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0003,OBJECT_MAP,DIAGNOSTIC,2/1,3/1,3/2,0/1,,,,q(0/1mod3/1),q(0/1mod3/1),q(0/1mod2/1),ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0004,OBJECT_MAP,DIAGNOSTIC,2/1,3/1,3/2,1/2,,,,q(3/4mod3/1),q(3/4mod3/1),q(1/2mod2/1),ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0005,OBJECT_MAP,DIAGNOSTIC,2/1,3/1,3/2,1/1,,,,q(3/2mod3/1),q(3/2mod3/1),q(1/1mod2/1),ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0006,OBJECT_MAP,DIAGNOSTIC,2/1,3/1,3/2,3/2,,,,q(9/4mod3/1),q(9/4mod3/1),q(3/2mod2/1),ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0007,ARROW_MAP,DIAGNOSTIC,2/1,3/1,3/2,0/1,-1/1,,,g(q(0/1mod3/1);-3/2),g(q(0/1mod3/1);-3/2),g(q(0/1mod2/1);-1/1),ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0008,ARROW_MAP,DIAGNOSTIC,2/1,3/1,3/2,0/1,0/1,,,g(q(0/1mod3/1);0/1),g(q(0/1mod3/1);0/1),g(q(0/1mod2/1);0/1),ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0009,ARROW_MAP,DIAGNOSTIC,2/1,3/1,3/2,0/1,1/1,,,g(q(0/1mod3/1);3/2),g(q(0/1mod3/1);3/2),g(q(0/1mod2/1);1/1),ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0010,ARROW_MAP,DIAGNOSTIC,2/1,3/1,3/2,0/1,2/1,,,g(q(0/1mod3/1);3/1),g(q(0/1mod3/1);3/1),g(q(0/1mod2/1);2/1),ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0011,ARROW_MAP,DIAGNOSTIC,2/1,3/1,3/2,1/2,-1/1,,,g(q(3/4mod3/1);-3/2),g(q(3/4mod3/1);-3/2),g(q(1/2mod2/1);-1/1),ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0012,ARROW_MAP,DIAGNOSTIC,2/1,3/1,3/2,1/2,0/1,,,g(q(3/4mod3/1);0/1),g(q(3/4mod3/1);0/1),g(q(1/2mod2/1);0/1),ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0013,ARROW_MAP,DIAGNOSTIC,2/1,3/1,3/2,1/2,1/1,,,g(q(3/4mod3/1);3/2),g(q(3/4mod3/1);3/2),g(q(1/2mod2/1);1/1),ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
