atom_cutoff,atom_count,point,sigma,t,ratio_real,ratio_imag,ratio_abs,ratio_phase,reflection_product_residual,critical_modulus_residual,phase_drift_from_previous_cutoff
31,11,quarter_plus_0p75i,0.25,0.75,0.11619240648133905,-0.18049127657986866,0.2146573461248307,-0.9988228409286511,3.554447978966673e-16,,
31,11,third_plus_2i,0.3333333333333333,2.0,1.8797959016745691,-0.2996942048518199,1.9035359855737612,-0.1580985816056608,9.32603861714756e-16,,
31,11,critical_0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,
31,11,critical_1,0.5,1.0,0.10514542541710445,0.994456856537204,1.0000000000000004,1.4654561908601353,8.881784197001252e-16,4.440892098500626e-16,
31,11,critical_7,0.5,7.0,0.4328842895985596,0.9014494948796352,0.9999999999999996,1.1231063856410508,8.881784197001252e-16,4.440892098500626e-16,
31,11,two_thirds_plus_2i,0.6666666666666666,2.0,0.5187863201114173,-0.08270964606066518,0.5253381115874104,-0.15809858160566045,5.4672143489065705e-16,,
31,11,three_quarters_plus_0p75i,0.75,0.75,2.521658290596246,-3.917100417754257,4.6585873628497465,-0.9988228409286508,3.554447978966673e-16,,
127,31,quarter_plus_0p75i,0.25,0.75,0.0011601867789956045,-0.0009531390019796779,0.0015015016880613262,-0.6877373525026602,1.2412670766236366e-16,,0.31108548842599093
127,31,third_plus_2i,0.3333333333333333,2.0,-0.2763706829081676,0.1462872351422667,0.31269907185135,2.6547687596485092,4.002966042486721e-16,,2.81286734125417
127,31,critical_0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
127,31,critical_1,0.5,1.0,0.4654942813973728,-0.8850508877947882,0.9999999999999997,-1.0866033196043552,6.661338147750939e-16,3.3306690738754696e-16,-2.5520595104644905
127,31,critical_7,0.5,7.0,0.991282409380389,0.13175425933536,0.9999999999999992,0.13213845928741166,1.5543122344752192e-15,7.771561172376096e-16,-0.9909679263536392
127,31,two_thirds_plus_2i,0.6666666666666666,2.0,-2.8264336004275927,1.4960745921706264,3.1979628019982647,2.6547687596485097,7.216449660063518e-16,,2.81286734125417
127,31,three_quarters_plus_0p75i,0.75,0.75,514.6076790653486,-422.77041810462066,665.9999172502806,-0.6877373525026603,1.2412670766236366e-16,,0.3110854884259905
257,55,quarter_plus_0p75i,0.25,0.75,-2.348328349140283e-05,-6.443014191166569e-06,2.4351119797766313e-05,-2.873815977468451,7.850462293418876e-16,,-2.186078624965791
257,55,third_plus_2i,0.3333333333333333,2.0,0.05626945559755388,0.0005950803107649151,0.05627260215967756,0.010575153445189474,1.6313052166662746e-15,,-2.6441936062033196
257,55,critical_0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
257,55,critical_1,0.5,1.0,-0.4334929650704052,0.9011569503890362,0.9999999999999997,2.019161596110705,6.661338147750939e-16,3.3306690738754696e-16,3.10576491571506
257,55,critical_7,0.5,7.0,0.5984345071143546,0.801171729839988,0.9999999999999997,0.9292506514602927,6.661338147750939e-16,3.3306690738754696e-16,0.7971121921728811
257,55,two_thirds_plus_2i,0.6666666666666666,2.0,17.769643578032994,0.18792371296830623,17.770637248343824,0.01057515344518939,7.439860719680374e-16,,-2.6441936062033204
257,55,three_quarters_plus_0p75i,0.75,0.75,-39602.3489768997,-10865.537460087657,41065.87328652244,-2.873815977468451,7.850462293418876e-16,,-2.186078624965791
509,97,quarter_plus_0p75i,0.25,0.75,1.0535634689751585e-06,-2.289401005842028e-07,1.0781509879485688e-06,-0.2139741855215801,5.900916318210353e-16,,2.659841791946871
509,97,third_plus_2i,0.3333333333333333,2.0,-0.6751825624460955,-1.7633956201787402,1.8882361096793059,-1.9364642794337605,2.7012892057857038e-15,,-1.94703943287895
509,97,critical_0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
509,97,critical_1,0.5,1.0,-0.8891051141007139,-0.4577030654037141,1.0,-2.6661826011118546,0.0,0.0,1.5978411099570275
509,97,critical_7,0.5,7.0,-0.20070415623754187,0.979651898211286,0.9999999999999997,1.7728729768199738,5.551115123125783e-16,3.3306690738754696e-16,0.8436223253596811
509,97,two_thirds_plus_2i,0.6666666666666666,2.0,-0.18936888421976283,-0.4945806950663413,0.5295947868351266,-1.9364642794337619,4.965068306494546e-16,,-1.9470394328789513
509,97,three_quarters_plus_0p75i,0.75,0.75,906361.6746990997,-196953.04467335457,927513.8743811119,-0.2139741855215805,5.900916318210353e-16,,2.6598417919468704
