n,mu,euler,homology_supertrace,boundary_squared_zero,betti_matches_sphere_or_acyclic,simplex_count_including_empty,boundary_incidence_count,max_chain_dimension,chain_dimensions,boundary_ranks_gf2,betti_gf2
168,0,0,0,True,True,132,340,3,"{""-1"": 1, ""0"": 14, ""1"": 45, ""2"": 52, ""3"": 20}","{""0"": 1, ""1"": 13, ""2"": 32, ""3"": 20}",{}
169,0,0,0,True,True,2,1,0,"{""-1"": 1, ""0"": 1}","{""0"": 1}",{}
170,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
171,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
172,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
173,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
174,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
175,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
176,0,0,0,True,True,48,112,3,"{""-1"": 1, ""0"": 8, ""1"": 18, ""2"": 16, ""3"": 5}","{""0"": 1, ""1"": 7, ""2"": 11, ""3"": 5}",{}
177,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
178,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
179,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
180,0,0,0,True,True,176,466,3,"{""-1"": 1, ""0"": 16, ""1"": 57, ""2"": 72, ""3"": 30}","{""0"": 1, ""1"": 15, ""2"": 42, ""3"": 30}",{}
181,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
182,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
183,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
184,0,0,0,True,True,20,36,2,"{""-1"": 1, ""0"": 6, ""1"": 9, ""2"": 4}","{""0"": 1, ""1"": 5, ""2"": 4}",{}
185,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
186,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
187,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
188,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
189,0,0,0,True,True,20,36,2,"{""-1"": 1, ""0"": 6, ""1"": 9, ""2"": 4}","{""0"": 1, ""1"": 5, ""2"": 4}",{}
190,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
191,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
192,0,0,0,True,True,256,864,5,"{""-1"": 1, ""0"": 12, ""1"": 45, ""2"": 80, ""3"": 75, ""4"": 36, ""5"": 7}","{""0"": 1, ""1"": 11, ""2"": 34, ""3"": 46, ""4"": 29, ""5"": 7}",{}
193,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
194,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
195,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
196,0,0,0,True,True,26,49,2,"{""-1"": 1, ""0"": 7, ""1"": 12, ""2"": 6}","{""0"": 1, ""1"": 6, ""2"": 6}",{}
197,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
198,0,0,0,True,True,44,88,2,"{""-1"": 1, ""0"": 10, ""1"": 21, ""2"": 12}","{""0"": 1, ""1"": 9, ""2"": 12}",{}
199,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
200,0,0,0,True,True,76,188,3,"{""-1"": 1, ""0"": 10, ""1"": 27, ""2"": 28, ""3"": 10}","{""0"": 1, ""1"": 9, ""2"": 18, ""3"": 10}",{}
201,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
202,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
203,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
204,0,0,0,True,True,44,88,2,"{""-1"": 1, ""0"": 10, ""1"": 21, ""2"": 12}","{""0"": 1, ""1"": 9, ""2"": 12}",{}
205,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
206,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
207,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
208,0,0,0,True,True,48,112,3,"{""-1"": 1, ""0"": 8, ""1"": 18, ""2"": 16, ""3"": 5}","{""0"": 1, ""1"": 7, ""2"": 11, ""3"": 5}",{}
209,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
210,1,1,1,True,True,75,158,2,"{""-1"": 1, ""0"": 14, ""1"": 36, ""2"": 24}","{""0"": 1, ""1"": 13, ""2"": 23}","{""2"": 1}"
211,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
212,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
213,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
214,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
215,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
216,0,0,0,True,True,252,780,4,"{""-1"": 1, ""0"": 14, ""1"": 55, ""2"": 92, ""3"": 70, ""4"": 20}","{""0"": 1, ""1"": 13, ""2"": 42, ""3"": 50, ""4"": 20}",{}
217,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
218,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
219,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
220,0,0,0,True,True,44,88,2,"{""-1"": 1, ""0"": 10, ""1"": 21, ""2"": 12}","{""0"": 1, ""1"": 9, ""2"": 12}",{}
221,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
222,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
223,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
224,0,0,0,True,True,112,320,4,"{""-1"": 1, ""0"": 10, ""1"": 30, ""2"": 40, ""3"": 25, ""4"": 6}","{""0"": 1, ""1"": 9, ""2"": 21, ""3"": 19, ""4"": 6}",{}
225,0,0,0,True,True,26,49,2,"{""-1"": 1, ""0"": 7, ""1"": 12, ""2"": 6}","{""0"": 1, ""1"": 6, ""2"": 6}",{}
226,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
227,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
228,0,0,0,True,True,44,88,2,"{""-1"": 1, ""0"": 10, ""1"": 21, ""2"": 12}","{""0"": 1, ""1"": 9, ""2"": 12}",{}
229,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
230,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
231,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
232,0,0,0,True,True,20,36,2,"{""-1"": 1, ""0"": 6, ""1"": 9, ""2"": 4}","{""0"": 1, ""1"": 5, ""2"": 4}",{}
233,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
234,0,0,0,True,True,44,88,2,"{""-1"": 1, ""0"": 10, ""1"": 21, ""2"": 12}","{""0"": 1, ""1"": 9, ""2"": 12}",{}
235,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
236,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
237,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
238,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
239,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
240,0,0,0,True,True,368,1152,4,"{""-1"": 1, ""0"": 18, ""1"": 78, ""2"": 136, ""3"": 105, ""4"": 30}","{""0"": 1, ""1"": 17, ""2"": 61, ""3"": 75, ""4"": 30}",{}
241,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
242,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
243,0,0,0,True,True,16,32,3,"{""-1"": 1, ""0"": 4, ""1"": 6, ""2"": 4, ""3"": 1}","{""0"": 1, ""1"": 3, ""2"": 3, ""3"": 1}",{}
244,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
245,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
246,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
247,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
248,0,0,0,True,True,20,36,2,"{""-1"": 1, ""0"": 6, ""1"": 9, ""2"": 4}","{""0"": 1, ""1"": 5, ""2"": 4}",{}
249,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
250,0,0,0,True,True,20,36,2,"{""-1"": 1, ""0"": 6, ""1"": 9, ""2"": 4}","{""0"": 1, ""1"": 5, ""2"": 4}",{}
251,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
252,0,0,0,True,True,176,466,3,"{""-1"": 1, ""0"": 16, ""1"": 57, ""2"": 72, ""3"": 30}","{""0"": 1, ""1"": 15, ""2"": 42, ""3"": 30}",{}
253,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
254,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
255,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
256,0,0,0,True,True,128,448,6,"{""-1"": 1, ""0"": 7, ""1"": 21, ""2"": 35, ""3"": 35, ""4"": 21, ""5"": 7, ""6"": 1}","{""0"": 1, ""1"": 6, ""2"": 15, ""3"": 20, ""4"": 15, ""5"": 6, ""6"": 1}",{}
257,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
258,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
259,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
260,0,0,0,True,True,44,88,2,"{""-1"": 1, ""0"": 10, ""1"": 21, ""2"": 12}","{""0"": 1, ""1"": 9, ""2"": 12}",{}
261,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
262,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
263,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
264,0,0,0,True,True,132,340,3,"{""-1"": 1, ""0"": 14, ""1"": 45, ""2"": 52, ""3"": 20}","{""0"": 1, ""1"": 13, ""2"": 32, ""3"": 20}",{}
265,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
266,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
267,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
268,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
269,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
270,0,0,0,True,True,132,340,3,"{""-1"": 1, ""0"": 14, ""1"": 45, ""2"": 52, ""3"": 20}","{""0"": 1, ""1"": 13, ""2"": 32, ""3"": 20}",{}
271,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
272,0,0,0,True,True,48,112,3,"{""-1"": 1, ""0"": 8, ""1"": 18, ""2"": 16, ""3"": 5}","{""0"": 1, ""1"": 7, ""2"": 11, ""3"": 5}",{}
273,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
274,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
275,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
276,0,0,0,True,True,44,88,2,"{""-1"": 1, ""0"": 10, ""1"": 21, ""2"": 12}","{""0"": 1, ""1"": 9, ""2"": 12}",{}
277,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
278,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
279,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
280,0,0,0,True,True,132,340,3,"{""-1"": 1, ""0"": 14, ""1"": 45, ""2"": 52, ""3"": 20}","{""0"": 1, ""1"": 13, ""2"": 32, ""3"": 20}",{}
281,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
282,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
283,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
284,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
285,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
286,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
287,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
288,0,0,0,True,True,544,1952,5,"{""-1"": 1, ""0"": 16, ""1"": 75, ""2"": 160, ""3"": 175, ""4"": 96, ""5"": 21}","{""0"": 1, ""1"": 15, ""2"": 60, ""3"": 100, ""4"": 75, ""5"": 21}",{}
289,0,0,0,True,True,2,1,0,"{""-1"": 1, ""0"": 1}","{""0"": 1}",{}
290,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
291,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
292,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
293,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
294,0,0,0,True,True,44,88,2,"{""-1"": 1, ""0"": 10, ""1"": 21, ""2"": 12}","{""0"": 1, ""1"": 9, ""2"": 12}",{}
295,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
296,0,0,0,True,True,20,36,2,"{""-1"": 1, ""0"": 6, ""1"": 9, ""2"": 4}","{""0"": 1, ""1"": 5, ""2"": 4}",{}
297,0,0,0,True,True,20,36,2,"{""-1"": 1, ""0"": 6, ""1"": 9, ""2"": 4}","{""0"": 1, ""1"": 5, ""2"": 4}",{}
298,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
299,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
300,0,0,0,True,True,176,466,3,"{""-1"": 1, ""0"": 16, ""1"": 57, ""2"": 72, ""3"": 30}","{""0"": 1, ""1"": 15, ""2"": 42, ""3"": 30}",{}
301,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
302,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
303,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
304,0,0,0,True,True,48,112,3,"{""-1"": 1, ""0"": 8, ""1"": 18, ""2"": 16, ""3"": 5}","{""0"": 1, ""1"": 7, ""2"": 11, ""3"": 5}",{}
305,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
306,0,0,0,True,True,44,88,2,"{""-1"": 1, ""0"": 10, ""1"": 21, ""2"": 12}","{""0"": 1, ""1"": 9, ""2"": 12}",{}
307,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
308,0,0,0,True,True,44,88,2,"{""-1"": 1, ""0"": 10, ""1"": 21, ""2"": 12}","{""0"": 1, ""1"": 9, ""2"": 12}",{}
309,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
310,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
311,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
312,0,0,0,True,True,132,340,3,"{""-1"": 1, ""0"": 14, ""1"": 45, ""2"": 52, ""3"": 20}","{""0"": 1, ""1"": 13, ""2"": 32, ""3"": 20}",{}
313,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
314,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
315,0,0,0,True,True,44,88,2,"{""-1"": 1, ""0"": 10, ""1"": 21, ""2"": 12}","{""0"": 1, ""1"": 9, ""2"": 12}",{}
316,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
317,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
318,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
319,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
320,0,0,0,True,True,256,864,5,"{""-1"": 1, ""0"": 12, ""1"": 45, ""2"": 80, ""3"": 75, ""4"": 36, ""5"": 7}","{""0"": 1, ""1"": 11, ""2"": 34, ""3"": 46, ""4"": 29, ""5"": 7}",{}
321,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
322,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
323,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
324,0,0,0,True,True,208,632,4,"{""-1"": 1, ""0"": 13, ""1"": 48, ""2"": 76, ""3"": 55, ""4"": 15}","{""0"": 1, ""1"": 12, ""2"": 36, ""3"": 40, ""4"": 15}",{}
325,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
326,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
327,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
328,0,0,0,True,True,20,36,2,"{""-1"": 1, ""0"": 6, ""1"": 9, ""2"": 4}","{""0"": 1, ""1"": 5, ""2"": 4}",{}
329,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
330,1,1,1,True,True,75,158,2,"{""-1"": 1, ""0"": 14, ""1"": 36, ""2"": 24}","{""0"": 1, ""1"": 13, ""2"": 23}","{""2"": 1}"
331,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
332,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
333,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
334,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
335,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
336,0,0,0,True,True,368,1152,4,"{""-1"": 1, ""0"": 18, ""1"": 78, ""2"": 136, ""3"": 105, ""4"": 30}","{""0"": 1, ""1"": 17, ""2"": 61, ""3"": 75, ""4"": 30}",{}
337,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
338,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
339,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
340,0,0,0,True,True,44,88,2,"{""-1"": 1, ""0"": 10, ""1"": 21, ""2"": 12}","{""0"": 1, ""1"": 9, ""2"": 12}",{}
341,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
342,0,0,0,True,True,44,88,2,"{""-1"": 1, ""0"": 10, ""1"": 21, ""2"": 12}","{""0"": 1, ""1"": 9, ""2"": 12}",{}
343,0,0,0,True,True,4,4,1,"{""-1"": 1, ""0"": 2, ""1"": 1}","{""0"": 1, ""1"": 1}",{}
344,0,0,0,True,True,20,36,2,"{""-1"": 1, ""0"": 6, ""1"": 9, ""2"": 4}","{""0"": 1, ""1"": 5, ""2"": 4}",{}
345,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
346,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
347,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
348,0,0,0,True,True,44,88,2,"{""-1"": 1, ""0"": 10, ""1"": 21, ""2"": 12}","{""0"": 1, ""1"": 9, ""2"": 12}",{}
349,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
350,0,0,0,True,True,44,88,2,"{""-1"": 1, ""0"": 10, ""1"": 21, ""2"": 12}","{""0"": 1, ""1"": 9, ""2"": 12}",{}
351,0,0,0,True,True,20,36,2,"{""-1"": 1, ""0"": 6, ""1"": 9, ""2"": 4}","{""0"": 1, ""1"": 5, ""2"": 4}",{}
352,0,0,0,True,True,112,320,4,"{""-1"": 1, ""0"": 10, ""1"": 30, ""2"": 40, ""3"": 25, ""4"": 6}","{""0"": 1, ""1"": 9, ""2"": 21, ""3"": 19, ""4"": 6}",{}
353,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
354,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
355,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
356,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
357,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
358,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
359,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
360,0,0,0,True,True,604,1964,4,"{""-1"": 1, ""0"": 22, ""1"": 111, ""2"": 220, ""3"": 190, ""4"": 60}","{""0"": 1, ""1"": 21, ""2"": 90, ""3"": 130, ""4"": 60}",{}
361,0,0,0,True,True,2,1,0,"{""-1"": 1, ""0"": 1}","{""0"": 1}",{}
362,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
363,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
364,0,0,0,True,True,44,88,2,"{""-1"": 1, ""0"": 10, ""1"": 21, ""2"": 12}","{""0"": 1, ""1"": 9, ""2"": 12}",{}
365,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
366,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
367,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
368,0,0,0,True,True,48,112,3,"{""-1"": 1, ""0"": 8, ""1"": 18, ""2"": 16, ""3"": 5}","{""0"": 1, ""1"": 7, ""2"": 11, ""3"": 5}",{}
369,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
370,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
