atom_cutoff,atom_count,point,sigma,t,q,sector,partial_norm,infinite_limit_status
31,11,critical_imag,0.5,1.0,2,L_s,1.2512780811586852,DIVERGENT_INFINITE_LIMIT
31,11,critical_imag,0.5,1.0,2,L_1_minus_s,1.2512780811586852,DIVERGENT_INFINITE_LIMIT
31,11,critical_imag,0.5,1.0,2,difference,1.8636255672394344,NO_COMMON_S_q_CERTIFICATE
31,11,critical_imag,0.5,1.0,2,relative_ratio_minus_identity,4.042263587490953,NOT_COMPACT_NO_OPEN_DOMAIN
31,11,critical_imag,0.5,1.0,4,L_s,0.8172335277156486,S_q
31,11,critical_imag,0.5,1.0,4,L_1_minus_s,0.8172335277156486,S_q
31,11,critical_imag,0.5,1.0,4,difference,1.2824234143495221,S_q_BY_TRIANGLE
31,11,critical_imag,0.5,1.0,4,relative_ratio_minus_identity,2.600914577402766,NOT_COMPACT_NO_OPEN_DOMAIN
31,11,right_strip,0.75,0.0,1,L_s,2.3570360799656616,DIVERGENT_INFINITE_LIMIT
31,11,right_strip,0.75,0.0,1,L_1_minus_s,6.242810381776718,DIVERGENT_INFINITE_LIMIT
31,11,right_strip,0.75,0.0,1,difference,3.8857743018110567,NO_COMMON_S_q_CERTIFICATE
31,11,right_strip,0.75,0.0,1,relative_ratio_minus_identity,28.181024986761322,NOT_COMPACT_NO_OPEN_DOMAIN
31,11,right_strip,0.75,0.0,2,L_s,0.886447987261256,S_q
31,11,right_strip,0.75,0.0,2,L_1_minus_s,1.9324241187543516,DIVERGENT_INFINITE_LIMIT
31,11,right_strip,0.75,0.0,2,difference,1.1784139069472757,NO_COMMON_S_q_CERTIFICATE
31,11,right_strip,0.75,0.0,2,relative_ratio_minus_identity,9.624861039333366,NOT_COMPACT_NO_OPEN_DOMAIN
31,11,right_strip,0.75,0.0,4,L_s,0.6464746681968758,S_q
31,11,right_strip,0.75,0.0,4,L_1_minus_s,1.1186054179909397,DIVERGENT_INFINITE_LIMIT
31,11,right_strip,0.75,0.0,4,difference,0.652937842672535,NO_COMMON_S_q_CERTIFICATE
