word,hecke_prime,a_p,branch_count,cycle_count,cycle_degree_pattern,all_cycle_owners_primitive_exact,base_period_real,base_period_imag,hecke_period_sum_real,hecke_period_sum_imag,expected_period_real,expected_period_imag,complex_eigen_residual,comparison_complex_eigen_residual,cross_configuration_base_difference,cross_configuration_hecke_sum_difference,closed_control_base_period,closed_control_hecke_sum,closed_control_expected,closed_control_residual,nonmodular_control_base_period_real,nonmodular_control_base_period_imag,nonmodular_control_hecke_sum_real,nonmodular_control_hecke_sum_imag,nonmodular_control_residual,comparison_nonmodular_control_residual,cross_configuration_nonmodular_residual_difference,same_owner_closed_control_status,nonmodular_control_owner_status,correspondence_relation_status,primitive_euler_factor_status
LRRLRRR,2,-2,3,2,1|2,true,-0.6346046521397756,1.4588166169384957,1.2692093042795511,-2.917633233876992,1.2692093042795511,-2.9176332338769915,4.440892098500626e-16,8.881784197001252e-16,4.577566798522237e-16,4.965068306494546e-16,3.931452511334656,-7.862905022669314,-7.862905022669312,1.7763568394002505e-15,-1.2031447630971537,2.2907656481113707,3.502687587543326,-8.484755796783917,4.054287879604867,4.054287860880976,1.8723890882199612e-08,PASS_BY_GENUS_ONE_COHOMOLOGY,FAILS_RELATION_BUT_NO_GAMMA0_11_QUOTIENT_OWNER,PROVED,NOT_ESTABLISHED
LRRLRRR,3,-1,4,2,2|2,true,-0.6346046521397756,1.4588166169384957,0.634604652139778,-1.4588166169384962,0.6346046521397756,-1.4588166169384957,2.482534153247273e-15,1.9984014443252818e-15,4.577566798522237e-16,4.3298697960381105e-15,3.931452511334656,-3.931452511334651,-3.931452511334656,5.329070518200751e-15,-1.2031447630971537,2.2907656481113707,-0.7610377740068682,2.2973737394369773,4.990895318340881,4.990895447251315,1.2891043432716742e-07,PASS_BY_GENUS_ONE_COHOMOLOGY,FAILS_RELATION_BUT_NO_GAMMA0_11_QUOTIENT_OWNER,PROVED,NOT_ESTABLISHED
LRRLRRR,5,1,6,2,5|1,true,-0.6346046521397756,1.4588166169384957,-0.6346046521397752,1.4588166169384982,-0.6346046521397756,1.4588166169384957,2.4650951625709315e-15,1.2412670766236366e-15,4.577566798522237e-16,3.1106063782808446e-15,3.931452511334656,3.931452511334667,3.931452511334656,1.1102230246251565e-14,-1.2031447630971537,2.2907656481113707,-1.0952837111498255,3.65250140022915,1.3660008291077124,1.3660008820564216,5.294870919492212e-08,PASS_BY_GENUS_ONE_COHOMOLOGY,FAILS_RELATION_BUT_NO_GAMMA0_11_QUOTIENT_OWNER,PROVED,NOT_ESTABLISHED
LRRLRRR,7,-2,8,2,4|4,true,-0.6346046521397756,1.4588166169384957,1.2692093042795491,-2.9176332338769897,1.2692093042795511,-2.9176332338769915,2.673771110915334e-15,2.3914935841127266e-15,4.577566798522237e-16,3.552713678800501e-15,3.931452511334656,-7.862905022669311,-7.862905022669312,8.881784197001252e-16,-1.2031447630971537,2.2907656481113707,2.0596009617438233,-3.745399733004398,0.9051568658142566,0.9051569417280361,7.591377948479305e-08,PASS_BY_GENUS_ONE_COHOMOLOGY,FAILS_RELATION_BUT_NO_GAMMA0_11_QUOTIENT_OWNER,PROVED,NOT_ESTABLISHED
LRRLRRR,13,4,14,2,7|7,true,-0.6346046521397756,1.4588166169384957,-2.538418608559094,5.835266467753986,-2.5384186085591023,5.835266467753983,8.848414820926143e-15,1.434896150467636e-14,4.577566798522237e-16,6.2803698347351005e-15,3.931452511334656,15.725810045338662,15.725810045338624,3.730349362740526e-14,-1.2031447630971537,2.2907656481113707,-0.8233134735223827,0.4786982895442788,9.55679984117234,9.556799973903962,1.3273162124960436e-07,PASS_BY_GENUS_ONE_COHOMOLOGY,FAILS_RELATION_BUT_NO_GAMMA0_11_QUOTIENT_OWNER,PROVED,NOT_ESTABLISHED
LLRLLRLR,2,-2,3,1,3,true,0.6346046521397758,-1.4588166169384953,-1.2692093042795496,2.917633233876992,-1.2692093042795516,2.9176332338769906,2.401779625492033e-15,1.2560739669470201e-15,1.1957467920563633e-15,2.220446049250313e-16,-3.931452511334654,7.8629050226693185,7.862905022669308,1.0658141036401503e-14,1.3364548497388238,-2.5095361479791056,-3.6030418558353294,8.435314935263985,3.5406015871460985,3.540601627565689,4.0419590341400635e-08,PASS_BY_GENUS_ONE_COHOMOLOGY,FAILS_RELATION_BUT_NO_GAMMA0_11_QUOTIENT_OWNER,PROVED,NOT_ESTABLISHED
LLRLLRLR,3,-1,4,2,3|1,true,0.6346046521397758,-1.4588166169384953,-0.6346046521397749,1.4588166169384962,-0.6346046521397758,1.4588166169384953,1.2560739669470201e-15,8.671119018262734e-16,1.1957467920563633e-15,1.0934428697813141e-15,-3.931452511334654,3.93145251133466,3.931452511334654,6.217248937900877e-15,1.3364548497388238,-2.5095361479791056,0.875959689532629,-2.43365151306139,5.415707003323086,5.415707312060299,3.0873721268420695e-07,PASS_BY_GENUS_ONE_COHOMOLOGY,FAILS_RELATION_BUT_NO_GAMMA0_11_QUOTIENT_OWNER,PROVED,NOT_ESTABLISHED
LLRLLRLR,5,1,6,2,5|1,true,0.6346046521397758,-1.4588166169384953,0.6346046521397741,-1.4588166169384924,0.6346046521397758,-1.4588166169384953,3.3325189318763902e-15,1.4043333874306805e-15,1.1957467920563633e-15,5.583218758733536e-15,-3.931452511334654,-3.9314525113346472,-3.931452511334654,6.661338147750939e-15,1.3364548497388238,-2.5095361479791056,0.9351965154937095,-3.4006708472594345,0.9773071692475227,0.9773073632627449,1.9401522222128875e-07,PASS_BY_GENUS_ONE_COHOMOLOGY,FAILS_RELATION_BUT_NO_GAMMA0_11_QUOTIENT_OWNER,PROVED,NOT_ESTABLISHED
LLRLLRLR,7,-2,8,2,7|1,true,0.6346046521397758,-1.4588166169384953,-1.2692093042795491,2.917633233876994,-1.2692093042795516,2.9176332338769906,4.311326371230795e-15,3.800791407964896e-15,1.1957467920563633e-15,2.8435583831733384e-15,-3.931452511334654,7.862905022669329,7.862905022669308,2.1316282072803006e-14,1.3364548497388238,-2.5095361479791056,-1.9209899082585602,3.7338782521093976,1.488995333361197,1.4889954391751794,1.058139824650084e-07,PASS_BY_GENUS_ONE_COHOMOLOGY,FAILS_RELATION_BUT_NO_GAMMA0_11_QUOTIENT_OWNER,PROVED,NOT_ESTABLISHED
LLRLLRLR,13,4,14,2,13|1,true,0.6346046521397758,-1.4588166169384953,2.5384186085590863,-5.8352664677539945,2.538418608559103,-5.835266467753981,2.150052302758035e-14,1.9131948672901813e-14,1.1957467920563633e-15,3.2023728339893768e-15,-3.931452511334654,-15.725810045338719,-15.725810045338616,1.0302869668521453e-13,1.3364548497388238,-2.5095361479791056,0.6801722349689174,-0.5202836532926365,10.599902844167705,10.599903144049085,2.998813801724509e-07,PASS_BY_GENUS_ONE_COHOMOLOGY,FAILS_RELATION_BUT_NO_GAMMA0_11_QUOTIENT_OWNER,PROVED,NOT_ESTABLISHED
