word,hecke_prime,branch_id,branch_matrix,target_branch_id,gluing_matrix,branch_determinant,gluing_determinant,gluing_c_mod_11,right_action_identity_exact,endpoint_gluing_exact,evidence_token
LRRLRRR,2,b_0,"[[1,0],[0,2]]",b_0,"[[15,2],[22,3]]",2,1,0,true,true,NUMERICALLY_CERTIFIED
LRRLRRR,2,b_1,"[[1,1],[0,2]]",infinity,"[[13,7],[11,6]]",2,1,0,true,true,NUMERICALLY_CERTIFIED
LRRLRRR,2,infinity,"[[2,0],[0,1]]",b_1,"[[30,-11],[11,-4]]",2,1,0,true,true,NUMERICALLY_CERTIFIED
LRRLRRR,3,b_0,"[[1,0],[0,3]]",infinity,"[[5,4],[11,9]]",3,1,0,true,true,NUMERICALLY_CERTIFIED
LRRLRRR,3,b_1,"[[1,1],[0,3]]",b_2,"[[26,-15],[33,-19]]",3,1,0,true,true,NUMERICALLY_CERTIFIED
LRRLRRR,3,b_2,"[[1,2],[0,3]]",b_1,"[[37,-9],[33,-8]]",3,1,0,true,true,NUMERICALLY_CERTIFIED
LRRLRRR,3,infinity,"[[3,0],[0,1]]",b_0,"[[45,4],[11,1]]",3,1,0,true,true,NUMERICALLY_CERTIFIED
LRRLRRR,5,b_0,"[[1,0],[0,5]]",infinity,"[[3,4],[11,15]]",5,1,0,true,true,NUMERICALLY_CERTIFIED
LRRLRRR,5,b_1,"[[1,1],[0,5]]",b_2,"[[26,-9],[55,-19]]",5,1,0,true,true,NUMERICALLY_CERTIFIED
LRRLRRR,5,b_2,"[[1,2],[0,5]]",b_0,"[[37,2],[55,3]]",5,1,0,true,true,NUMERICALLY_CERTIFIED
LRRLRRR,5,b_3,"[[1,3],[0,5]]",b_1,"[[48,-7],[55,-8]]",5,1,0,true,true,NUMERICALLY_CERTIFIED
LRRLRRR,5,b_4,"[[1,4],[0,5]]",b_4,"[[59,-44],[55,-41]]",5,1,0,true,true,NUMERICALLY_CERTIFIED
LRRLRRR,5,infinity,"[[5,0],[0,1]]",b_3,"[[75,-41],[11,-6]]",5,1,0,true,true,NUMERICALLY_CERTIFIED
LRRLRRR,7,b_0,"[[1,0],[0,7]]",b_4,"[[15,-8],[77,-41]]",7,1,0,true,true,NUMERICALLY_CERTIFIED
LRRLRRR,7,b_1,"[[1,1],[0,7]]",b_0,"[[26,1],[77,3]]",7,1,0,true,true,NUMERICALLY_CERTIFIED
LRRLRRR,7,b_2,"[[1,2],[0,7]]",b_5,"[[37,-25],[77,-52]]",7,1,0,true,true,NUMERICALLY_CERTIFIED
