word,word_length,matrix_a,matrix_b,matrix_c,matrix_d,matrix_trace,base_length,in_gamma0_11_selected_ledger,control_owner
LLLRRRLR,8,23,13,7,4,27,6.58892458548438320e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLRRRRR,8,16,3,5,1,17,5.65947007504878030e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRLLRLR,8,30,19,11,7,37,7.22037330158899504e+00,True,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRLLRRR,8,27,8,10,3,30,6.80016882822667945e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRLRLRR,8,34,13,13,5,39,7.32580706919993663e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRLRRLR,8,31,18,12,7,38,7.27378583692826730e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRLRRRR,8,23,5,9,2,25,6.43454394231451587e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRRLRLR,8,31,19,13,8,39,7.32580706919993663e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRRLRRR,8,26,7,11,3,29,6.73220928585021827e+00,True,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRRRLRR,8,25,9,11,4,29,6.73220928585021827e+00,True,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRRRRLR,8,20,11,9,5,25,6.43454394231451587e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLRRRRRR,8,13,2,6,1,14,5.26783158769926718e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LRLRLRRR,8,29,8,18,5,34,7.05098869615634438e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LRLRRLRR,8,30,11,19,7,37,7.22037330158899504e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LRLRRRRR,8,17,3,11,2,19,5.88331462930237237e+00,True,simpler_parent_positive_LR_necklace_in_PSL2Z
LRRLRRRR,8,19,4,14,3,22,6.17793980968920575e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LRRRRRRR,8,8,1,7,1,9,4.36928758321021693e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLLLLLR,9,9,8,1,1,10,4.58486333912235544e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLLLLRR,9,15,7,2,1,16,5.53731876662714750e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
LLLLLLRLR,9,20,13,3,2,22,6.17793980968920575e+00,False,simpler_parent_positive_LR_necklace_in_PSL2Z
