word,hecke_prime,a_p,cycle_id,cycle_degree,cycle_branches,cycle_owner_matrix,owner_recomputed_equal_exact,owner_determinant,owner_c_mod_11,primitive_in_gamma0_11_exact_recomputed,primitive_root_exponent_recomputed,homology_coordinates_y0_11,compact_homology_coordinates_x0_11,conjugate_homology_coordinates_y0_11,real_symmetrized_coordinates_y0_11,source_real_eigenspace_coordinate_k,owner_real_eigenspace_coordinate_k,normalized_real_period_ratio_exact,normalized_real_period_square_exact,compact_homology_zero_exact,real_projection_zero_exact,full_complex_period_zero_exact,exact_instance_classification,round4_period_real_crosscheck,round4_period_imag_crosscheck,proof_evidence_token,quadrature_evidence_token,target_data_used,formal_a2_evaluation_run,route_b_invocation_allowed
LRRLRRR,2,-2,1,1,b_0,"[[15,2],[22,3]]",true,1,0,true,1,-1|1|-1,1|-1,1|0|1,0|1|0,1,1,1,1,false,false,false,TRUE_REAL_PROJECTION_NONKERNEL,-0.6346046521397777,-1.4588166169384955,PROVED,NUMERICAL_OBSERVATION,false,false,false
LRRLRRR,2,-2,2,2,b_1|infinity,"[[467,-171],[396,-145]]",true,1,0,true,1,-4|-1|-1,-1|-1,4|-2|1,0|-3|0,1,-3,-3,9,false,false,false,TRUE_REAL_PROJECTION_NONKERNEL,1.9038139564193288,-1.4588166169384962,PROVED,NUMERICAL_OBSERVATION,false,false,false
LRRLRRR,3,-1,1,2,b_0|infinity,"[[269,24],[594,53]]",true,1,0,true,1,-6|1|0,1|0,6|1|0,0|2|0,1,2,2,4,false,false,false,TRUE_REAL_PROJECTION_NONKERNEL,-1.2692093042795531,9.71445146547012e-17,PROVED,NUMERICAL_OBSERVATION,false,false,false
LRRLRRR,3,-1,2,2,b_1|b_2,"[[467,-114],[594,-145]]",true,1,0,true,1,-1|-1|-1,-1|-1,1|-2|1,0|-3|0,1,-3,-3,9,false,false,false,TRUE_REAL_PROJECTION_NONKERNEL,1.9038139564193313,-1.4588166169384962,PROVED,NUMERICAL_OBSERVATION,false,false,false
LRRLRRR,5,1,1,5,b_0|infinity|b_3|b_1|b_2,"[[1554279,83204],[5720275,306219]]",true,1,0,true,1,-9|0|0,0|0,9|0|0,0|0|0,1,0,0,0,true,true,true,FULL_COMPLEX_SOURCE_KERNEL,8.326672684688674e-17,2.220446049250313e-15,PROVED,NUMERICAL_OBSERVATION,false,false,false
LRRLRRR,5,1,2,1,b_4,"[[59,-44],[55,-41]]",true,1,0,true,1,-2|0|1,0|1,2|1|-1,0|1|0,1,1,1,1,false,false,false,TRUE_REAL_PROJECTION_NONKERNEL,-0.6346046521397753,1.4588166169384962,PROVED,NUMERICAL_OBSERVATION,false,false,false
LRRLRRR,7,-2,1,4,b_0|b_4|b_3|b_1,"[[86617,3312],[446292,17065]]",true,1,0,true,1,-2|-2|-2,-2|-2,2|-4|2,0|-6|0,1,-6,-6,36,false,false,false,TRUE_REAL_PROJECTION_NONKERNEL,3.8076279128386568,-2.9176332338769893,PROVED,NUMERICAL_OBSERVATION,false,false,false
LRRLRRR,7,-2,2,4,b_2|b_5|infinity|b_6,"[[214129,-52992],[446292,-110447]]",true,1,0,true,1,-12|2|0,2|0,12|2|0,0|4|0,1,4,4,16,false,false,false,TRUE_REAL_PROJECTION_NONKERNEL,-2.538418608559108,3.0531133177191805e-16,PROVED,NUMERICAL_OBSERVATION,false,false,false
LRRLRRR,13,4,1,7,b_0|b_2|b_8|b_11|b_4|b_6|b_3,"[[500473011,10304396],[4788968041,98601567]]",true,1,0,true,1,-6|2|3,2|3,6|5|-3,0|7|0,1,7,7,49,false,false,false,TRUE_REAL_PROJECTION_NONKERNEL,-4.442232564978428,4.37644985081549,PROVED,NUMERICAL_OBSERVATION,false,false,false
LRRLRRR,13,4,2,7,b_1|infinity|b_5|b_9|b_7|b_12|b_10,"[[868855168,-48945881],[4788968041,-269780590]]",true,1,0,true,1,-20|-2|1,-2|1,20|-1|-1,0|-3|0,1,-3,-3,9,false,false,false,TRUE_REAL_PROJECTION_NONKERNEL,1.903813956419334,1.4588166169384964,PROVED,NUMERICAL_OBSERVATION,false,false,false
