q,euler_phi,sqrt_minus_one_count,unoriented_open_count
1,1,1,1
2,1,1,1
3,2,0,1
4,2,0,1
5,4,2,3
6,2,0,1
7,6,0,3
8,4,0,2
9,6,0,3
10,4,2,3
11,10,0,5
12,4,0,2
13,12,2,7
14,6,0,3
15,8,0,4
16,8,0,4
17,16,2,9
18,6,0,3
19,18,0,9
20,8,0,4
21,12,0,6
22,10,0,5
23,22,0,11
24,8,0,4
25,20,2,11
26,12,2,7
27,18,0,9
28,12,0,6
29,28,2,15
30,8,0,4
31,30,0,15
32,16,0,8
33,20,0,10
34,16,2,9
35,24,0,12
36,12,0,6
37,36,2,19
38,18,0,9
39,24,0,12
40,16,0,8
41,40,2,21
42,12,0,6
43,42,0,21
44,20,0,10
45,24,0,12
46,22,0,11
47,46,0,23
48,16,0,8
49,42,0,21
50,20,2,11
51,32,0,16
52,24,0,12
53,52,2,27
54,18,0,9
55,40,0,20
56,24,0,12
57,36,0,18
58,28,2,15
59,58,0,29
60,16,0,8
61,60,2,31
62,30,0,15
63,36,0,18
64,32,0,16
65,48,4,26
66,20,0,10
67,66,0,33
68,32,0,16
69,44,0,22
70,24,0,12
71,70,0,35
72,24,0,12
73,72,2,37
74,36,2,19
75,40,0,20
76,36,0,18
77,60,0,30
78,24,0,12
79,78,0,39
80,32,0,16
81,54,0,27
82,40,2,21
83,82,0,41
84,24,0,12
85,64,4,34
86,42,0,21
87,56,0,28
88,40,0,20
89,88,2,45
90,24,0,12
91,72,0,36
92,44,0,22
93,60,0,30
94,46,0,23
95,72,0,36
96,32,0,16
97,96,2,49
98,42,0,21
99,60,0,30
100,40,0,20
101,100,2,51
102,32,0,16
103,102,0,51
104,48,0,24
105,48,0,24
106,52,2,27
107,106,0,53
108,36,0,18
109,108,2,55
110,40,0,20
111,72,0,36
112,48,0,24
113,112,2,57
114,36,0,18
115,88,0,44
116,56,0,28
117,72,0,36
118,58,0,29
119,96,0,48
120,32,0,16
121,110,0,55
122,60,2,31
123,80,0,40
124,60,0,30
125,100,2,51
126,36,0,18
127,126,0,63
128,64,0,32
129,84,0,42
130,48,4,26
131,130,0,65
132,40,0,20
133,108,0,54
134,66,0,33
135,72,0,36
136,64,0,32
137,136,2,69
138,44,0,22
139,138,0,69
140,48,0,24
141,92,0,46
142,70,0,35
143,120,0,60
144,48,0,24
145,112,4,58
146,72,2,37
147,84,0,42
148,72,0,36
149,148,2,75
150,40,0,20
151,150,0,75
152,72,0,36
153,96,0,48
154,60,0,30
155,120,0,60
156,48,0,24
157,156,2,79
158,78,0,39
159,104,0,52
160,64,0,32
161,132,0,66
162,54,0,27
163,162,0,81
164,80,0,40
165,80,0,40
166,82,0,41
167,166,0,83
168,48,0,24
169,156,2,79
170,64,4,34
171,108,0,54
172,84,0,42
173,172,2,87
174,56,0,28
175,120,0,60
176,80,0,40
177,116,0,58
178,88,2,45
179,178,0,89
180,48,0,24
181,180,2,91
182,72,0,36
183,120,0,60
184,88,0,44
185,144,4,74
186,60,0,30
187,160,0,80
188,92,0,46
189,108,0,54
190,72,0,36
191,190,0,95
192,64,0,32
193,192,2,97
194,96,2,49
195,96,0,48
196,84,0,42
197,196,2,99
198,60,0,30
199,198,0,99
200,80,0,40
201,132,0,66
202,100,2,51
203,168,0,84
204,64,0,32
205,160,4,82
206,102,0,51
207,132,0,66
208,96,0,48
209,180,0,90
210,48,0,24
211,210,0,105
212,104,0,52
213,140,0,70
214,106,0,53
215,168,0,84
216,72,0,36
217,180,0,90
218,108,2,55
219,144,0,72
220,80,0,40
221,192,4,98
222,72,0,36
223,222,0,111
224,96,0,48
225,120,0,60
226,112,2,57
227,226,0,113
228,72,0,36
229,228,2,115
230,88,0,44
231,120,0,60
232,112,0,56
233,232,2,117
234,72,0,36
235,184,0,92
236,116,0,58
237,156,0,78
238,96,0,48
239,238,0,119
240,64,0,32
241,240,2,121
242,110,0,55
243,162,0,81
244,120,0,60
245,168,0,84
246,80,0,40
247,216,0,108
248,120,0,60
249,164,0,82
250,100,2,51
251,250,0,125
252,72,0,36
253,220,0,110
254,126,0,63
255,128,0,64
256,128,0,64
257,256,2,129
258,84,0,42
